------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.3.0.2 port 5001 connected with 10.2.0.1 port 39361
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   390 KBytes  3.20 Mbits/sec   0.798 ms    0/  272 (0%)
[  3]  1.0- 2.0 sec   395 KBytes  3.23 Mbits/sec   0.694 ms    0/  275 (0%)
[  3]  2.0- 3.0 sec   396 KBytes  3.25 Mbits/sec   0.695 ms    0/  276 (0%)
[  3]  3.0- 4.0 sec   395 KBytes  3.23 Mbits/sec   0.704 ms    0/  275 (0%)
[  3]  4.0- 5.0 sec   392 KBytes  3.21 Mbits/sec   0.883 ms    0/  273 (0%)
[  3]  5.0- 6.0 sec   396 KBytes  3.25 Mbits/sec   0.691 ms    0/  276 (0%)
[  3]  6.0- 7.0 sec   461 KBytes  3.77 Mbits/sec   0.589 ms    1/  322 (0.31%)
[  3]  7.0- 8.0 sec   421 KBytes  3.45 Mbits/sec   0.507 ms   48/  341 (14%)
[  3]  8.0- 9.0 sec   399 KBytes  3.27 Mbits/sec   0.523 ms   62/  340 (18%)
[  3]  9.0-10.0 sec   390 KBytes  3.20 Mbits/sec   0.491 ms   64/  336 (19%)
[  3] 10.0-11.0 sec   416 KBytes  3.41 Mbits/sec   0.520 ms   53/  343 (15%)
[  3] 11.0-12.0 sec   402 KBytes  3.29 Mbits/sec   0.488 ms   61/  341 (18%)
[  3] 12.0-13.0 sec   406 KBytes  3.33 Mbits/sec   0.506 ms   57/  340 (17%)
[  3] 13.0-14.0 sec   388 KBytes  3.18 Mbits/sec   0.540 ms   66/  336 (20%)
[  3] 14.0-15.0 sec   403 KBytes  3.30 Mbits/sec   0.578 ms   60/  341 (18%)
[  3] 15.0-16.0 sec   372 KBytes  3.05 Mbits/sec   0.460 ms   85/  344 (25%)
[  3] 16.0-17.0 sec   402 KBytes  3.29 Mbits/sec   0.518 ms   60/  340 (18%)
[  3] 17.0-18.0 sec   401 KBytes  3.28 Mbits/sec   0.507 ms   61/  340 (18%)
[  3] 18.0-19.0 sec   390 KBytes  3.20 Mbits/sec   0.482 ms   64/  336 (19%)
[  3] 19.0-20.0 sec   408 KBytes  3.34 Mbits/sec   0.637 ms   60/  344 (17%)
[  3] 20.0-21.0 sec   406 KBytes  3.33 Mbits/sec   0.590 ms   57/  340 (17%)
[  3] 21.0-22.0 sec   401 KBytes  3.28 Mbits/sec   0.482 ms   62/  341 (18%)
[  3] 22.0-23.0 sec   393 KBytes  3.22 Mbits/sec   0.462 ms   65/  339 (19%)
[  3] 23.0-24.0 sec   399 KBytes  3.27 Mbits/sec   0.480 ms   63/  341 (18%)
[  3] 24.0-25.0 sec   403 KBytes  3.30 Mbits/sec   0.492 ms   58/  339 (17%)
[  3] 25.0-26.0 sec   401 KBytes  3.28 Mbits/sec   0.497 ms   62/  341 (18%)
[  3] 26.0-27.0 sec   401 KBytes  3.28 Mbits/sec   0.435 ms   61/  340 (18%)
[  3] 27.0-28.0 sec   402 KBytes  3.29 Mbits/sec   0.512 ms   60/  340 (18%)
