------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.5.0.1 port 5001 connected with 10.1.0.2 port 38100
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   488 KBytes  4.00 Mbits/sec   0.019 ms    0/  340 (0%)
[  3]  1.0- 2.0 sec   488 KBytes  4.00 Mbits/sec   0.012 ms    0/  340 (0%)
[  3]  2.0- 3.0 sec   488 KBytes  4.00 Mbits/sec   0.011 ms    0/  340 (0%)
[  3]  3.0- 4.0 sec   488 KBytes  4.00 Mbits/sec   0.014 ms    0/  340 (0%)
[  3]  4.0- 5.0 sec   488 KBytes  4.00 Mbits/sec   0.016 ms    0/  340 (0%)
[  3]  5.0- 6.0 sec   490 KBytes  4.01 Mbits/sec   0.015 ms    0/  341 (0%)
[  3]  6.0- 7.0 sec   390 KBytes  3.20 Mbits/sec   0.810 ms    0/  272 (0%)
[  3]  7.0- 8.0 sec   395 KBytes  3.23 Mbits/sec   0.690 ms    0/  275 (0%)
[  3]  8.0- 9.0 sec   396 KBytes  3.25 Mbits/sec   0.689 ms    0/  276 (0%)
[  3]  9.0-10.0 sec   396 KBytes  3.25 Mbits/sec   0.687 ms    0/  276 (0%)
[  3] 10.0-11.0 sec   390 KBytes  3.20 Mbits/sec   0.947 ms    0/  272 (0%)
[  3] 11.0-12.0 sec   396 KBytes  3.25 Mbits/sec   0.689 ms    0/  276 (0%)
[  3] 12.0-13.0 sec   263 KBytes  2.15 Mbits/sec   0.243 ms  137/  320 (43%)
[  3] 13.0-14.0 sec   185 KBytes  1.52 Mbits/sec   0.194 ms  213/  342 (62%)
[  3] 14.0-15.0 sec   177 KBytes  1.45 Mbits/sec   0.197 ms  216/  339 (64%)
[  3] 15.0-16.0 sec   174 KBytes  1.42 Mbits/sec   0.222 ms  216/  337 (64%)
[  3] 16.0-17.0 sec   165 KBytes  1.35 Mbits/sec   0.221 ms  230/  345 (67%)
[  3] 17.0-18.0 sec   178 KBytes  1.46 Mbits/sec   0.208 ms  213/  337 (63%)
[  3] 18.0-19.0 sec   165 KBytes  1.35 Mbits/sec   0.272 ms  224/  339 (66%)
[  3] 19.0-20.0 sec   179 KBytes  1.47 Mbits/sec   0.385 ms  214/  339 (63%)
[  3] 20.0-21.0 sec   182 KBytes  1.49 Mbits/sec   0.189 ms  215/  342 (63%)
[  3] 21.0-22.0 sec   202 KBytes  1.66 Mbits/sec   0.218 ms  200/  341 (59%)
[  3] 22.0-23.0 sec   177 KBytes  1.45 Mbits/sec   0.241 ms  219/  342 (64%)
[  3] 23.0-24.0 sec   177 KBytes  1.45 Mbits/sec   0.185 ms  218/  341 (64%)
