------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.2.0.1 port 5001 connected with 10.5.0.1 port 46755
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   395 KBytes  3.23 Mbits/sec   0.687 ms    0/  275 (0%)
[  3]  1.0- 2.0 sec   396 KBytes  3.25 Mbits/sec   0.691 ms    0/  276 (0%)
[  3]  2.0- 3.0 sec   396 KBytes  3.25 Mbits/sec   0.695 ms    0/  276 (0%)
[  3]  3.0- 4.0 sec   395 KBytes  3.23 Mbits/sec   0.749 ms    0/  275 (0%)
[  3]  4.0- 5.0 sec   392 KBytes  3.21 Mbits/sec   0.730 ms    0/  273 (0%)
[  3]  5.0- 6.0 sec   395 KBytes  3.23 Mbits/sec   0.686 ms    0/  275 (0%)
[  3]  6.0- 7.0 sec   329 KBytes  2.69 Mbits/sec   0.370 ms   90/  319 (28%)
[  3]  7.0- 8.0 sec   291 KBytes  2.39 Mbits/sec   0.314 ms  138/  341 (40%)
[  3]  8.0- 9.0 sec   293 KBytes  2.40 Mbits/sec   0.298 ms  135/  339 (40%)
[  3]  9.0-10.0 sec   299 KBytes  2.45 Mbits/sec   0.403 ms  129/  337 (38%)
[  3] 10.0-11.0 sec   304 KBytes  2.49 Mbits/sec   0.425 ms  133/  345 (39%)
[  3] 11.0-12.0 sec   293 KBytes  2.40 Mbits/sec   0.301 ms  135/  339 (40%)
[  3] 12.0-13.0 sec   296 KBytes  2.42 Mbits/sec   0.787 ms  131/  337 (39%)
[  3] 13.0-14.0 sec   299 KBytes  2.45 Mbits/sec   0.325 ms  131/  339 (39%)
[  3] 14.0-15.0 sec   301 KBytes  2.47 Mbits/sec   0.433 ms  134/  344 (39%)
[  3] 15.0-16.0 sec   294 KBytes  2.41 Mbits/sec   0.309 ms  136/  341 (40%)
[  3] 16.0-17.0 sec   296 KBytes  2.42 Mbits/sec   0.407 ms  129/  335 (39%)
[  3] 17.0-18.0 sec   306 KBytes  2.50 Mbits/sec   0.612 ms  132/  345 (38%)
[  3] 18.0-19.0 sec   294 KBytes  2.41 Mbits/sec   0.274 ms  136/  341 (40%)
[  3] 19.0-20.0 sec   291 KBytes  2.39 Mbits/sec   0.521 ms  136/  339 (40%)
[  3] 20.0-21.0 sec   276 KBytes  2.26 Mbits/sec   0.312 ms  145/  337 (43%)
[  3] 21.0-22.0 sec   286 KBytes  2.34 Mbits/sec   0.567 ms  145/  344 (42%)
[  3] 22.0-23.0 sec   290 KBytes  2.38 Mbits/sec   0.290 ms  138/  340 (41%)
[  3] 23.0-24.0 sec   281 KBytes  2.30 Mbits/sec   0.278 ms  144/  340 (42%)
