------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.2.0.1 port 5001 connected with 10.5.0.2 port 45607
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   528 KBytes  4.33 Mbits/sec   0.013 ms  387/  755 (51%)
[  3]  1.0- 2.0 sec   488 KBytes  4.00 Mbits/sec   0.015 ms    0/  340 (0%)
[  3]  2.0- 3.0 sec   488 KBytes  4.00 Mbits/sec   0.019 ms    0/  340 (0%)
[  3]  3.0- 4.0 sec   488 KBytes  4.00 Mbits/sec   0.015 ms    0/  340 (0%)
[  3]  4.0- 5.0 sec   488 KBytes  4.00 Mbits/sec   0.016 ms    0/  340 (0%)
[  3]  5.0- 6.0 sec   488 KBytes  4.00 Mbits/sec   0.016 ms    0/  340 (0%)
[  3]  6.0- 7.0 sec   488 KBytes  4.00 Mbits/sec   0.022 ms    0/  340 (0%)
[  3]  7.0- 8.0 sec   490 KBytes  4.01 Mbits/sec   0.030 ms    0/  341 (0%)
[  3]  8.0- 9.0 sec   488 KBytes  4.00 Mbits/sec   0.012 ms    0/  340 (0%)
[  3]  9.0-10.0 sec   488 KBytes  4.00 Mbits/sec   0.009 ms    0/  340 (0%)
[  3] 10.0-11.0 sec   462 KBytes  3.79 Mbits/sec   0.979 ms    0/  322 (0%)
[  3] 11.0-12.0 sec   368 KBytes  3.01 Mbits/sec   1.010 ms    0/  256 (0%)
[  3] 12.0-13.0 sec   362 KBytes  2.96 Mbits/sec   0.993 ms    0/  252 (0%)
[  3] 13.0-14.0 sec   366 KBytes  3.00 Mbits/sec   1.001 ms    0/  255 (0%)
[  3] 14.0-15.0 sec   368 KBytes  3.01 Mbits/sec   0.925 ms    0/  256 (0%)
[  3] 15.0-16.0 sec   366 KBytes  3.00 Mbits/sec   0.986 ms    0/  255 (0%)
[  3] 16.0-17.0 sec   363 KBytes  2.98 Mbits/sec   1.007 ms    0/  253 (0%)
[  3] 17.0-18.0 sec   413 KBytes  3.39 Mbits/sec   1.721 ms    0/  288 (0%)
[  3] 18.0-19.0 sec   491 KBytes  4.02 Mbits/sec   1.648 ms    1/  343 (0.29%)
[  3] 19.0-20.0 sec   490 KBytes  4.01 Mbits/sec   0.619 ms    0/  341 (0%)
[  3] 20.0-21.0 sec   488 KBytes  4.00 Mbits/sec   0.597 ms    0/  340 (0%)
[  3] 21.0-22.0 sec   482 KBytes  3.95 Mbits/sec   0.608 ms    0/  336 (0%)
[  3] 22.0-23.0 sec   490 KBytes  4.01 Mbits/sec   0.621 ms    0/  341 (0%)
[  3] 23.0-24.0 sec   484 KBytes  3.96 Mbits/sec   0.610 ms    4/  341 (1.2%)
[  3] 24.0-25.0 sec   490 KBytes  4.01 Mbits/sec   0.594 ms    0/  341 (0%)
[  3] 25.0-26.0 sec   488 KBytes  4.00 Mbits/sec   0.625 ms    0/  340 (0%)
[  3] 26.0-27.0 sec   488 KBytes  4.00 Mbits/sec   0.625 ms    0/  340 (0%)
[  3] 27.0-28.0 sec   488 KBytes  4.00 Mbits/sec   0.583 ms    0/  340 (0%)
[  3] 28.0-29.0 sec   485 KBytes  3.97 Mbits/sec   0.935 ms    1/  339 (0.29%)
[  3] 29.0-30.0 sec   485 KBytes  3.97 Mbits/sec   0.652 ms    6/  344 (1.7%)
[  3] 30.0-31.0 sec   488 KBytes  4.00 Mbits/sec   0.889 ms    4/  344 (1.2%)
[  3] 31.0-32.0 sec   485 KBytes  3.97 Mbits/sec   0.777 ms    2/  340 (0.59%)
[  3] 32.0-33.0 sec   478 KBytes  3.92 Mbits/sec   0.619 ms    4/  337 (1.2%)
[  3] 33.0-34.0 sec   490 KBytes  4.01 Mbits/sec   0.865 ms    2/  343 (0.58%)
[  3] 34.0-35.0 sec   477 KBytes  3.90 Mbits/sec   0.735 ms    5/  337 (1.5%)
[  3] 35.0-36.0 sec   479 KBytes  3.93 Mbits/sec   1.249 ms    9/  343 (2.6%)
[  3] 36.0-37.0 sec   482 KBytes  3.95 Mbits/sec   1.115 ms    5/  341 (1.5%)
[  3] 37.0-38.0 sec   478 KBytes  3.92 Mbits/sec   0.794 ms    4/  337 (1.2%)
[  3] 38.0-39.0 sec   484 KBytes  3.96 Mbits/sec   0.910 ms    2/  339 (0.59%)
[  3] 39.0-40.0 sec   481 KBytes  3.94 Mbits/sec   0.857 ms    5/  340 (1.5%)
[  3] 40.0-41.0 sec   475 KBytes  3.89 Mbits/sec   1.000 ms    6/  337 (1.8%)
[  3] 41.0-42.0 sec   472 KBytes  3.87 Mbits/sec   1.594 ms   11/  340 (3.2%)
[  3] 42.0-43.0 sec   482 KBytes  3.95 Mbits/sec   0.741 ms    4/  340 (1.2%)
[  3] 43.0-44.0 sec   481 KBytes  3.94 Mbits/sec   1.108 ms    3/  338 (0.89%)
[  3] 44.0-45.0 sec   485 KBytes  3.97 Mbits/sec   0.745 ms    1/  339 (0.29%)
[  3] 45.0-46.0 sec   481 KBytes  3.94 Mbits/sec   0.680 ms    5/  340 (1.5%)
[  3] 46.0-47.0 sec   481 KBytes  3.94 Mbits/sec   0.971 ms    2/  337 (0.59%)
[  3] 47.0-48.0 sec   487 KBytes  3.99 Mbits/sec   0.696 ms    0/  339 (0%)
[  3] 48.0-49.0 sec   482 KBytes  3.95 Mbits/sec   1.076 ms    2/  338 (0.59%)
[  3] 49.0-50.0 sec   487 KBytes  3.99 Mbits/sec   1.029 ms    5/  344 (1.5%)
[  3] 50.0-51.0 sec   484 KBytes  3.96 Mbits/sec   0.689 ms    2/  339 (0.59%)
[  3] 51.0-52.0 sec   477 KBytes  3.90 Mbits/sec   0.891 ms    4/  336 (1.2%)
[  3] 52.0-53.0 sec   482 KBytes  3.95 Mbits/sec   0.755 ms    6/  342 (1.8%)
[  3] 53.0-54.0 sec   475 KBytes  3.89 Mbits/sec   0.738 ms   13/  344 (3.8%)
[  3] 54.0-55.0 sec   478 KBytes  3.92 Mbits/sec   0.857 ms    5/  338 (1.5%)
[  3] 55.0-56.0 sec   490 KBytes  4.01 Mbits/sec   0.764 ms    0/  341 (0%)
[  3] 56.0-57.0 sec   479 KBytes  3.93 Mbits/sec   0.802 ms    5/  339 (1.5%)
[  3] 57.0-58.0 sec   479 KBytes  3.93 Mbits/sec   0.667 ms    3/  337 (0.89%)
[  3] 58.0-59.0 sec   481 KBytes  3.94 Mbits/sec   0.651 ms    6/  341 (1.8%)
[  3] 59.0-60.0 sec   479 KBytes  3.93 Mbits/sec   1.294 ms    3/  337 (0.89%)
[  3] 60.0-61.0 sec   482 KBytes  3.95 Mbits/sec   0.741 ms    5/  341 (1.5%)
[  3] 61.0-62.0 sec   484 KBytes  3.96 Mbits/sec   0.627 ms    2/  339 (0.59%)
[  3] 62.0-63.0 sec   485 KBytes  3.97 Mbits/sec   1.173 ms    2/  340 (0.59%)
[  3] 63.0-64.0 sec   482 KBytes  3.95 Mbits/sec   0.911 ms    2/  338 (0.59%)
[  3] 64.0-65.0 sec   481 KBytes  3.94 Mbits/sec   1.189 ms    4/  339 (1.2%)
[  3] 65.0-66.0 sec   474 KBytes  3.88 Mbits/sec   0.722 ms   12/  342 (3.5%)
[  3] 66.0-67.0 sec   485 KBytes  3.97 Mbits/sec   0.756 ms    5/  343 (1.5%)
[  3] 67.0-68.0 sec   477 KBytes  3.90 Mbits/sec   0.814 ms    3/  335 (0.9%)
[  3] 68.0-69.0 sec   477 KBytes  3.90 Mbits/sec   0.876 ms    7/  339 (2.1%)
[  3] 69.0-70.0 sec   475 KBytes  3.89 Mbits/sec   0.811 ms    6/  337 (1.8%)
