------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.1.0.1 port 5001 connected with 10.5.0.1 port 55266
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   613 KBytes  5.02 Mbits/sec   0.782 ms 15108/15535 (97%)
[  3]  1.0- 2.0 sec   594 KBytes  4.87 Mbits/sec   0.737 ms    0/  414 (0%)
[  3]  2.0- 3.0 sec   593 KBytes  4.86 Mbits/sec   0.734 ms    0/  413 (0%)
[  3]  3.0- 4.0 sec   617 KBytes  5.06 Mbits/sec   0.575 ms    0/  430 (0%)
[  3]  4.0- 5.0 sec   820 KBytes  6.71 Mbits/sec   0.601 ms   29/  600 (4.8%)
[  3]  5.0- 6.0 sec   840 KBytes  6.88 Mbits/sec   0.586 ms   11/  596 (1.8%)
[  3]  6.0- 7.0 sec   831 KBytes  6.81 Mbits/sec   0.596 ms   16/  595 (2.7%)
[  3]  7.0- 8.0 sec   848 KBytes  6.95 Mbits/sec   0.576 ms    4/  595 (0.67%)
[  3]  8.0- 9.0 sec   843 KBytes  6.90 Mbits/sec   0.583 ms    7/  594 (1.2%)
[  3]  9.0-10.0 sec   828 KBytes  6.79 Mbits/sec   0.564 ms   15/  592 (2.5%)
[  3] 10.0-11.0 sec   817 KBytes  6.69 Mbits/sec   0.581 ms   38/  607 (6.3%)
[  3] 11.0-12.0 sec   841 KBytes  6.89 Mbits/sec   0.592 ms    9/  595 (1.5%)
[  3] 12.0-13.0 sec   835 KBytes  6.84 Mbits/sec   0.588 ms   14/  596 (2.3%)
[  3] 13.0-14.0 sec   841 KBytes  6.89 Mbits/sec   0.594 ms   12/  598 (2%)
[  3] 14.0-15.0 sec   828 KBytes  6.79 Mbits/sec   0.582 ms   10/  587 (1.7%)
[  3] 15.0-16.0 sec   811 KBytes  6.64 Mbits/sec   0.554 ms   41/  606 (6.8%)
[  3] 16.0-17.0 sec   835 KBytes  6.84 Mbits/sec   0.601 ms   15/  597 (2.5%)
[  3] 17.0-18.0 sec   815 KBytes  6.68 Mbits/sec   0.591 ms   23/  591 (3.9%)
[  3] 18.0-19.0 sec   805 KBytes  6.60 Mbits/sec   0.545 ms   37/  598 (6.2%)
[  3] 19.0-20.0 sec   833 KBytes  6.82 Mbits/sec   0.599 ms   15/  595 (2.5%)
[  3] 20.0-21.0 sec   840 KBytes  6.88 Mbits/sec   0.541 ms   10/  595 (1.7%)
[  3] 21.0-22.0 sec   825 KBytes  6.76 Mbits/sec   0.594 ms   18/  593 (3%)
[  3] 22.0-23.0 sec   794 KBytes  6.50 Mbits/sec   0.569 ms   48/  601 (8%)
[  3] 23.0-24.0 sec   833 KBytes  6.82 Mbits/sec   0.591 ms   16/  596 (2.7%)
[  3] 24.0-25.0 sec   825 KBytes  6.76 Mbits/sec   0.574 ms   20/  595 (3.4%)
[  3] 25.0-26.0 sec   825 KBytes  6.76 Mbits/sec   0.593 ms   14/  589 (2.4%)
[  3] 26.0-27.0 sec   847 KBytes  6.94 Mbits/sec   0.621 ms   10/  600 (1.7%)
[  3] 27.0-28.0 sec   833 KBytes  6.82 Mbits/sec   0.624 ms   13/  593 (2.2%)
