------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.2.0.1 port 5001 connected with 10.1.0.1 port 58758
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   854 KBytes  7.00 Mbits/sec   0.029 ms    0/  595 (0%)
[  3]  1.0- 2.0 sec   854 KBytes  7.00 Mbits/sec   0.026 ms    0/  595 (0%)
[  3]  2.0- 3.0 sec   854 KBytes  7.00 Mbits/sec   0.007 ms    0/  595 (0%)
[  3]  3.0- 4.0 sec   856 KBytes  7.01 Mbits/sec   0.040 ms    0/  596 (0%)
[  3]  4.0- 5.0 sec   854 KBytes  7.00 Mbits/sec   0.032 ms    0/  595 (0%)
[  3]  5.0- 6.0 sec   854 KBytes  7.00 Mbits/sec   0.006 ms    0/  595 (0%)
[  3]  6.0- 7.0 sec   596 KBytes  4.88 Mbits/sec   0.738 ms    0/  415 (0%)
[  3]  7.0- 8.0 sec   594 KBytes  4.87 Mbits/sec   0.739 ms    0/  414 (0%)
[  3]  8.0- 9.0 sec   593 KBytes  4.86 Mbits/sec   0.739 ms    0/  413 (0%)
[  3]  9.0-10.0 sec   599 KBytes  4.90 Mbits/sec   0.661 ms    2/  419 (0.48%)
[  3] 10.0-11.0 sec   734 KBytes  6.01 Mbits/sec   0.521 ms   79/  590 (13%)
[  3] 11.0-12.0 sec   729 KBytes  5.97 Mbits/sec   0.511 ms   93/  601 (15%)
[  3] 12.0-13.0 sec   739 KBytes  6.06 Mbits/sec   0.521 ms   80/  595 (13%)
[  3] 13.0-14.0 sec   739 KBytes  6.06 Mbits/sec   0.528 ms   80/  595 (13%)
[  3] 14.0-15.0 sec   748 KBytes  6.13 Mbits/sec   0.530 ms   68/  589 (12%)
[  3] 15.0-16.0 sec   767 KBytes  6.28 Mbits/sec   0.538 ms   68/  602 (11%)
[  3] 16.0-17.0 sec   751 KBytes  6.15 Mbits/sec   0.540 ms   71/  594 (12%)
[  3] 17.0-18.0 sec   752 KBytes  6.16 Mbits/sec   0.551 ms   73/  597 (12%)
[  3] 18.0-19.0 sec   746 KBytes  6.12 Mbits/sec   0.517 ms   74/  594 (12%)
[  3] 19.0-20.0 sec   742 KBytes  6.08 Mbits/sec   0.559 ms   74/  591 (13%)
[  3] 20.0-21.0 sec   768 KBytes  6.29 Mbits/sec   0.524 ms   65/  600 (11%)
[  3] 21.0-22.0 sec   758 KBytes  6.21 Mbits/sec   0.538 ms   67/  595 (11%)
[  3] 22.0-23.0 sec   752 KBytes  6.16 Mbits/sec   0.513 ms   72/  596 (12%)
[  3] 23.0-24.0 sec   758 KBytes  6.21 Mbits/sec   0.525 ms   68/  596 (11%)
[  3] 24.0-25.0 sec   752 KBytes  6.16 Mbits/sec   0.587 ms   70/  594 (12%)
[  3] 25.0-26.0 sec   762 KBytes  6.24 Mbits/sec   0.534 ms   63/  594 (11%)
[  3] 26.0-27.0 sec   751 KBytes  6.15 Mbits/sec   0.565 ms   67/  590 (11%)
[  3] 27.0-28.0 sec   767 KBytes  6.28 Mbits/sec   0.533 ms   68/  602 (11%)
[  3] 28.0-29.0 sec   764 KBytes  6.26 Mbits/sec   0.527 ms   63/  595 (11%)
[  3] 29.0-30.0 sec   754 KBytes  6.17 Mbits/sec   0.579 ms   70/  595 (12%)
[  3] 30.0-31.0 sec   752 KBytes  6.16 Mbits/sec   0.525 ms   70/  594 (12%)
[  3] 31.0-32.0 sec   772 KBytes  6.33 Mbits/sec   0.534 ms   59/  597 (9.9%)
[  3] 32.0-33.0 sec   751 KBytes  6.15 Mbits/sec   0.525 ms   66/  589 (11%)
[  3] 33.0-34.0 sec   761 KBytes  6.23 Mbits/sec   0.526 ms   71/  601 (12%)
[  3] 34.0-35.0 sec   754 KBytes  6.17 Mbits/sec   0.556 ms   70/  595 (12%)
[  3] 35.0-36.0 sec   749 KBytes  6.14 Mbits/sec   0.518 ms   72/  594 (12%)
[  3] 36.0-37.0 sec   758 KBytes  6.21 Mbits/sec   0.529 ms   69/  597 (12%)
[  3] 37.0-38.0 sec   744 KBytes  6.09 Mbits/sec   0.519 ms   77/  595 (13%)
[  3] 38.0-39.0 sec   759 KBytes  6.22 Mbits/sec   0.482 ms   59/  588 (10%)
[  3] 39.0-40.0 sec   775 KBytes  6.35 Mbits/sec   0.517 ms   63/  603 (10%)
[  3] 40.0-41.0 sec   754 KBytes  6.17 Mbits/sec   0.485 ms   70/  595 (12%)
[  3] 41.0-42.0 sec   752 KBytes  6.16 Mbits/sec   0.507 ms   71/  595 (12%)
[  3] 42.0-43.0 sec   746 KBytes  6.12 Mbits/sec   0.508 ms   74/  594 (12%)
[  3] 43.0-44.0 sec   751 KBytes  6.15 Mbits/sec   0.762 ms   66/  589 (11%)
[  3] 44.0-45.0 sec   769 KBytes  6.30 Mbits/sec   0.503 ms   61/  597 (10%)
