------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.6.0.1 port 5001 connected with 10.3.0.2 port 48896
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   626 KBytes  5.13 Mbits/sec   0.785 ms    0/  436 (0%)
[  3]  1.0- 2.0 sec   632 KBytes  5.17 Mbits/sec   0.759 ms    0/  440 (0%)
[  3]  2.0- 3.0 sec   622 KBytes  5.09 Mbits/sec   0.742 ms    0/  433 (0%)
[  3]  3.0- 4.0 sec   629 KBytes  5.15 Mbits/sec   0.850 ms    0/  438 (0%)
[  3]  4.0- 5.0 sec   538 KBytes  4.41 Mbits/sec   0.772 ms  134/  509 (26%)
[  3]  5.0- 6.0 sec   422 KBytes  3.46 Mbits/sec   0.569 ms  302/  596 (51%)
[  3]  6.0- 7.0 sec   432 KBytes  3.54 Mbits/sec   0.695 ms  294/  595 (49%)
[  3]  7.0- 8.0 sec   431 KBytes  3.53 Mbits/sec   0.657 ms  294/  594 (49%)
[  3]  8.0- 9.0 sec   429 KBytes  3.52 Mbits/sec   0.724 ms  289/  588 (49%)
[  3]  9.0-10.0 sec   439 KBytes  3.60 Mbits/sec   0.346 ms  297/  603 (49%)
[  3] 10.0-11.0 sec   421 KBytes  3.45 Mbits/sec   0.258 ms  301/  594 (51%)
[  3] 11.0-12.0 sec   419 KBytes  3.43 Mbits/sec   0.435 ms  305/  597 (51%)
[  3] 12.0-13.0 sec   432 KBytes  3.54 Mbits/sec   0.655 ms  295/  596 (49%)
[  3] 13.0-14.0 sec   426 KBytes  3.49 Mbits/sec   1.157 ms  151/  448 (34%)
[  3] 14.0-15.0 sec   436 KBytes  3.58 Mbits/sec   0.963 ms  109/  413 (26%)
[  3] 15.0-16.0 sec   524 KBytes  4.29 Mbits/sec   1.780 ms   48/  413 (12%)
[  3] 16.0-17.0 sec   534 KBytes  4.37 Mbits/sec   0.922 ms   42/  414 (10%)
[  3] 17.0-18.0 sec   396 KBytes  3.25 Mbits/sec   0.599 ms  345/  621 (56%)
[  3] 18.0-19.0 sec   362 KBytes  2.96 Mbits/sec   0.547 ms  393/  645 (61%)
[  3] 19.0-20.0 sec   357 KBytes  2.93 Mbits/sec   0.409 ms  379/  628 (60%)
[  3] 20.0-21.0 sec   363 KBytes  2.98 Mbits/sec   0.564 ms  387/  640 (60%)
[  3] 21.0-22.0 sec   376 KBytes  3.08 Mbits/sec   0.553 ms  367/  629 (58%)
[  3] 22.0-23.0 sec   357 KBytes  2.93 Mbits/sec   0.484 ms  386/  635 (61%)
[  3] 23.0-24.0 sec   359 KBytes  2.94 Mbits/sec   0.439 ms  393/  643 (61%)
[  3] 24.0-25.0 sec   362 KBytes  2.96 Mbits/sec   0.579 ms  389/  641 (61%)
[  3] 25.0-26.0 sec   369 KBytes  3.02 Mbits/sec   0.598 ms  380/  637 (60%)
[  3] 26.0-27.0 sec   360 KBytes  2.95 Mbits/sec   0.666 ms  403/  654 (62%)
[  3] 27.0-28.0 sec   362 KBytes  2.96 Mbits/sec   0.942 ms  378/  630 (60%)
[  3] 28.0-29.0 sec   365 KBytes  2.99 Mbits/sec   0.592 ms  391/  645 (61%)
[  3] 29.0-30.0 sec   382 KBytes  3.13 Mbits/sec   0.562 ms  370/  636 (58%)
[  3] 30.0-31.0 sec   370 KBytes  3.03 Mbits/sec   0.398 ms  403/  661 (61%)
[  3] 31.0-32.0 sec   309 KBytes  2.53 Mbits/sec   1.413 ms  315/  530 (59%)
