------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.6.0.2 port 5001 connected with 10.2.0.2 port 35861
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   402 KBytes  3.29 Mbits/sec   1.327 ms   78/  358 (22%)
[  3]  1.0- 2.0 sec   388 KBytes  3.18 Mbits/sec   1.289 ms    0/  270 (0%)
[  3]  2.0- 3.0 sec   389 KBytes  3.19 Mbits/sec   1.293 ms    0/  271 (0%)
[  3]  3.0- 4.0 sec   581 KBytes  4.76 Mbits/sec   0.103 ms    9/  414 (2.2%)
[  3]  4.0- 5.0 sec   571 KBytes  4.68 Mbits/sec   0.082 ms   15/  413 (3.6%)
[  3]  5.0- 6.0 sec   581 KBytes  4.76 Mbits/sec   0.107 ms    7/  412 (1.7%)
[  3]  6.0- 7.0 sec   586 KBytes  4.80 Mbits/sec   0.244 ms    6/  414 (1.4%)
[  3]  7.0- 8.0 sec   580 KBytes  4.75 Mbits/sec   0.076 ms    9/  413 (2.2%)
[  3]  8.0- 9.0 sec   576 KBytes  4.72 Mbits/sec   0.076 ms   13/  414 (3.1%)
[  3]  9.0-10.0 sec   579 KBytes  4.74 Mbits/sec   0.088 ms   10/  413 (2.4%)
[  3] 10.0-11.0 sec   583 KBytes  4.77 Mbits/sec   0.084 ms    7/  413 (1.7%)
[  3] 11.0-12.0 sec   573 KBytes  4.69 Mbits/sec   0.079 ms   15/  414 (3.6%)
[  3] 12.0-13.0 sec   570 KBytes  4.67 Mbits/sec   0.072 ms   16/  413 (3.9%)
[  3] 13.0-14.0 sec   567 KBytes  4.65 Mbits/sec   0.093 ms   19/  414 (4.6%)
[  3] 14.0-15.0 sec   574 KBytes  4.70 Mbits/sec   0.116 ms   13/  413 (3.1%)
[  3] 15.0-16.0 sec   570 KBytes  4.67 Mbits/sec   0.120 ms   12/  409 (2.9%)
[  3] 16.0-17.0 sec   587 KBytes  4.81 Mbits/sec   0.077 ms    4/  413 (0.97%)
[  3] 17.0-18.0 sec   593 KBytes  4.86 Mbits/sec   0.175 ms    0/  413 (0%)
[  3] 18.0-19.0 sec   594 KBytes  4.87 Mbits/sec   0.189 ms    0/  414 (0%)
[  3] 19.0-20.0 sec   587 KBytes  4.81 Mbits/sec   0.165 ms    4/  413 (0.97%)
[  3] 20.0-21.0 sec   587 KBytes  4.81 Mbits/sec   0.087 ms    5/  414 (1.2%)
[  3] 21.0-22.0 sec   574 KBytes  4.70 Mbits/sec   0.086 ms    9/  409 (2.2%)
[  3] 22.0-23.0 sec   586 KBytes  4.80 Mbits/sec   0.126 ms    5/  413 (1.2%)
[  3] 23.0-24.0 sec   591 KBytes  4.85 Mbits/sec   0.091 ms    1/  413 (0.24%)
[  3] 24.0-25.0 sec   579 KBytes  4.74 Mbits/sec   0.151 ms   11/  414 (2.7%)
[  3] 25.0-26.0 sec   570 KBytes  4.67 Mbits/sec   0.144 ms   16/  413 (3.9%)
[  3] 26.0-27.0 sec   573 KBytes  4.69 Mbits/sec   0.095 ms   14/  413 (3.4%)
[  3] 27.0-28.0 sec   577 KBytes  4.73 Mbits/sec   0.081 ms   12/  414 (2.9%)
[  3] 28.0-29.0 sec   561 KBytes  4.60 Mbits/sec   0.086 ms   22/  413 (5.3%)
[  3] 29.0-30.0 sec   566 KBytes  4.63 Mbits/sec   0.105 ms   19/  413 (4.6%)
[  3] 30.0-31.0 sec  1.03 MBytes  8.61 Mbits/sec   1.211 ms   33/  765 (4.3%)
[  3] 31.0-32.0 sec   645 KBytes  5.28 Mbits/sec   0.149 ms    1/  450 (0.22%)
[  3] 32.0-33.0 sec   610 KBytes  5.00 Mbits/sec   0.283 ms    0/  425 (0%)
[  3] 33.0-34.0 sec   610 KBytes  5.00 Mbits/sec   0.158 ms    0/  425 (0%)
[  3] 34.0-35.0 sec   610 KBytes  5.00 Mbits/sec   0.294 ms    0/  425 (0%)
[  3] 35.0-36.0 sec   610 KBytes  5.00 Mbits/sec   0.169 ms    0/  425 (0%)
[  3] 36.0-37.0 sec   610 KBytes  5.00 Mbits/sec   0.176 ms    0/  425 (0%)
[  3] 37.0-38.0 sec   612 KBytes  5.01 Mbits/sec   0.144 ms    0/  426 (0%)
[  3] 38.0-39.0 sec   609 KBytes  4.99 Mbits/sec   0.225 ms    0/  424 (0%)
[  3] 39.0-40.0 sec   604 KBytes  4.95 Mbits/sec   0.165 ms    0/  421 (0%)
[  3] 40.0-41.0 sec   616 KBytes  5.05 Mbits/sec   0.250 ms    1/  430 (0.23%)
[  3] 41.0-42.0 sec   610 KBytes  5.00 Mbits/sec   0.205 ms    0/  425 (0%)
[  3] 42.0-43.0 sec   610 KBytes  5.00 Mbits/sec   0.197 ms    0/  425 (0%)
[  3] 43.0-44.0 sec   612 KBytes  5.01 Mbits/sec   0.268 ms    0/  426 (0%)
[  3] 44.0-45.0 sec   610 KBytes  5.00 Mbits/sec   0.132 ms    0/  425 (0%)
[  3] 45.0-46.0 sec   610 KBytes  5.00 Mbits/sec   0.141 ms    0/  425 (0%)
[  3] 46.0-47.0 sec   610 KBytes  5.00 Mbits/sec   0.136 ms    0/  425 (0%)
[  3] 47.0-48.0 sec   610 KBytes  5.00 Mbits/sec   0.156 ms    0/  425 (0%)
[  3] 48.0-49.0 sec   612 KBytes  5.01 Mbits/sec   0.307 ms    0/  426 (0%)
[  3] 49.0-50.0 sec   609 KBytes  4.99 Mbits/sec   0.166 ms    0/  424 (0%)
[  3] 50.0-51.0 sec   604 KBytes  4.95 Mbits/sec   0.150 ms    0/  421 (0%)
[  3] 51.0-52.0 sec   604 KBytes  4.95 Mbits/sec   0.184 ms    9/  430 (2.1%)
