------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.4.0.1 port 5001 connected with 10.2.0.2 port 40725
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   392 KBytes  3.21 Mbits/sec   1.296 ms    7/  280 (2.5%)
[  3]  1.0- 2.0 sec   392 KBytes  3.21 Mbits/sec   1.308 ms    0/  273 (0%)
[  3]  2.0- 3.0 sec   392 KBytes  3.21 Mbits/sec   1.322 ms    0/  273 (0%)
[  3]  3.0- 4.0 sec   548 KBytes  4.49 Mbits/sec   0.077 ms   25/  407 (6.1%)
[  3]  4.0- 5.0 sec   548 KBytes  4.49 Mbits/sec   0.114 ms   31/  413 (7.5%)
[  3]  5.0- 6.0 sec   589 KBytes  4.82 Mbits/sec   0.120 ms    4/  414 (0.97%)
[  3]  6.0- 7.0 sec   591 KBytes  4.85 Mbits/sec   0.100 ms    1/  413 (0.24%)
[  3]  7.0- 8.0 sec   586 KBytes  4.80 Mbits/sec   0.082 ms    6/  414 (1.4%)
[  3]  8.0- 9.0 sec   564 KBytes  4.62 Mbits/sec   0.197 ms   15/  408 (3.7%)
[  3]  9.0-10.0 sec   579 KBytes  4.74 Mbits/sec   0.150 ms   11/  414 (2.7%)
[  3] 10.0-11.0 sec   590 KBytes  4.83 Mbits/sec   0.160 ms    2/  413 (0.48%)
[  3] 11.0-12.0 sec   591 KBytes  4.85 Mbits/sec   0.101 ms    2/  414 (0.48%)
[  3] 12.0-13.0 sec   570 KBytes  4.67 Mbits/sec   0.109 ms   12/  409 (2.9%)
[  3] 13.0-14.0 sec   584 KBytes  4.79 Mbits/sec   0.737 ms    6/  413 (1.5%)
[  3] 14.0-15.0 sec   589 KBytes  4.82 Mbits/sec   0.143 ms    3/  413 (0.73%)
[  3] 15.0-16.0 sec   593 KBytes  4.86 Mbits/sec   0.153 ms    1/  414 (0.24%)
[  3] 16.0-17.0 sec   843 KBytes  6.90 Mbits/sec   0.160 ms   23/  610 (3.8%)
[  3] 17.0-18.0 sec   570 KBytes  4.67 Mbits/sec   0.159 ms   33/  430 (7.7%)
[  3] 18.0-19.0 sec   577 KBytes  4.73 Mbits/sec   0.141 ms   23/  425 (5.4%)
[  3] 19.0-20.0 sec   576 KBytes  4.72 Mbits/sec   0.277 ms   23/  424 (5.4%)
[  3] 20.0-21.0 sec   570 KBytes  4.67 Mbits/sec   0.169 ms   24/  421 (5.7%)
[  3] 21.0-22.0 sec   570 KBytes  4.67 Mbits/sec   0.236 ms   34/  431 (7.9%)
[  3] 22.0-23.0 sec   577 KBytes  4.73 Mbits/sec   0.231 ms   22/  424 (5.2%)
[  3] 23.0-24.0 sec   576 KBytes  4.72 Mbits/sec   0.218 ms   24/  425 (5.6%)
[  3] 24.0-25.0 sec   571 KBytes  4.68 Mbits/sec   0.210 ms   23/  421 (5.5%)
[  3] 25.0-26.0 sec   568 KBytes  4.66 Mbits/sec   0.139 ms   34/  430 (7.9%)
[  3] 26.0-27.0 sec   577 KBytes  4.73 Mbits/sec   0.150 ms   23/  425 (5.4%)
[  3] 27.0-28.0 sec   577 KBytes  4.73 Mbits/sec   0.167 ms   23/  425 (5.4%)
[  3] 28.0-29.0 sec   576 KBytes  4.72 Mbits/sec   0.141 ms   24/  425 (5.6%)
[  3] 29.0-30.0 sec   570 KBytes  4.67 Mbits/sec   0.203 ms   24/  421 (5.7%)
