------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.1.0.2 port 5001 connected with 10.2.0.2 port 44639
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   593 KBytes  4.86 Mbits/sec   0.692 ms   11/  424 (2.6%)
[  3]  1.0- 2.0 sec   594 KBytes  4.87 Mbits/sec   0.716 ms    0/  414 (0%)
[  3]  2.0- 3.0 sec   593 KBytes  4.86 Mbits/sec   0.756 ms    0/  413 (0%)
[  3]  3.0- 4.0 sec   594 KBytes  4.87 Mbits/sec   0.671 ms    0/  414 (0%)
[  3]  4.0- 5.0 sec   591 KBytes  4.85 Mbits/sec   0.676 ms    0/  412 (0%)
[  3]  5.0- 6.0 sec   594 KBytes  4.87 Mbits/sec   0.730 ms    0/  414 (0%)
[  3]  6.0- 7.0 sec   537 KBytes  4.40 Mbits/sec   0.565 ms   27/  401 (6.7%)
[  3]  7.0- 8.0 sec   566 KBytes  4.63 Mbits/sec   0.909 ms   44/  438 (10%)
[  3]  8.0- 9.0 sec   563 KBytes  4.61 Mbits/sec   0.593 ms   45/  437 (10%)
[  3]  9.0-10.0 sec   550 KBytes  4.50 Mbits/sec   0.666 ms   59/  442 (13%)
[  3] 10.0-11.0 sec   564 KBytes  4.62 Mbits/sec   0.826 ms   41/  434 (9.4%)
[  3] 11.0-12.0 sec   556 KBytes  4.55 Mbits/sec   1.005 ms   52/  439 (12%)
[  3] 12.0-13.0 sec   554 KBytes  4.54 Mbits/sec   0.909 ms   46/  432 (11%)
[  3] 13.0-14.0 sec   263 KBytes  2.15 Mbits/sec   1.114 ms  196/  379 (52%)
[  3] 14.0-15.0 sec  1.44 KBytes  11.8 Kbits/sec   1.062 ms  180/  181 (99%)
[  3] 15.0-16.0 sec  7.18 KBytes  58.8 Kbits/sec   1.360 ms  848/  853 (99%)
[  3] 16.0-17.0 sec   366 KBytes  3.00 Mbits/sec   0.741 ms  386/  641 (60%)
[  3] 17.0-18.0 sec  1.12 MBytes  9.41 Mbits/sec   0.763 ms   26/  826 (3.1%)
[  3] 18.0-19.0 sec   846 KBytes  6.93 Mbits/sec   0.387 ms  100/  689 (15%)
[  3] 19.0-20.0 sec   471 KBytes  3.86 Mbits/sec   0.285 ms  187/  515 (36%)
[  3] 20.0-21.0 sec   459 KBytes  3.76 Mbits/sec   0.420 ms  191/  511 (37%)
[  3] 21.0-22.0 sec   457 KBytes  3.74 Mbits/sec   0.333 ms  191/  509 (38%)
[  3] 22.0-23.0 sec   459 KBytes  3.76 Mbits/sec   0.348 ms  190/  510 (37%)
[  3] 23.0-24.0 sec   457 KBytes  3.74 Mbits/sec   0.395 ms  193/  511 (38%)
[  3] 24.0-25.0 sec   452 KBytes  3.70 Mbits/sec   0.349 ms  189/  504 (38%)
[  3] 25.0-26.0 sec   472 KBytes  3.87 Mbits/sec   0.376 ms  187/  516 (36%)
[  3] 26.0-27.0 sec   457 KBytes  3.74 Mbits/sec   0.339 ms  192/  510 (38%)
[  3] 27.0-28.0 sec   459 KBytes  3.76 Mbits/sec   0.350 ms  190/  510 (37%)
[  3] 28.0-29.0 sec   455 KBytes  3.73 Mbits/sec   0.336 ms  194/  511 (38%)
[  3] 29.0-30.0 sec   457 KBytes  3.74 Mbits/sec   0.364 ms  188/  506 (37%)
[  3] 30.0-31.0 sec   507 KBytes  4.15 Mbits/sec   0.518 ms   97/  450 (22%)
[  3] 31.0-32.0 sec   393 KBytes  3.22 Mbits/sec   1.246 ms  139/  413 (34%)
[  3] 32.0-33.0 sec   240 KBytes  1.96 Mbits/sec   1.233 ms  243/  410 (59%)
[  3] 33.0-34.0 sec   541 KBytes  4.43 Mbits/sec   0.457 ms   39/  416 (9.4%)
[  3] 34.0-35.0 sec   584 KBytes  4.79 Mbits/sec   0.489 ms    2/  409 (0.49%)
[  3] 35.0-36.0 sec   593 KBytes  4.86 Mbits/sec   0.459 ms    1/  414 (0.24%)
[  3] 36.0-37.0 sec   627 KBytes  5.14 Mbits/sec   0.553 ms    4/  441 (0.91%)
[  3] 37.0-38.0 sec   716 KBytes  5.87 Mbits/sec   0.692 ms   16/  515 (3.1%)
[  3] 38.0-39.0 sec   864 KBytes  7.08 Mbits/sec   0.782 ms    9/  611 (1.5%)
[  3] 39.0-40.0 sec  1.15 MBytes  9.62 Mbits/sec   0.783 ms   10/  828 (1.2%)
[  3] 40.0-41.0 sec   870 KBytes  7.13 Mbits/sec   0.633 ms   42/  648 (6.5%)
[  3] 41.0-42.0 sec   472 KBytes  3.87 Mbits/sec   0.636 ms   81/  410 (20%)
[  3] 42.0-43.0 sec   482 KBytes  3.95 Mbits/sec   0.578 ms   77/  413 (19%)
[  3] 43.0-44.0 sec   775 KBytes  6.35 Mbits/sec   0.864 ms   47/  587 (8%)
[  3] 44.0-45.0 sec   808 KBytes  6.62 Mbits/sec   0.349 ms  128/  691 (19%)
[  3] 45.0-46.0 sec   461 KBytes  3.77 Mbits/sec   0.546 ms  185/  506 (37%)
[  3] 46.0-47.0 sec   457 KBytes  3.74 Mbits/sec   0.385 ms  192/  510 (38%)
[  3] 47.0-48.0 sec   474 KBytes  3.88 Mbits/sec   0.367 ms  185/  515 (36%)
[  3] 48.0-49.0 sec   462 KBytes  3.79 Mbits/sec   0.366 ms  189/  511 (37%)
[  3] 49.0-50.0 sec   461 KBytes  3.77 Mbits/sec   0.629 ms  189/  510 (37%)
[  3] 50.0-51.0 sec   458 KBytes  3.75 Mbits/sec   0.423 ms  191/  510 (37%)
[  3] 51.0-52.0 sec   461 KBytes  3.77 Mbits/sec   0.416 ms  189/  510 (37%)
[  3] 52.0-53.0 sec   459 KBytes  3.76 Mbits/sec   0.412 ms  191/  511 (37%)
[  3] 53.0-54.0 sec   458 KBytes  3.75 Mbits/sec   0.418 ms  190/  509 (37%)
[  3] 54.0-55.0 sec   452 KBytes  3.70 Mbits/sec   0.366 ms  190/  505 (38%)
[  3] 55.0-56.0 sec   472 KBytes  3.87 Mbits/sec   0.904 ms  188/  517 (36%)
[  3] 56.0-57.0 sec   465 KBytes  3.81 Mbits/sec   0.398 ms  185/  509 (36%)
[  3] 57.0-58.0 sec   458 KBytes  3.75 Mbits/sec   0.388 ms  191/  510 (37%)
[  3] 58.0-59.0 sec   458 KBytes  3.75 Mbits/sec   0.383 ms  192/  511 (38%)
[  3] 59.0-60.0 sec   451 KBytes  3.69 Mbits/sec   0.382 ms  190/  504 (38%)
[  3] 60.0-61.0 sec   471 KBytes  3.86 Mbits/sec   0.576 ms  187/  515 (36%)
[  3] 61.0-62.0 sec   461 KBytes  3.77 Mbits/sec   0.399 ms  190/  511 (37%)
[  3] 62.0-63.0 sec   467 KBytes  3.82 Mbits/sec   0.368 ms  186/  511 (36%)
[  3] 63.0-64.0 sec   457 KBytes  3.74 Mbits/sec   0.368 ms  192/  510 (38%)
[  3] 64.0-65.0 sec   459 KBytes  3.76 Mbits/sec   0.422 ms  189/  509 (37%)
