------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.7.0.1 port 5001 connected with 10.3.0.2 port 57230
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   693 KBytes  5.68 Mbits/sec   0.733 ms    8/  491 (1.6%)
[  3]  1.0- 2.0 sec   531 KBytes  4.35 Mbits/sec   0.777 ms    0/  370 (0%)
[  3]  2.0- 3.0 sec   531 KBytes  4.35 Mbits/sec   0.770 ms    0/  370 (0%)
[  3]  3.0- 4.0 sec   531 KBytes  4.35 Mbits/sec   0.743 ms    0/  370 (0%)
[  3]  4.0- 5.0 sec   531 KBytes  4.35 Mbits/sec   0.768 ms    0/  370 (0%)
[  3]  5.0- 6.0 sec   531 KBytes  4.35 Mbits/sec   0.709 ms    0/  370 (0%)
[  3]  6.0- 7.0 sec   531 KBytes  4.35 Mbits/sec   0.746 ms    0/  370 (0%)
[  3]  7.0- 8.0 sec   535 KBytes  4.39 Mbits/sec   0.951 ms    0/  373 (0%)
[  3]  8.0- 9.0 sec   688 KBytes  5.63 Mbits/sec   0.545 ms    0/  479 (0%)
[  3]  9.0-10.0 sec   848 KBytes  6.95 Mbits/sec   1.003 ms  127/  718 (18%)
[  3] 10.0-11.0 sec   758 KBytes  6.21 Mbits/sec   0.507 ms  195/  723 (27%)
[  3] 11.0-12.0 sec   457 KBytes  3.74 Mbits/sec   0.374 ms  192/  510 (38%)
[  3] 12.0-13.0 sec   457 KBytes  3.74 Mbits/sec   0.427 ms  191/  509 (38%)
[  3] 13.0-14.0 sec   459 KBytes  3.76 Mbits/sec   0.370 ms  186/  506 (37%)
[  3] 14.0-15.0 sec   467 KBytes  3.82 Mbits/sec   0.383 ms  190/  515 (37%)
[  3] 15.0-16.0 sec   457 KBytes  3.74 Mbits/sec   0.483 ms  193/  511 (38%)
[  3] 16.0-17.0 sec   457 KBytes  3.74 Mbits/sec   0.339 ms  192/  510 (38%)
[  3] 17.0-18.0 sec   458 KBytes  3.75 Mbits/sec   0.394 ms  190/  509 (37%)
[  3] 18.0-19.0 sec   458 KBytes  3.75 Mbits/sec   0.447 ms  194/  513 (38%)
[  3] 19.0-20.0 sec   454 KBytes  3.72 Mbits/sec   0.393 ms  188/  504 (37%)
[  3] 20.0-21.0 sec   474 KBytes  3.88 Mbits/sec   0.419 ms  184/  514 (36%)
[  3] 21.0-22.0 sec   458 KBytes  3.75 Mbits/sec   0.449 ms  192/  511 (38%)
[  3] 22.0-23.0 sec   461 KBytes  3.77 Mbits/sec   0.403 ms  188/  509 (37%)
[  3] 23.0-24.0 sec   462 KBytes  3.79 Mbits/sec   0.377 ms  190/  512 (37%)
[  3] 24.0-25.0 sec   451 KBytes  3.69 Mbits/sec   0.381 ms  190/  504 (38%)
[  3] 25.0-26.0 sec   469 KBytes  3.85 Mbits/sec   0.869 ms  189/  516 (37%)
[  3] 26.0-27.0 sec   457 KBytes  3.74 Mbits/sec   0.430 ms  191/  509 (38%)
[  3] 27.0-28.0 sec   461 KBytes  3.77 Mbits/sec   0.491 ms  190/  511 (37%)
[  3] 28.0-29.0 sec   461 KBytes  3.77 Mbits/sec   0.568 ms  190/  511 (37%)
[  3] 29.0-30.0 sec   462 KBytes  3.79 Mbits/sec   0.505 ms  187/  509 (37%)
[  3] 30.0-31.0 sec   458 KBytes  3.75 Mbits/sec   0.480 ms  192/  511 (38%)
[  3] 31.0-32.0 sec   458 KBytes  3.75 Mbits/sec   0.432 ms  191/  510 (37%)
[  3] 32.0-33.0 sec   455 KBytes  3.73 Mbits/sec   0.401 ms  192/  509 (38%)
[  3] 33.0-34.0 sec   461 KBytes  3.77 Mbits/sec   0.449 ms  190/  511 (37%)
[  3] 34.0-35.0 sec   464 KBytes  3.80 Mbits/sec   0.451 ms  188/  511 (37%)
[  3] 35.0-36.0 sec   449 KBytes  3.68 Mbits/sec   0.314 ms  192/  505 (38%)
[  3] 36.0-37.0 sec   469 KBytes  3.85 Mbits/sec   0.529 ms  188/  515 (37%)
[  3] 37.0-38.0 sec   462 KBytes  3.79 Mbits/sec   0.420 ms  187/  509 (37%)
[  3] 38.0-39.0 sec   457 KBytes  3.74 Mbits/sec   0.389 ms  188/  506 (37%)
[  3] 39.0-40.0 sec   461 KBytes  3.77 Mbits/sec   1.204 ms  191/  512 (37%)
[  3] 40.0-41.0 sec   465 KBytes  3.81 Mbits/sec   0.344 ms  189/  513 (37%)
[  3] 41.0-42.0 sec   458 KBytes  3.75 Mbits/sec   0.408 ms  192/  511 (38%)
[  3] 42.0-43.0 sec   452 KBytes  3.70 Mbits/sec   0.482 ms  190/  505 (38%)
[  3] 43.0-44.0 sec   474 KBytes  3.88 Mbits/sec   0.551 ms  186/  516 (36%)
[  3] 44.0-45.0 sec   459 KBytes  3.76 Mbits/sec   0.515 ms  189/  509 (37%)
[  3] 45.0-46.0 sec   458 KBytes  3.75 Mbits/sec   0.481 ms  191/  510 (37%)
[  3] 46.0-47.0 sec   452 KBytes  3.70 Mbits/sec   0.343 ms  189/  504 (38%)
[  3] 47.0-48.0 sec   469 KBytes  3.85 Mbits/sec   0.530 ms  190/  517 (37%)
[  3] 48.0-49.0 sec   459 KBytes  3.76 Mbits/sec   0.344 ms  191/  511 (37%)
[  3] 49.0-50.0 sec   455 KBytes  3.73 Mbits/sec   0.371 ms  192/  509 (38%)
[  3] 50.0-51.0 sec   462 KBytes  3.79 Mbits/sec   0.364 ms  189/  511 (37%)
[  3] 51.0-52.0 sec   462 KBytes  3.79 Mbits/sec   0.405 ms  188/  510 (37%)
[  3] 52.0-53.0 sec   459 KBytes  3.76 Mbits/sec   0.343 ms  190/  510 (37%)
[  3] 53.0-54.0 sec   461 KBytes  3.77 Mbits/sec   0.740 ms  191/  512 (37%)
[  3] 54.0-55.0 sec   461 KBytes  3.77 Mbits/sec   0.643 ms  191/  512 (37%)
[  3] 55.0-56.0 sec   465 KBytes  3.81 Mbits/sec   0.629 ms  187/  511 (37%)
[  3] 56.0-57.0 sec   455 KBytes  3.73 Mbits/sec   0.497 ms  196/  513 (38%)
[  3] 57.0-58.0 sec   464 KBytes  3.80 Mbits/sec   0.547 ms  187/  510 (37%)
[  3] 58.0-59.0 sec   471 KBytes  3.86 Mbits/sec   0.510 ms  185/  513 (36%)
[  3] 59.0-60.0 sec   471 KBytes  3.86 Mbits/sec   0.525 ms  183/  511 (36%)
[  3] 60.0-61.0 sec   467 KBytes  3.82 Mbits/sec   0.550 ms  177/  502 (35%)
[  3] 61.0-62.0 sec   487 KBytes  3.99 Mbits/sec   0.513 ms  180/  519 (35%)
[  3] 62.0-63.0 sec   468 KBytes  3.83 Mbits/sec   0.539 ms  184/  510 (36%)
[  3] 63.0-64.0 sec   477 KBytes  3.90 Mbits/sec   0.426 ms  177/  509 (35%)
[  3] 64.0-65.0 sec   475 KBytes  3.89 Mbits/sec   0.515 ms  183/  514 (36%)
[  3] 65.0-66.0 sec   469 KBytes  3.85 Mbits/sec   0.509 ms  177/  504 (35%)
[  3] 66.0-67.0 sec   469 KBytes  3.85 Mbits/sec   0.468 ms  184/  511 (36%)
[  3] 67.0-68.0 sec   474 KBytes  3.88 Mbits/sec   0.594 ms  181/  511 (35%)
[  3] 68.0-69.0 sec   468 KBytes  3.83 Mbits/sec   0.411 ms  185/  511 (36%)
[  3] 69.0-70.0 sec   472 KBytes  3.87 Mbits/sec   0.588 ms  179/  508 (35%)
[  3] 70.0-71.0 sec   462 KBytes  3.79 Mbits/sec   0.455 ms  184/  506 (36%)
[  3] 71.0-72.0 sec   461 KBytes  3.77 Mbits/sec   0.446 ms  193/  514 (38%)
[  3] 72.0-73.0 sec   477 KBytes  3.90 Mbits/sec   0.571 ms  178/  510 (35%)
[  3] 73.0-74.0 sec   457 KBytes  3.74 Mbits/sec   0.711 ms  188/  506 (37%)
[  3] 74.0-75.0 sec   461 KBytes  3.77 Mbits/sec   0.479 ms  197/  518 (38%)
[  3] 75.0-76.0 sec   468 KBytes  3.83 Mbits/sec   0.665 ms  184/  510 (36%)
[  3] 76.0-77.0 sec   474 KBytes  3.88 Mbits/sec   0.581 ms  175/  505 (35%)
[  3] 77.0-78.0 sec   469 KBytes  3.85 Mbits/sec   0.630 ms  179/  506 (35%)
[  3] 78.0-79.0 sec   472 KBytes  3.87 Mbits/sec   0.417 ms  184/  513 (36%)
[  3] 79.0-80.0 sec   469 KBytes  3.85 Mbits/sec   0.544 ms  183/  510 (36%)
[  3] 80.0-81.0 sec   481 KBytes  3.94 Mbits/sec   0.583 ms  178/  513 (35%)
[  3] 81.0-82.0 sec   469 KBytes  3.85 Mbits/sec   0.418 ms  179/  506 (35%)
[  3] 82.0-83.0 sec   477 KBytes  3.90 Mbits/sec   0.573 ms  180/  512 (35%)
[  3] 83.0-84.0 sec   472 KBytes  3.87 Mbits/sec   0.498 ms  184/  513 (36%)
[  3] 84.0-85.0 sec   469 KBytes  3.85 Mbits/sec   0.481 ms  180/  507 (36%)
[  3] 85.0-86.0 sec   488 KBytes  4.00 Mbits/sec   1.026 ms  170/  510 (33%)
[  3] 86.0-87.0 sec   471 KBytes  3.86 Mbits/sec   0.538 ms  183/  511 (36%)
[  3] 87.0-88.0 sec   467 KBytes  3.82 Mbits/sec   0.591 ms  185/  510 (36%)
[  3] 88.0-89.0 sec   467 KBytes  3.82 Mbits/sec   0.412 ms  185/  510 (36%)
[  3] 89.0-90.0 sec   465 KBytes  3.81 Mbits/sec   0.384 ms  189/  513 (37%)
[  3] 90.0-91.0 sec   471 KBytes  3.86 Mbits/sec   0.502 ms  182/  510 (36%)
[  3] 91.0-92.0 sec   481 KBytes  3.94 Mbits/sec   0.399 ms  173/  508 (34%)
[  3] 92.0-93.0 sec   472 KBytes  3.87 Mbits/sec   0.528 ms  180/  509 (35%)
[  3] 93.0-94.0 sec   464 KBytes  3.80 Mbits/sec   0.656 ms  190/  513 (37%)
[  3] 94.0-95.0 sec   469 KBytes  3.85 Mbits/sec   0.474 ms  182/  509 (36%)
[  3] 95.0-96.0 sec   465 KBytes  3.81 Mbits/sec   0.593 ms  182/  506 (36%)
[  3] 96.0-97.0 sec   464 KBytes  3.80 Mbits/sec   0.640 ms  191/  514 (37%)
[  3] 97.0-98.0 sec   471 KBytes  3.86 Mbits/sec   0.478 ms  181/  509 (36%)
[  3] 98.0-99.0 sec   472 KBytes  3.87 Mbits/sec   0.523 ms  184/  513 (36%)
[  3] 99.0-100.0 sec   474 KBytes  3.88 Mbits/sec   0.630 ms  175/  505 (35%)
[  3] 100.0-101.0 sec   469 KBytes  3.85 Mbits/sec   0.380 ms  187/  514 (36%)
[  3] 101.0-102.0 sec   477 KBytes  3.90 Mbits/sec   0.376 ms  176/  508 (35%)
[  3] 102.0-103.0 sec   468 KBytes  3.83 Mbits/sec   0.563 ms  185/  511 (36%)
[  3] 103.0-104.0 sec   467 KBytes  3.82 Mbits/sec   0.515 ms  184/  509 (36%)
[  3] 104.0-105.0 sec   468 KBytes  3.83 Mbits/sec   0.520 ms  185/  511 (36%)
[  3] 105.0-106.0 sec   475 KBytes  3.89 Mbits/sec   0.458 ms  176/  507 (35%)
[  3] 106.0-107.0 sec   464 KBytes  3.80 Mbits/sec   0.427 ms  184/  507 (36%)
[  3] 107.0-108.0 sec   481 KBytes  3.94 Mbits/sec   0.681 ms  183/  518 (35%)
[  3] 108.0-109.0 sec   474 KBytes  3.88 Mbits/sec   0.524 ms  179/  509 (35%)
[  3] 109.0-110.0 sec   478 KBytes  3.92 Mbits/sec   0.661 ms  176/  509 (35%)
[  3] 110.0-111.0 sec   469 KBytes  3.85 Mbits/sec   0.671 ms  185/  512 (36%)
[  3] 111.0-112.0 sec   472 KBytes  3.87 Mbits/sec   0.637 ms  179/  508 (35%)
[  3] 112.0-113.0 sec   471 KBytes  3.86 Mbits/sec   0.475 ms  185/  513 (36%)
[  3] 113.0-114.0 sec   475 KBytes  3.89 Mbits/sec   0.392 ms  179/  510 (35%)
