------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.4.0.1 port 5001 connected with 10.2.0.2 port 58102
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   593 KBytes  4.86 Mbits/sec   0.459 ms    9/  422 (2.1%)
[  3]  1.0- 2.0 sec   594 KBytes  4.87 Mbits/sec   0.526 ms    0/  414 (0%)
[  3]  2.0- 3.0 sec   593 KBytes  4.86 Mbits/sec   0.462 ms    0/  413 (0%)
[  3]  3.0- 4.0 sec   594 KBytes  4.87 Mbits/sec   0.671 ms    0/  414 (0%)
[  3]  4.0- 5.0 sec   587 KBytes  4.81 Mbits/sec   0.599 ms    0/  409 (0%)
[  3]  5.0- 6.0 sec   593 KBytes  4.86 Mbits/sec   0.501 ms    0/  413 (0%)
[  3]  6.0- 7.0 sec   498 KBytes  4.08 Mbits/sec   0.382 ms  132/  479 (28%)
[  3]  7.0- 8.0 sec   458 KBytes  3.75 Mbits/sec   0.330 ms  190/  509 (37%)
[  3]  8.0- 9.0 sec   459 KBytes  3.76 Mbits/sec   0.361 ms  186/  506 (37%)
[  3]  9.0-10.0 sec   468 KBytes  3.83 Mbits/sec   0.330 ms  189/  515 (37%)
[  3] 10.0-11.0 sec   457 KBytes  3.74 Mbits/sec   0.356 ms  193/  511 (38%)
[  3] 11.0-12.0 sec   458 KBytes  3.75 Mbits/sec   0.362 ms  191/  510 (37%)
[  3] 12.0-13.0 sec   458 KBytes  3.75 Mbits/sec   0.379 ms  190/  509 (37%)
[  3] 13.0-14.0 sec   462 KBytes  3.79 Mbits/sec   0.365 ms  189/  511 (37%)
[  3] 14.0-15.0 sec   458 KBytes  3.75 Mbits/sec   0.387 ms  192/  511 (38%)
[  3] 15.0-16.0 sec   461 KBytes  3.77 Mbits/sec   0.357 ms  188/  509 (37%)
[  3] 16.0-17.0 sec   459 KBytes  3.76 Mbits/sec   0.381 ms  190/  510 (37%)
[  3] 17.0-18.0 sec   452 KBytes  3.70 Mbits/sec   1.084 ms  189/  504 (38%)
[  3] 18.0-19.0 sec   461 KBytes  3.77 Mbits/sec   0.421 ms  192/  513 (37%)
[  3] 19.0-20.0 sec   472 KBytes  3.87 Mbits/sec   0.394 ms  186/  515 (36%)
[  3] 20.0-21.0 sec   472 KBytes  3.87 Mbits/sec   0.609 ms  186/  515 (36%)
[  3] 21.0-22.0 sec  1.16 MBytes  9.73 Mbits/sec   0.763 ms    0/  827 (0%)
[  3] 22.0-23.0 sec  1.13 MBytes  9.47 Mbits/sec   0.094 ms    0/  805 (0%)
[  3] 23.0-24.0 sec   732 KBytes  6.00 Mbits/sec   0.010 ms    0/  510 (0%)
[  3] 24.0-25.0 sec   715 KBytes  5.86 Mbits/sec   0.516 ms    0/  498 (0%)
[  3] 25.0-26.0 sec   690 KBytes  5.66 Mbits/sec   0.568 ms    0/  481 (0%)
[  3] 26.0-27.0 sec   706 KBytes  5.79 Mbits/sec   0.531 ms    0/  492 (0%)
[  3] 27.0-28.0 sec   705 KBytes  5.77 Mbits/sec   0.550 ms    0/  491 (0%)
[  3] 28.0-29.0 sec   706 KBytes  5.79 Mbits/sec   0.584 ms    0/  492 (0%)
[  3] 29.0-30.0 sec   706 KBytes  5.79 Mbits/sec   0.589 ms    0/  492 (0%)
[  3] 30.0-31.0 sec   699 KBytes  5.73 Mbits/sec   0.487 ms    0/  487 (0%)
[  3] 31.0-32.0 sec   622 KBytes  5.09 Mbits/sec   1.217 ms    0/  433 (0%)
[  3] 32.0-33.0 sec   607 KBytes  4.97 Mbits/sec   0.559 ms    0/  423 (0%)
[  3] 33.0-34.0 sec   699 KBytes  5.73 Mbits/sec   0.551 ms    0/  487 (0%)
[  3] 34.0-35.0 sec   719 KBytes  5.89 Mbits/sec   0.594 ms    0/  501 (0%)
[  3] 35.0-36.0 sec   712 KBytes  5.83 Mbits/sec   0.526 ms    0/  496 (0%)
[  3] 36.0-37.0 sec   709 KBytes  5.81 Mbits/sec   0.652 ms    0/  494 (0%)
[  3] 37.0-38.0 sec   731 KBytes  5.99 Mbits/sec   0.599 ms    0/  509 (0%)
[  3] 38.0-39.0 sec   719 KBytes  5.89 Mbits/sec   0.573 ms    0/  501 (0%)
[  3] 39.0-40.0 sec   696 KBytes  5.70 Mbits/sec   0.671 ms    0/  485 (0%)
[  3] 40.0-41.0 sec   705 KBytes  5.77 Mbits/sec   0.652 ms    0/  491 (0%)
[  3] 41.0-42.0 sec   728 KBytes  5.96 Mbits/sec   0.592 ms    0/  507 (0%)
[  3] 42.0-43.0 sec   725 KBytes  5.94 Mbits/sec   0.633 ms    0/  505 (0%)
[  3] 43.0-44.0 sec   718 KBytes  5.88 Mbits/sec   0.518 ms    0/  500 (0%)
[  3] 44.0-45.0 sec   711 KBytes  5.82 Mbits/sec   0.608 ms    0/  495 (0%)
[  3] 45.0-46.0 sec   724 KBytes  5.93 Mbits/sec   0.512 ms    0/  504 (0%)
[  3] 46.0-47.0 sec   729 KBytes  5.97 Mbits/sec   0.524 ms    0/  508 (0%)
[  3] 47.0-48.0 sec   715 KBytes  5.86 Mbits/sec   0.544 ms    0/  498 (0%)
[  3] 48.0-49.0 sec   713 KBytes  5.84 Mbits/sec   0.568 ms    0/  497 (0%)
[  3] 49.0-50.0 sec   712 KBytes  5.83 Mbits/sec   0.585 ms    0/  496 (0%)
[  3] 50.0-51.0 sec   721 KBytes  5.90 Mbits/sec   0.594 ms    0/  502 (0%)
[  3] 51.0-52.0 sec   731 KBytes  5.99 Mbits/sec   0.582 ms    0/  509 (0%)
[  3] 52.0-53.0 sec   721 KBytes  5.90 Mbits/sec   0.837 ms    0/  502 (0%)
[  3] 53.0-54.0 sec   731 KBytes  5.99 Mbits/sec   1.304 ms    0/  509 (0%)
[  3] 54.0-55.0 sec   729 KBytes  5.97 Mbits/sec   0.530 ms    0/  508 (0%)
[  3] 55.0-56.0 sec   721 KBytes  5.90 Mbits/sec   0.657 ms    0/  502 (0%)
[  3] 56.0-57.0 sec   712 KBytes  5.83 Mbits/sec   0.508 ms    0/  496 (0%)
[  3] 57.0-58.0 sec   725 KBytes  5.94 Mbits/sec   0.539 ms    0/  505 (0%)
[  3] 58.0-59.0 sec   729 KBytes  5.97 Mbits/sec   0.507 ms    0/  508 (0%)
[  3] 59.0-60.0 sec   716 KBytes  5.87 Mbits/sec   0.539 ms    0/  499 (0%)
[  3] 60.0-61.0 sec   718 KBytes  5.88 Mbits/sec   0.567 ms    0/  500 (0%)
[  3] 61.0-62.0 sec   716 KBytes  5.87 Mbits/sec   0.582 ms    0/  499 (0%)
[  3] 62.0-63.0 sec   713 KBytes  5.84 Mbits/sec   0.591 ms    0/  497 (0%)
[  3] 63.0-64.0 sec   713 KBytes  5.84 Mbits/sec   0.608 ms    0/  497 (0%)
[  3] 64.0-65.0 sec   701 KBytes  5.74 Mbits/sec   0.540 ms   12/  500 (2.4%)
[  3] 65.0-66.0 sec   703 KBytes  5.76 Mbits/sec   0.646 ms   26/  516 (5%)
[  3] 66.0-67.0 sec   712 KBytes  5.83 Mbits/sec   0.610 ms   14/  510 (2.7%)
[  3] 67.0-68.0 sec   734 KBytes  6.01 Mbits/sec   0.516 ms   15/  526 (2.9%)
[  3] 68.0-69.0 sec   709 KBytes  5.81 Mbits/sec   0.540 ms    0/  494 (0%)
[  3] 69.0-70.0 sec   678 KBytes  5.55 Mbits/sec   0.629 ms   39/  511 (7.6%)
[  3] 70.0-71.0 sec   696 KBytes  5.70 Mbits/sec   0.668 ms   25/  510 (4.9%)
[  3] 71.0-72.0 sec   683 KBytes  5.60 Mbits/sec   0.588 ms   35/  511 (6.8%)
[  3] 72.0-73.0 sec   706 KBytes  5.79 Mbits/sec   0.547 ms   18/  510 (3.5%)
[  3] 73.0-74.0 sec   703 KBytes  5.76 Mbits/sec   0.528 ms   20/  510 (3.9%)
[  3] 74.0-75.0 sec   715 KBytes  5.86 Mbits/sec   0.652 ms   12/  510 (2.4%)
[  3] 75.0-76.0 sec   711 KBytes  5.82 Mbits/sec   0.602 ms   16/  511 (3.1%)
[  3] 76.0-77.0 sec   711 KBytes  5.82 Mbits/sec   0.631 ms   15/  510 (2.9%)
[  3] 77.0-78.0 sec   705 KBytes  5.77 Mbits/sec   0.527 ms   17/  508 (3.3%)
[  3] 78.0-79.0 sec   692 KBytes  5.67 Mbits/sec   0.710 ms   24/  506 (4.7%)
[  3] 79.0-80.0 sec   695 KBytes  5.69 Mbits/sec   0.569 ms   32/  516 (6.2%)
[  3] 80.0-81.0 sec   711 KBytes  5.82 Mbits/sec   0.614 ms   16/  511 (3.1%)
[  3] 81.0-82.0 sec   719 KBytes  5.89 Mbits/sec   0.543 ms    8/  509 (1.6%)
[  3] 82.0-83.0 sec   722 KBytes  5.92 Mbits/sec   0.586 ms    8/  511 (1.6%)
[  3] 83.0-84.0 sec   699 KBytes  5.73 Mbits/sec   0.585 ms   24/  511 (4.7%)
[  3] 84.0-85.0 sec   713 KBytes  5.84 Mbits/sec   0.622 ms    8/  505 (1.6%)
[  3] 85.0-86.0 sec   708 KBytes  5.80 Mbits/sec   0.544 ms   21/  514 (4.1%)
[  3] 86.0-87.0 sec   713 KBytes  5.84 Mbits/sec   0.587 ms   14/  511 (2.7%)
[  3] 87.0-88.0 sec   712 KBytes  5.83 Mbits/sec   0.583 ms   14/  510 (2.7%)
[  3] 88.0-89.0 sec   721 KBytes  5.90 Mbits/sec   0.514 ms    8/  510 (1.6%)
[  3] 89.0-90.0 sec   716 KBytes  5.87 Mbits/sec   0.561 ms   11/  510 (2.2%)
[  3] 90.0-91.0 sec   713 KBytes  5.84 Mbits/sec   0.610 ms    9/  506 (1.8%)
[  3] 91.0-92.0 sec   716 KBytes  5.87 Mbits/sec   1.121 ms   16/  515 (3.1%)
[  3] 92.0-93.0 sec   712 KBytes  5.83 Mbits/sec   0.537 ms   15/  511 (2.9%)
[  3] 93.0-94.0 sec   705 KBytes  5.77 Mbits/sec   0.686 ms   18/  509 (3.5%)
[  3] 94.0-95.0 sec   709 KBytes  5.81 Mbits/sec   0.591 ms   16/  510 (3.1%)
[  3] 95.0-96.0 sec   708 KBytes  5.80 Mbits/sec   0.569 ms   18/  511 (3.5%)
[  3] 96.0-97.0 sec   703 KBytes  5.76 Mbits/sec   0.587 ms   15/  505 (3%)
[  3] 97.0-98.0 sec   712 KBytes  5.83 Mbits/sec   0.868 ms   19/  515 (3.7%)
[  3] 98.0-99.0 sec   716 KBytes  5.87 Mbits/sec   0.659 ms   12/  511 (2.3%)
[  3] 99.0-100.0 sec   699 KBytes  5.73 Mbits/sec   0.630 ms   23/  510 (4.5%)
[  3] 100.0-101.0 sec   706 KBytes  5.79 Mbits/sec   0.543 ms   18/  510 (3.5%)
[  3] 101.0-102.0 sec   896 KBytes  7.34 Mbits/sec   0.742 ms    2/  626 (0.32%)
[  3] 102.0-103.0 sec   731 KBytes  5.99 Mbits/sec   0.575 ms    0/  509 (0%)
[  3] 103.0-104.0 sec   693 KBytes  5.68 Mbits/sec   0.573 ms    0/  483 (0%)
[  3] 104.0-105.0 sec   701 KBytes  5.74 Mbits/sec   0.544 ms    0/  488 (0%)
[  3] 105.0-106.0 sec   699 KBytes  5.73 Mbits/sec   0.548 ms    0/  487 (0%)
[  3] 106.0-107.0 sec   705 KBytes  5.77 Mbits/sec   0.594 ms    0/  491 (0%)
[  3] 107.0-108.0 sec   702 KBytes  5.75 Mbits/sec   0.551 ms    0/  489 (0%)
