------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.7.0.2 port 5001 connected with 10.4.0.1 port 60144
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   732 KBytes  6.00 Mbits/sec   0.013 ms   13/  523 (2.5%)
[  3]  1.0- 2.0 sec   732 KBytes  6.00 Mbits/sec   0.011 ms    0/  510 (0%)
[  3]  2.0- 3.0 sec   734 KBytes  6.01 Mbits/sec   0.016 ms    0/  511 (0%)
[  3]  3.0- 4.0 sec   732 KBytes  6.00 Mbits/sec   0.011 ms    0/  510 (0%)
[  3]  4.0- 5.0 sec   732 KBytes  6.00 Mbits/sec   0.009 ms    0/  510 (0%)
[  3]  5.0- 6.0 sec   732 KBytes  6.00 Mbits/sec   0.021 ms    0/  510 (0%)
[  3]  6.0- 7.0 sec   732 KBytes  6.00 Mbits/sec   0.014 ms    0/  510 (0%)
[  3]  7.0- 8.0 sec   633 KBytes  5.19 Mbits/sec   0.459 ms    0/  441 (0%)
[  3]  8.0- 9.0 sec   594 KBytes  4.87 Mbits/sec   0.461 ms    0/  414 (0%)
[  3]  9.0-10.0 sec   593 KBytes  4.86 Mbits/sec   0.464 ms    0/  413 (0%)
[  3] 10.0-11.0 sec   593 KBytes  4.86 Mbits/sec   0.463 ms    0/  413 (0%)
[  3] 11.0-12.0 sec   594 KBytes  4.87 Mbits/sec   0.468 ms    0/  414 (0%)
[  3] 12.0-13.0 sec   587 KBytes  4.81 Mbits/sec   0.457 ms    0/  409 (0%)
[  3] 13.0-14.0 sec   612 KBytes  5.01 Mbits/sec   0.715 ms   26/  452 (5.8%)
[  3] 14.0-15.0 sec   686 KBytes  5.62 Mbits/sec   0.556 ms   32/  510 (6.3%)
[  3] 15.0-16.0 sec   680 KBytes  5.57 Mbits/sec   0.547 ms   36/  510 (7.1%)
[  3] 16.0-17.0 sec   676 KBytes  5.54 Mbits/sec   0.527 ms   39/  510 (7.6%)
[  3] 17.0-18.0 sec   678 KBytes  5.55 Mbits/sec   0.689 ms   37/  509 (7.3%)
[  3] 18.0-19.0 sec   668 KBytes  5.47 Mbits/sec   0.516 ms   41/  506 (8.1%)
[  3] 19.0-20.0 sec   672 KBytes  5.50 Mbits/sec   0.634 ms   47/  515 (9.1%)
[  3] 20.0-21.0 sec   683 KBytes  5.60 Mbits/sec   0.546 ms   34/  510 (6.7%)
[  3] 21.0-22.0 sec   685 KBytes  5.61 Mbits/sec   0.530 ms   34/  511 (6.7%)
[  3] 22.0-23.0 sec   679 KBytes  5.56 Mbits/sec   0.535 ms   37/  510 (7.3%)
[  3] 23.0-24.0 sec   679 KBytes  5.56 Mbits/sec   0.573 ms   38/  511 (7.4%)
[  3] 24.0-25.0 sec   670 KBytes  5.49 Mbits/sec   0.529 ms   41/  508 (8.1%)
[  3] 25.0-26.0 sec   676 KBytes  5.54 Mbits/sec   0.498 ms   40/  511 (7.8%)
