------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.4.0.1 port 5001 connected with 10.2.0.2 port 47650
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   261 KBytes  2.14 Mbits/sec   1.887 ms  245/  427 (57%)
[  3]  1.0- 2.0 sec   261 KBytes  2.14 Mbits/sec   1.576 ms  232/  414 (56%)
[  3]  2.0- 3.0 sec   258 KBytes  2.12 Mbits/sec   1.617 ms  230/  410 (56%)
[  3]  3.0- 4.0 sec   485 KBytes  3.97 Mbits/sec   0.634 ms   81/  419 (19%)
[  3]  4.0- 5.0 sec   827 KBytes  6.77 Mbits/sec   0.634 ms   24/  600 (4%)
[  3]  5.0- 6.0 sec   844 KBytes  6.91 Mbits/sec   0.586 ms    7/  595 (1.2%)
[  3]  6.0- 7.0 sec   835 KBytes  6.84 Mbits/sec   0.563 ms    8/  590 (1.4%)
[  3]  7.0- 8.0 sec   827 KBytes  6.77 Mbits/sec   0.567 ms   19/  595 (3.2%)
[  3]  8.0- 9.0 sec   820 KBytes  6.71 Mbits/sec   0.505 ms   30/  601 (5%)
[  3]  9.0-10.0 sec   840 KBytes  6.88 Mbits/sec   0.592 ms   10/  595 (1.7%)
[  3] 10.0-11.0 sec   820 KBytes  6.71 Mbits/sec   0.552 ms   18/  589 (3.1%)
[  3] 11.0-12.0 sec   814 KBytes  6.67 Mbits/sec   0.572 ms   27/  594 (4.5%)
[  3] 12.0-13.0 sec   817 KBytes  6.69 Mbits/sec   0.523 ms   33/  602 (5.5%)
[  3] 13.0-14.0 sec   833 KBytes  6.82 Mbits/sec   0.589 ms   15/  595 (2.5%)
[  3] 14.0-15.0 sec   848 KBytes  6.95 Mbits/sec   0.533 ms    5/  596 (0.84%)
[  3] 15.0-16.0 sec  1.14 MBytes  9.57 Mbits/sec   0.498 ms    1/  815 (0.12%)
[  3] 16.0-17.0 sec  1.16 MBytes  9.70 Mbits/sec   0.495 ms    1/  826 (0.12%)
[  3] 17.0-18.0 sec  1.14 MBytes  9.57 Mbits/sec   0.513 ms   13/  827 (1.6%)
[  3] 18.0-19.0 sec   724 KBytes  5.93 Mbits/sec   0.495 ms  129/  633 (20%)
[  3] 19.0-20.0 sec   635 KBytes  5.20 Mbits/sec   0.565 ms  146/  588 (25%)
[  3] 20.0-21.0 sec   643 KBytes  5.27 Mbits/sec   0.498 ms  146/  594 (25%)
[  3] 21.0-22.0 sec   601 KBytes  4.93 Mbits/sec   0.467 ms  183/  602 (30%)
[  3] 22.0-23.0 sec   622 KBytes  5.09 Mbits/sec   0.428 ms  163/  596 (27%)
[  3] 23.0-24.0 sec   627 KBytes  5.14 Mbits/sec   0.486 ms  158/  595 (27%)
