------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.7.0.1 port 5001 connected with 10.3.0.2 port 37031
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   856 KBytes  7.01 Mbits/sec   0.010 ms   13/  609 (2.1%)
[  3]  1.0- 2.0 sec   775 KBytes  6.35 Mbits/sec   1.282 ms    0/  540 (0%)
[  3]  2.0- 3.0 sec   487 KBytes  3.99 Mbits/sec   1.215 ms    0/  339 (0%)
[  3]  3.0- 4.0 sec   487 KBytes  3.99 Mbits/sec   1.272 ms    0/  339 (0%)
[  3]  4.0- 5.0 sec   477 KBytes  3.90 Mbits/sec   1.265 ms    0/  332 (0%)
[  3]  5.0- 6.0 sec   485 KBytes  3.97 Mbits/sec   1.278 ms    0/  338 (0%)
[  3]  6.0- 7.0 sec   530 KBytes  4.34 Mbits/sec   1.122 ms    2/  371 (0.54%)
[  3]  7.0- 8.0 sec   639 KBytes  5.23 Mbits/sec   0.575 ms   24/  469 (5.1%)
[  3]  8.0- 9.0 sec   798 KBytes  6.54 Mbits/sec   0.584 ms   38/  594 (6.4%)
[  3]  9.0-10.0 sec   891 KBytes  7.30 Mbits/sec   0.488 ms   33/  654 (5%)
[  3] 10.0-11.0 sec  1.12 MBytes  9.42 Mbits/sec   0.483 ms   24/  825 (2.9%)
[  3] 11.0-12.0 sec  1.10 MBytes  9.27 Mbits/sec   0.484 ms   39/  827 (4.7%)
[  3] 12.0-13.0 sec  1.01 MBytes  8.50 Mbits/sec   0.382 ms   70/  793 (8.8%)
[  3] 13.0-14.0 sec   485 KBytes  3.97 Mbits/sec   0.317 ms  256/  594 (43%)
[  3] 14.0-15.0 sec   487 KBytes  3.99 Mbits/sec   0.366 ms  258/  597 (43%)
[  3] 15.0-16.0 sec   481 KBytes  3.94 Mbits/sec   0.302 ms  254/  589 (43%)
[  3] 16.0-17.0 sec   475 KBytes  3.89 Mbits/sec   0.368 ms  270/  601 (45%)
[  3] 17.0-18.0 sec   487 KBytes  3.99 Mbits/sec   0.320 ms  257/  596 (43%)
[  3] 18.0-19.0 sec   494 KBytes  4.05 Mbits/sec   0.321 ms  251/  595 (42%)
[  3] 19.0-20.0 sec   479 KBytes  3.93 Mbits/sec   0.319 ms  262/  596 (44%)
[  3] 20.0-21.0 sec   475 KBytes  3.89 Mbits/sec   0.354 ms  264/  595 (44%)
[  3] 21.0-22.0 sec   504 KBytes  4.13 Mbits/sec   0.390 ms  239/  590 (41%)
[  3] 22.0-23.0 sec   511 KBytes  4.19 Mbits/sec   0.340 ms  236/  592 (40%)
[  3] 23.0-24.0 sec   510 KBytes  4.17 Mbits/sec   0.327 ms  249/  604 (41%)
[  3] 24.0-25.0 sec   481 KBytes  3.94 Mbits/sec   0.351 ms  259/  594 (44%)
[  3] 25.0-26.0 sec   484 KBytes  3.96 Mbits/sec   0.301 ms  259/  596 (43%)
[  3] 26.0-27.0 sec   479 KBytes  3.93 Mbits/sec   0.312 ms  260/  594 (44%)
[  3] 27.0-28.0 sec   481 KBytes  3.94 Mbits/sec   0.348 ms  254/  589 (43%)
[  3] 28.0-29.0 sec   481 KBytes  3.94 Mbits/sec   0.367 ms  262/  597 (44%)
[  3] 29.0-30.0 sec   507 KBytes  4.15 Mbits/sec   0.324 ms  248/  601 (41%)
[  3] 30.0-31.0 sec   488 KBytes  4.00 Mbits/sec   0.327 ms  254/  594 (43%)
[  3] 31.0-32.0 sec   504 KBytes  4.13 Mbits/sec   0.315 ms  245/  596 (41%)
[  3] 32.0-33.0 sec   488 KBytes  4.00 Mbits/sec   0.315 ms  256/  596 (43%)
[  3] 33.0-34.0 sec   498 KBytes  4.08 Mbits/sec   0.319 ms  242/  589 (41%)
[  3] 34.0-35.0 sec   524 KBytes  4.29 Mbits/sec   0.357 ms  235/  600 (39%)
[  3] 35.0-36.0 sec   482 KBytes  3.95 Mbits/sec   0.294 ms  260/  596 (44%)
[  3] 36.0-37.0 sec   494 KBytes  4.05 Mbits/sec   0.331 ms  252/  596 (42%)
[  3] 37.0-38.0 sec   492 KBytes  4.03 Mbits/sec   0.329 ms  251/  594 (42%)
[  3] 38.0-39.0 sec   494 KBytes  4.05 Mbits/sec   0.564 ms  245/  589 (42%)
[  3] 39.0-40.0 sec   515 KBytes  4.22 Mbits/sec   0.385 ms  237/  596 (40%)
[  3] 40.0-41.0 sec   492 KBytes  4.03 Mbits/sec   0.313 ms  259/  602 (43%)
[  3] 41.0-42.0 sec   501 KBytes  4.10 Mbits/sec   0.374 ms  247/  596 (41%)
[  3] 42.0-43.0 sec   517 KBytes  4.23 Mbits/sec   0.322 ms  234/  594 (39%)
[  3] 43.0-44.0 sec   512 KBytes  4.20 Mbits/sec   0.427 ms  237/  594 (40%)
[  3] 44.0-45.0 sec   508 KBytes  4.16 Mbits/sec   0.281 ms  235/  589 (40%)
[  3] 45.0-46.0 sec   471 KBytes  3.86 Mbits/sec   0.329 ms  275/  603 (46%)
[  3] 46.0-47.0 sec   502 KBytes  4.12 Mbits/sec   0.354 ms  244/  594 (41%)
[  3] 47.0-48.0 sec   502 KBytes  4.12 Mbits/sec   0.321 ms  239/  589 (41%)
[  3] 48.0-49.0 sec   517 KBytes  4.23 Mbits/sec   0.298 ms  243/  603 (40%)
[  3] 49.0-50.0 sec   495 KBytes  4.06 Mbits/sec   0.311 ms  250/  595 (42%)
[  3] 50.0-51.0 sec   495 KBytes  4.06 Mbits/sec   0.334 ms  249/  594 (42%)
[  3] 51.0-52.0 sec   487 KBytes  3.99 Mbits/sec   0.350 ms  252/  591 (43%)
[  3] 52.0-53.0 sec   498 KBytes  4.08 Mbits/sec   0.413 ms  253/  600 (42%)
[  3] 53.0-54.0 sec   484 KBytes  3.96 Mbits/sec   0.318 ms  262/  599 (44%)
[  3] 54.0-55.0 sec   507 KBytes  4.15 Mbits/sec   0.381 ms  242/  595 (41%)
[  3] 55.0-56.0 sec   510 KBytes  4.17 Mbits/sec   0.472 ms  238/  593 (40%)
[  3] 56.0-57.0 sec   491 KBytes  4.02 Mbits/sec   0.397 ms  255/  597 (43%)
[  3] 57.0-58.0 sec   508 KBytes  4.16 Mbits/sec   0.384 ms  243/  597 (41%)
[  3] 58.0-59.0 sec   508 KBytes  4.16 Mbits/sec   0.370 ms  241/  595 (41%)
[  3] 59.0-60.0 sec   498 KBytes  4.08 Mbits/sec   0.361 ms  241/  588 (41%)
[  3] 60.0-61.0 sec   520 KBytes  4.26 Mbits/sec   0.475 ms  240/  602 (40%)
[  3] 61.0-62.0 sec   511 KBytes  4.19 Mbits/sec   0.365 ms  239/  595 (40%)
[  3] 62.0-63.0 sec   501 KBytes  4.10 Mbits/sec   0.435 ms  249/  598 (42%)
[  3] 63.0-64.0 sec   500 KBytes  4.09 Mbits/sec   0.444 ms  246/  594 (41%)
[  3] 64.0-65.0 sec   492 KBytes  4.03 Mbits/sec   0.452 ms  251/  594 (42%)
[  3] 65.0-66.0 sec   521 KBytes  4.27 Mbits/sec   0.452 ms  232/  595 (39%)
[  3] 66.0-67.0 sec   498 KBytes  4.08 Mbits/sec   0.466 ms  244/  591 (41%)
[  3] 67.0-68.0 sec   504 KBytes  4.13 Mbits/sec   0.459 ms  251/  602 (42%)
[  3] 68.0-69.0 sec   512 KBytes  4.20 Mbits/sec   0.452 ms  237/  594 (40%)
[  3] 69.0-70.0 sec   510 KBytes  4.17 Mbits/sec   0.360 ms  241/  596 (40%)
[  3] 70.0-71.0 sec   497 KBytes  4.07 Mbits/sec   0.436 ms  242/  588 (41%)
[  3] 71.0-72.0 sec   508 KBytes  4.16 Mbits/sec   0.441 ms  243/  597 (41%)
[  3] 72.0-73.0 sec   501 KBytes  4.10 Mbits/sec   0.437 ms  247/  596 (41%)
[  3] 73.0-74.0 sec   495 KBytes  4.06 Mbits/sec   0.393 ms  251/  596 (42%)
[  3] 74.0-75.0 sec   501 KBytes  4.10 Mbits/sec   0.308 ms  246/  595 (41%)
[  3] 75.0-76.0 sec   497 KBytes  4.07 Mbits/sec   0.377 ms  240/  586 (41%)
[  3] 76.0-77.0 sec   521 KBytes  4.27 Mbits/sec   0.442 ms  239/  602 (40%)
[  3] 77.0-78.0 sec   505 KBytes  4.14 Mbits/sec   0.313 ms  246/  598 (41%)
[  3] 78.0-79.0 sec   520 KBytes  4.26 Mbits/sec   0.431 ms  231/  593 (39%)
[  3] 79.0-80.0 sec   502 KBytes  4.12 Mbits/sec   0.382 ms  244/  594 (41%)
[  3] 80.0-81.0 sec   507 KBytes  4.15 Mbits/sec   0.376 ms  242/  595 (41%)
[  3] 81.0-82.0 sec   508 KBytes  4.16 Mbits/sec   0.483 ms  241/  595 (41%)
[  3] 82.0-83.0 sec   514 KBytes  4.21 Mbits/sec   0.382 ms  236/  594 (40%)
[  3] 83.0-84.0 sec   515 KBytes  4.22 Mbits/sec   0.531 ms  239/  598 (40%)
[  3] 84.0-85.0 sec   505 KBytes  4.14 Mbits/sec   0.410 ms  239/  591 (40%)
[  3] 85.0-86.0 sec   504 KBytes  4.13 Mbits/sec   0.486 ms  247/  598 (41%)
[  3] 86.0-87.0 sec   497 KBytes  4.07 Mbits/sec   0.339 ms  250/  596 (42%)
[  3] 87.0-88.0 sec   502 KBytes  4.12 Mbits/sec   0.403 ms  241/  591 (41%)
[  3] 88.0-89.0 sec   504 KBytes  4.13 Mbits/sec   0.434 ms  242/  593 (41%)
[  3] 89.0-90.0 sec   524 KBytes  4.29 Mbits/sec   0.438 ms  237/  602 (39%)
[  3] 90.0-91.0 sec   505 KBytes  4.14 Mbits/sec   0.424 ms  246/  598 (41%)
[  3] 91.0-92.0 sec   498 KBytes  4.08 Mbits/sec   0.383 ms  242/  589 (41%)
[  3] 92.0-93.0 sec   498 KBytes  4.08 Mbits/sec   0.386 ms  247/  594 (42%)
[  3] 93.0-94.0 sec   517 KBytes  4.23 Mbits/sec   0.393 ms  232/  592 (39%)
[  3] 94.0-95.0 sec   521 KBytes  4.27 Mbits/sec   0.347 ms  234/  597 (39%)
[  3] 95.0-96.0 sec   501 KBytes  4.10 Mbits/sec   0.359 ms  249/  598 (42%)
[  3] 96.0-97.0 sec   507 KBytes  4.15 Mbits/sec   0.433 ms  242/  595 (41%)
[  3] 97.0-98.0 sec   520 KBytes  4.26 Mbits/sec   0.430 ms  234/  596 (39%)
[  3] 98.0-99.0 sec   495 KBytes  4.06 Mbits/sec   0.580 ms  243/  588 (41%)
[  3] 99.0-100.0 sec   498 KBytes  4.08 Mbits/sec   0.450 ms  247/  594 (42%)
[  3] 100.0-101.0 sec   491 KBytes  4.02 Mbits/sec   0.365 ms  260/  602 (43%)
[  3] 101.0-102.0 sec   507 KBytes  4.15 Mbits/sec   0.332 ms  238/  591 (40%)
[  3] 102.0-103.0 sec   492 KBytes  4.03 Mbits/sec   0.343 ms  255/  598 (43%)
[  3] 103.0-104.0 sec   500 KBytes  4.09 Mbits/sec   0.385 ms  242/  590 (41%)
[  3] 104.0-105.0 sec   495 KBytes  4.06 Mbits/sec   0.358 ms  247/  592 (42%)
[  3] 105.0-106.0 sec   484 KBytes  3.96 Mbits/sec   0.421 ms  266/  603 (44%)
[  3] 106.0-107.0 sec   500 KBytes  4.09 Mbits/sec   0.438 ms  249/  597 (42%)
[  3] 107.0-108.0 sec   492 KBytes  4.03 Mbits/sec   0.500 ms  245/  588 (42%)
[  3] 108.0-109.0 sec   533 KBytes  4.36 Mbits/sec   0.332 ms  233/  604 (39%)
[  3] 109.0-110.0 sec   510 KBytes  4.17 Mbits/sec   0.390 ms  236/  591 (40%)
[  3] 110.0-111.0 sec   498 KBytes  4.08 Mbits/sec   0.410 ms  250/  597 (42%)
[  3] 111.0-112.0 sec   497 KBytes  4.07 Mbits/sec   0.392 ms  243/  589 (41%)
[  3] 112.0-113.0 sec   523 KBytes  4.28 Mbits/sec   0.410 ms  238/  602 (40%)
[  3] 113.0-114.0 sec   507 KBytes  4.15 Mbits/sec   0.457 ms  239/  592 (40%)
[  3] 114.0-115.0 sec   507 KBytes  4.15 Mbits/sec   0.359 ms  244/  597 (41%)
[  3] 115.0-116.0 sec   501 KBytes  4.10 Mbits/sec   0.426 ms  250/  599 (42%)
[  3] 116.0-117.0 sec   500 KBytes  4.09 Mbits/sec   0.343 ms  243/  591 (41%)
[  3] 117.0-118.0 sec   494 KBytes  4.05 Mbits/sec   0.369 ms  247/  591 (42%)
[  3]  0.0-118.4 sec  61.0 MBytes  4.33 Mbits/sec   0.437 ms 26200/69742 (38%)
[  3]  0.0-118.4 sec  1 datagrams received out-of-order
