------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.7.0.2 port 5001 connected with 10.4.0.1 port 53434
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   856 KBytes  7.01 Mbits/sec   0.016 ms   11/  607 (1.8%)
[  3]  1.0- 2.0 sec   854 KBytes  7.00 Mbits/sec   0.025 ms    0/  595 (0%)
[  3]  2.0- 3.0 sec   854 KBytes  7.00 Mbits/sec   0.012 ms    0/  595 (0%)
[  3]  3.0- 4.0 sec   856 KBytes  7.01 Mbits/sec   0.016 ms    0/  596 (0%)
[  3]  4.0- 5.0 sec   854 KBytes  7.00 Mbits/sec   0.016 ms    0/  595 (0%)
[  3]  5.0- 6.0 sec   854 KBytes  7.00 Mbits/sec   0.008 ms    0/  595 (0%)
[  3]  6.0- 7.0 sec   772 KBytes  6.33 Mbits/sec   0.741 ms    0/  538 (0%)
[  3]  7.0- 8.0 sec   594 KBytes  4.87 Mbits/sec   0.740 ms    0/  414 (0%)
[  3]  8.0- 9.0 sec   586 KBytes  4.80 Mbits/sec   1.172 ms    0/  408 (0%)
[  3]  9.0-10.0 sec   594 KBytes  4.87 Mbits/sec   0.736 ms    0/  414 (0%)
[  3] 10.0-11.0 sec   642 KBytes  5.26 Mbits/sec   0.495 ms   36/  483 (7.5%)
[  3] 11.0-12.0 sec   709 KBytes  5.81 Mbits/sec   0.611 ms  100/  594 (17%)
[  3] 12.0-13.0 sec   703 KBytes  5.76 Mbits/sec   0.503 ms  106/  596 (18%)
[  3] 13.0-14.0 sec   685 KBytes  5.61 Mbits/sec   0.496 ms  110/  587 (19%)
[  3] 14.0-15.0 sec   656 KBytes  5.37 Mbits/sec   0.476 ms  147/  604 (24%)
[  3] 15.0-16.0 sec   688 KBytes  5.63 Mbits/sec   0.511 ms  116/  595 (19%)
[  3] 16.0-17.0 sec   693 KBytes  5.68 Mbits/sec   0.488 ms  113/  596 (19%)
[  3] 17.0-18.0 sec   696 KBytes  5.70 Mbits/sec   0.509 ms  109/  594 (18%)
[  3] 18.0-19.0 sec   701 KBytes  5.74 Mbits/sec   0.523 ms  101/  589 (17%)
[  3] 19.0-20.0 sec   698 KBytes  5.72 Mbits/sec   0.484 ms  108/  594 (18%)
[  3] 20.0-21.0 sec   670 KBytes  5.49 Mbits/sec   0.486 ms  136/  603 (23%)
[  3] 21.0-22.0 sec   698 KBytes  5.72 Mbits/sec   0.578 ms  109/  595 (18%)
[  3] 22.0-23.0 sec   683 KBytes  5.60 Mbits/sec   0.440 ms  113/  589 (19%)
[  3] 23.0-24.0 sec   712 KBytes  5.83 Mbits/sec   0.474 ms  106/  602 (18%)
[  3] 24.0-25.0 sec   708 KBytes  5.80 Mbits/sec   0.465 ms  101/  594 (17%)
[  3] 25.0-26.0 sec   722 KBytes  5.92 Mbits/sec   0.512 ms   93/  596 (16%)
[  3] 26.0-27.0 sec   696 KBytes  5.70 Mbits/sec   0.560 ms  105/  590 (18%)
[  3] 27.0-28.0 sec   692 KBytes  5.67 Mbits/sec   0.479 ms  118/  600 (20%)
[  3] 28.0-29.0 sec   675 KBytes  5.53 Mbits/sec   0.507 ms  126/  596 (21%)
[  3] 29.0-30.0 sec   678 KBytes  5.55 Mbits/sec   0.476 ms  122/  594 (21%)
[  3] 30.0-31.0 sec   668 KBytes  5.47 Mbits/sec   0.475 ms  127/  592 (21%)
[  3] 31.0-32.0 sec   705 KBytes  5.77 Mbits/sec   0.517 ms  108/  599 (18%)
[  3] 32.0-33.0 sec   693 KBytes  5.68 Mbits/sec   0.479 ms  113/  596 (19%)
[  3] 33.0-34.0 sec   699 KBytes  5.73 Mbits/sec   0.477 ms  108/  595 (18%)
