------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.4.0.1 port 5001 connected with 10.2.0.2 port 38107
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   281 KBytes  2.30 Mbits/sec   2.055 ms  230/  426 (54%)
[  3]  1.0- 2.0 sec   291 KBytes  2.39 Mbits/sec   2.127 ms  212/  415 (51%)
[  3]  2.0- 3.0 sec   291 KBytes  2.39 Mbits/sec   2.099 ms  210/  413 (51%)
[  3]  3.0- 4.0 sec   345 KBytes  2.82 Mbits/sec   0.523 ms  416/  656 (63%)
[  3]  4.0- 5.0 sec   347 KBytes  2.85 Mbits/sec   0.549 ms  441/  683 (65%)
[  3]  5.0- 6.0 sec   345 KBytes  2.82 Mbits/sec   0.662 ms  438/  678 (65%)
[  3]  6.0- 7.0 sec   426 KBytes  3.49 Mbits/sec   0.320 ms  377/  674 (56%)
[  3]  7.0- 8.0 sec   484 KBytes  3.96 Mbits/sec   0.422 ms  345/  682 (51%)
[  3]  8.0- 9.0 sec   877 KBytes  7.19 Mbits/sec   0.384 ms   69/  680 (10%)
[  3]  9.0-10.0 sec   835 KBytes  6.84 Mbits/sec   0.469 ms  104/  686 (15%)
[  3] 10.0-11.0 sec   876 KBytes  7.17 Mbits/sec   0.405 ms   72/  682 (11%)
[  3] 11.0-12.0 sec   851 KBytes  6.97 Mbits/sec   0.481 ms   79/  672 (12%)
[  3] 12.0-13.0 sec   834 KBytes  6.83 Mbits/sec   0.443 ms  100/  681 (15%)
[  3] 13.0-14.0 sec   899 KBytes  7.36 Mbits/sec   0.440 ms   53/  679 (7.8%)
[  3] 14.0-15.0 sec  1021 KBytes  8.36 Mbits/sec   0.283 ms   55/  766 (7.2%)
[  3] 15.0-16.0 sec  1.07 MBytes  8.96 Mbits/sec   0.300 ms   56/  818 (6.8%)
[  3] 16.0-17.0 sec  1.11 MBytes  9.33 Mbits/sec   0.279 ms   33/  826 (4%)
[  3] 17.0-18.0 sec  1.15 MBytes  9.63 Mbits/sec   0.362 ms    7/  826 (0.85%)
[  3] 18.0-19.0 sec  1.13 MBytes  9.44 Mbits/sec   0.283 ms   25/  828 (3%)
[  3] 19.0-20.0 sec  1.11 MBytes  9.35 Mbits/sec   0.363 ms   27/  822 (3.3%)
[  3] 20.0-21.0 sec   438 KBytes  3.59 Mbits/sec   0.486 ms  401/  706 (57%)
[  3] 21.0-22.0 sec   324 KBytes  2.66 Mbits/sec   0.420 ms  452/  678 (67%)
[  3] 22.0-23.0 sec   319 KBytes  2.61 Mbits/sec   0.444 ms  456/  678 (67%)
[  3] 23.0-24.0 sec   339 KBytes  2.78 Mbits/sec   0.533 ms  440/  676 (65%)
