------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.7.0.1 port 5001 connected with 10.3.0.2 port 39947
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   970 KBytes  7.95 Mbits/sec   0.438 ms   14/  690 (2%)
[  3]  1.0- 2.0 sec   586 KBytes  4.80 Mbits/sec   1.713 ms    0/  408 (0%)
[  3]  2.0- 3.0 sec   448 KBytes  3.67 Mbits/sec   1.753 ms    0/  312 (0%)
[  3]  3.0- 4.0 sec   449 KBytes  3.68 Mbits/sec   1.745 ms    0/  313 (0%)
[  3]  4.0- 5.0 sec   444 KBytes  3.63 Mbits/sec   1.706 ms    0/  309 (0%)
[  3]  5.0- 6.0 sec   333 KBytes  2.73 Mbits/sec   0.853 ms  285/  517 (55%)
[  3]  6.0- 7.0 sec   258 KBytes  2.12 Mbits/sec   0.603 ms  476/  656 (73%)
[  3]  7.0- 8.0 sec   278 KBytes  2.28 Mbits/sec   0.587 ms  438/  632 (69%)
[  3]  8.0- 9.0 sec   260 KBytes  2.13 Mbits/sec   0.264 ms  469/  650 (72%)
[  3]  9.0-10.0 sec   968 KBytes  7.93 Mbits/sec   0.274 ms  129/  803 (16%)
[  3] 10.0-11.0 sec  1.08 MBytes  9.06 Mbits/sec   0.285 ms   57/  827 (6.9%)
[  3] 11.0-12.0 sec  1.08 MBytes  9.04 Mbits/sec   0.287 ms   58/  827 (7%)
[  3] 12.0-13.0 sec  1.08 MBytes  9.04 Mbits/sec   0.316 ms   48/  817 (5.9%)
[  3] 13.0-14.0 sec  1.09 MBytes  9.17 Mbits/sec   0.282 ms   45/  825 (5.5%)
[  3] 14.0-15.0 sec   995 KBytes  8.15 Mbits/sec   0.208 ms  114/  807 (14%)
[  3] 15.0-16.0 sec   287 KBytes  2.35 Mbits/sec   0.196 ms  483/  683 (71%)
[  3] 16.0-17.0 sec   289 KBytes  2.36 Mbits/sec   0.226 ms  468/  669 (70%)
[  3] 17.0-18.0 sec   340 KBytes  2.79 Mbits/sec   0.203 ms  451/  688 (66%)
[  3] 18.0-19.0 sec   291 KBytes  2.39 Mbits/sec   0.212 ms  480/  683 (70%)
[  3] 19.0-20.0 sec   273 KBytes  2.23 Mbits/sec   0.215 ms  488/  678 (72%)
[  3] 20.0-21.0 sec   281 KBytes  2.30 Mbits/sec   0.225 ms  488/  684 (71%)
[  3] 21.0-22.0 sec   289 KBytes  2.36 Mbits/sec   0.308 ms  477/  678 (70%)
[  3] 22.0-23.0 sec   277 KBytes  2.27 Mbits/sec   0.209 ms  489/  682 (72%)
[  3] 23.0-24.0 sec   289 KBytes  2.36 Mbits/sec   0.198 ms  478/  679 (70%)
[  3] 24.0-25.0 sec   284 KBytes  2.33 Mbits/sec   0.210 ms  484/  682 (71%)
[  3] 25.0-26.0 sec   278 KBytes  2.28 Mbits/sec   0.219 ms  485/  679 (71%)
[  3] 26.0-27.0 sec   286 KBytes  2.34 Mbits/sec   0.256 ms  475/  674 (70%)
[  3] 27.0-28.0 sec   323 KBytes  2.65 Mbits/sec   0.226 ms  463/  688 (67%)
[  3] 28.0-29.0 sec   270 KBytes  2.21 Mbits/sec   0.175 ms  491/  679 (72%)
[  3] 29.0-30.0 sec   299 KBytes  2.45 Mbits/sec   0.435 ms  470/  678 (69%)
[  3] 30.0-31.0 sec   276 KBytes  2.26 Mbits/sec   0.231 ms  490/  682 (72%)
[  3] 31.0-32.0 sec   274 KBytes  2.25 Mbits/sec   0.212 ms  487/  678 (72%)
[  3] 32.0-33.0 sec   287 KBytes  2.35 Mbits/sec   0.216 ms  474/  674 (70%)
[  3] 33.0-34.0 sec   324 KBytes  2.66 Mbits/sec   0.223 ms  460/  686 (67%)
[  3] 34.0-35.0 sec   287 KBytes  2.35 Mbits/sec   0.180 ms  483/  683 (71%)
[  3] 35.0-36.0 sec   273 KBytes  2.23 Mbits/sec   0.192 ms  493/  683 (72%)
[  3] 36.0-37.0 sec   284 KBytes  2.33 Mbits/sec   0.390 ms  480/  678 (71%)
