------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.2.0.1 port 5001 connected with 10.5.0.2 port 46747
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   594 KBytes  4.87 Mbits/sec   0.948 ms   21/  435 (4.8%)
[  3]  1.0- 2.0 sec   593 KBytes  4.86 Mbits/sec   0.976 ms    0/  413 (0%)
[  3]  2.0- 3.0 sec   593 KBytes  4.86 Mbits/sec   0.948 ms    0/  413 (0%)
[  3]  3.0- 4.0 sec   866 KBytes  7.09 Mbits/sec   0.390 ms   57/  660 (8.6%)
[  3]  4.0- 5.0 sec   906 KBytes  7.42 Mbits/sec   0.431 ms   49/  680 (7.2%)
[  3]  5.0- 6.0 sec   903 KBytes  7.40 Mbits/sec   0.490 ms   51/  680 (7.5%)
[  3]  6.0- 7.0 sec   890 KBytes  7.29 Mbits/sec   0.428 ms   53/  673 (7.9%)
[  3]  7.0- 8.0 sec   847 KBytes  6.94 Mbits/sec   0.386 ms   98/  688 (14%)
[  3]  8.0- 9.0 sec   897 KBytes  7.35 Mbits/sec   0.411 ms   55/  680 (8.1%)
[  3]  9.0-10.0 sec   904 KBytes  7.41 Mbits/sec   0.352 ms   50/  680 (7.4%)
[  3] 10.0-11.0 sec   893 KBytes  7.31 Mbits/sec   0.396 ms   57/  679 (8.4%)
[  3] 11.0-12.0 sec   884 KBytes  7.24 Mbits/sec   0.520 ms   57/  673 (8.5%)
[  3] 12.0-13.0 sec   906 KBytes  7.42 Mbits/sec   0.492 ms   58/  689 (8.4%)
[  3] 13.0-14.0 sec   894 KBytes  7.33 Mbits/sec   0.375 ms   57/  680 (8.4%)
[  3] 14.0-15.0 sec   899 KBytes  7.36 Mbits/sec   0.392 ms   54/  680 (7.9%)
[  3] 15.0-16.0 sec   881 KBytes  7.22 Mbits/sec   0.358 ms   60/  674 (8.9%)
[  3] 16.0-17.0 sec   889 KBytes  7.28 Mbits/sec   0.417 ms   61/  680 (9%)
[  3] 17.0-18.0 sec   871 KBytes  7.14 Mbits/sec   0.393 ms   80/  687 (12%)
[  3] 18.0-19.0 sec   913 KBytes  7.48 Mbits/sec   0.446 ms   44/  680 (6.5%)
[  3] 19.0-20.0 sec   912 KBytes  7.47 Mbits/sec   0.448 ms   46/  681 (6.8%)
[  3] 20.0-21.0 sec   897 KBytes  7.35 Mbits/sec   0.456 ms   55/  680 (8.1%)
[  3] 21.0-22.0 sec   890 KBytes  7.29 Mbits/sec   0.368 ms   60/  680 (8.8%)
[  3] 22.0-23.0 sec   906 KBytes  7.42 Mbits/sec   0.422 ms   42/  673 (6.2%)
[  3] 23.0-24.0 sec   854 KBytes  7.00 Mbits/sec   0.398 ms   92/  687 (13%)
