------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.4.0.1 port 5001 connected with 10.2.0.2 port 43520
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   587 KBytes  4.81 Mbits/sec   1.116 ms   13/  422 (3.1%)
[  3]  1.0- 2.0 sec   594 KBytes  4.87 Mbits/sec   1.115 ms    0/  414 (0%)
[  3]  2.0- 3.0 sec   571 KBytes  4.68 Mbits/sec   0.232 ms  151/  549 (28%)
[  3]  3.0- 4.0 sec   525 KBytes  4.30 Mbits/sec   0.156 ms  400/  766 (52%)
[  3]  4.0- 5.0 sec   521 KBytes  4.27 Mbits/sec   0.223 ms  390/  753 (52%)
[  3]  5.0- 6.0 sec   645 KBytes  5.28 Mbits/sec   0.135 ms  331/  780 (42%)
[  3]  6.0- 7.0 sec   540 KBytes  4.42 Mbits/sec   0.182 ms  389/  765 (51%)
[  3]  7.0- 8.0 sec   530 KBytes  4.34 Mbits/sec   0.149 ms  397/  766 (52%)
[  3]  8.0- 9.0 sec   521 KBytes  4.27 Mbits/sec   0.181 ms  391/  754 (52%)
[  3]  9.0-10.0 sec   619 KBytes  5.07 Mbits/sec   0.210 ms  347/  778 (45%)
[  3] 10.0-11.0 sec   518 KBytes  4.25 Mbits/sec   0.172 ms  404/  765 (53%)
[  3] 11.0-12.0 sec   548 KBytes  4.49 Mbits/sec   0.184 ms  383/  765 (50%)
[  3] 12.0-13.0 sec   531 KBytes  4.35 Mbits/sec   0.175 ms  396/  766 (52%)
[  3] 13.0-14.0 sec   527 KBytes  4.32 Mbits/sec   0.173 ms  399/  766 (52%)
[  3] 14.0-15.0 sec   533 KBytes  4.36 Mbits/sec   0.168 ms  394/  765 (52%)
[  3] 15.0-16.0 sec   541 KBytes  4.43 Mbits/sec   0.183 ms  389/  766 (51%)
[  3] 16.0-17.0 sec   528 KBytes  4.33 Mbits/sec   0.163 ms  398/  766 (52%)
[  3] 17.0-18.0 sec   530 KBytes  4.34 Mbits/sec   0.156 ms  398/  767 (52%)
[  3] 18.0-19.0 sec   524 KBytes  4.29 Mbits/sec   0.288 ms  399/  764 (52%)
[  3] 19.0-20.0 sec   528 KBytes  4.33 Mbits/sec   0.236 ms  398/  766 (52%)
[  3] 20.0-21.0 sec  1.03 MBytes  8.64 Mbits/sec   0.103 ms   80/  815 (9.8%)
[  3] 21.0-22.0 sec  1.16 MBytes  9.71 Mbits/sec   0.122 ms    0/  826 (0%)
[  3] 22.0-23.0 sec  1.16 MBytes  9.73 Mbits/sec   0.176 ms    0/  827 (0%)
[  3] 23.0-24.0 sec  1.16 MBytes  9.73 Mbits/sec   0.124 ms    0/  827 (0%)
