------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.7.0.2 port 5001 connected with 10.2.0.1 port 38842
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   734 KBytes  6.01 Mbits/sec   0.010 ms    8/  519 (1.5%)
[  3]  1.0- 2.0 sec   732 KBytes  6.00 Mbits/sec   0.014 ms    0/  510 (0%)
[  3]  2.0- 3.0 sec   732 KBytes  6.00 Mbits/sec   0.014 ms    0/  510 (0%)
[  3]  3.0- 4.0 sec   734 KBytes  6.01 Mbits/sec   0.012 ms    0/  511 (0%)
[  3]  4.0- 5.0 sec   732 KBytes  6.00 Mbits/sec   0.014 ms    0/  510 (0%)
[  3]  5.0- 6.0 sec   732 KBytes  6.00 Mbits/sec   0.009 ms    0/  510 (0%)
[  3]  6.0- 7.0 sec   594 KBytes  4.87 Mbits/sec   0.461 ms    0/  414 (0%)
[  3]  7.0- 8.0 sec   593 KBytes  4.86 Mbits/sec   0.482 ms    0/  413 (0%)
[  3]  8.0- 9.0 sec   594 KBytes  4.87 Mbits/sec   0.463 ms    0/  414 (0%)
[  3]  9.0-10.0 sec   593 KBytes  4.86 Mbits/sec   0.555 ms    0/  413 (0%)
[  3] 10.0-11.0 sec   593 KBytes  4.86 Mbits/sec   0.469 ms    0/  413 (0%)
[  3] 11.0-12.0 sec   587 KBytes  4.81 Mbits/sec   0.470 ms    0/  409 (0%)
[  3] 12.0-13.0 sec   504 KBytes  4.13 Mbits/sec   0.346 ms  127/  478 (27%)
[  3] 13.0-14.0 sec   459 KBytes  3.76 Mbits/sec   0.356 ms  191/  511 (37%)
[  3] 14.0-15.0 sec   454 KBytes  3.72 Mbits/sec   0.387 ms  193/  509 (38%)
[  3] 15.0-16.0 sec   458 KBytes  3.75 Mbits/sec   0.353 ms  192/  511 (38%)
[  3] 16.0-17.0 sec   455 KBytes  3.73 Mbits/sec   0.373 ms  192/  509 (38%)
[  3] 17.0-18.0 sec   452 KBytes  3.70 Mbits/sec   0.405 ms  190/  505 (38%)
[  3] 18.0-19.0 sec   467 KBytes  3.82 Mbits/sec   0.377 ms  191/  516 (37%)
[  3] 19.0-20.0 sec   455 KBytes  3.73 Mbits/sec   0.362 ms  194/  511 (38%)
[  3] 20.0-21.0 sec   458 KBytes  3.75 Mbits/sec   0.362 ms  190/  509 (37%)
[  3] 21.0-22.0 sec   457 KBytes  3.74 Mbits/sec   0.338 ms  193/  511 (38%)
[  3] 22.0-23.0 sec   451 KBytes  3.69 Mbits/sec   0.392 ms  191/  505 (38%)
[  3] 23.0-24.0 sec   471 KBytes  3.86 Mbits/sec   0.723 ms  188/  516 (36%)
[  3] 24.0-25.0 sec   458 KBytes  3.75 Mbits/sec   0.367 ms  190/  509 (37%)
[  3] 25.0-26.0 sec   458 KBytes  3.75 Mbits/sec   0.369 ms  192/  511 (38%)
[  3] 26.0-27.0 sec   455 KBytes  3.73 Mbits/sec   0.383 ms  192/  509 (38%)
[  3] 27.0-28.0 sec   457 KBytes  3.74 Mbits/sec   0.360 ms  193/  511 (38%)
[  3] 28.0-29.0 sec   457 KBytes  3.74 Mbits/sec   0.405 ms  192/  510 (38%)
[  3] 29.0-30.0 sec   459 KBytes  3.76 Mbits/sec   0.357 ms  191/  511 (37%)
[  3] 30.0-31.0 sec   457 KBytes  3.74 Mbits/sec   0.348 ms  191/  509 (38%)
[  3] 31.0-32.0 sec   462 KBytes  3.79 Mbits/sec   0.398 ms  189/  511 (37%)
[  3] 32.0-33.0 sec   457 KBytes  3.74 Mbits/sec   0.375 ms  192/  510 (38%)
[  3] 33.0-34.0 sec   449 KBytes  3.68 Mbits/sec   0.368 ms  191/  504 (38%)
[  3] 34.0-35.0 sec   471 KBytes  3.86 Mbits/sec   0.354 ms  188/  516 (36%)
[  3] 35.0-36.0 sec   455 KBytes  3.73 Mbits/sec   0.369 ms  194/  511 (38%)
[  3] 36.0-37.0 sec   452 KBytes  3.70 Mbits/sec   0.389 ms  188/  503 (37%)
[  3] 37.0-38.0 sec   461 KBytes  3.77 Mbits/sec   0.351 ms  190/  511 (37%)
[  3] 38.0-39.0 sec   446 KBytes  3.66 Mbits/sec   0.516 ms  205/  516 (40%)
[  3] 39.0-40.0 sec   455 KBytes  3.73 Mbits/sec   0.378 ms  194/  511 (38%)
[  3] 40.0-41.0 sec   455 KBytes  3.73 Mbits/sec   0.384 ms  186/  503 (37%)
[  3] 41.0-42.0 sec   469 KBytes  3.85 Mbits/sec   0.348 ms  189/  516 (37%)
[  3] 42.0-43.0 sec   459 KBytes  3.76 Mbits/sec   0.337 ms  191/  511 (37%)
[  3] 43.0-44.0 sec   458 KBytes  3.75 Mbits/sec   0.428 ms  192/  511 (38%)
[  3] 44.0-45.0 sec   457 KBytes  3.74 Mbits/sec   0.349 ms  188/  506 (37%)
[  3] 45.0-46.0 sec   451 KBytes  3.69 Mbits/sec   0.348 ms  200/  514 (39%)
[  3] 46.0-47.0 sec   457 KBytes  3.74 Mbits/sec   0.377 ms  191/  509 (38%)
[  3] 47.0-48.0 sec   459 KBytes  3.76 Mbits/sec   0.377 ms  191/  511 (37%)
[  3] 48.0-49.0 sec   451 KBytes  3.69 Mbits/sec   0.470 ms  191/  505 (38%)
[  3] 49.0-50.0 sec   461 KBytes  3.77 Mbits/sec   0.426 ms  188/  509 (37%)
[  3] 50.0-51.0 sec   469 KBytes  3.85 Mbits/sec   0.364 ms  189/  516 (37%)
[  3] 51.0-52.0 sec   457 KBytes  3.74 Mbits/sec   0.348 ms  193/  511 (38%)
[  3] 52.0-53.0 sec   459 KBytes  3.76 Mbits/sec   0.335 ms  191/  511 (37%)
[  3] 53.0-54.0 sec   452 KBytes  3.70 Mbits/sec   0.345 ms  188/  503 (37%)
[  3] 54.0-55.0 sec   472 KBytes  3.87 Mbits/sec   0.396 ms  187/  516 (36%)
[  3] 55.0-56.0 sec   461 KBytes  3.77 Mbits/sec   0.353 ms  190/  511 (37%)
[  3] 56.0-57.0 sec   458 KBytes  3.75 Mbits/sec   0.339 ms  191/  510 (37%)
[  3] 57.0-58.0 sec   459 KBytes  3.76 Mbits/sec   0.323 ms  189/  509 (37%)
