------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.8.0.1 port 5001 connected with 10.4.0.1 port 45480
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   734 KBytes  6.01 Mbits/sec   0.014 ms   12/  523 (2.3%)
[  3]  1.0- 2.0 sec   732 KBytes  6.00 Mbits/sec   0.013 ms    0/  510 (0%)
[  3]  2.0- 3.0 sec   732 KBytes  6.00 Mbits/sec   0.010 ms    0/  510 (0%)
[  3]  3.0- 4.0 sec   732 KBytes  6.00 Mbits/sec   0.009 ms    0/  510 (0%)
[  3]  4.0- 5.0 sec   734 KBytes  6.01 Mbits/sec   0.013 ms    0/  511 (0%)
[  3]  5.0- 6.0 sec   732 KBytes  6.00 Mbits/sec   0.023 ms    0/  510 (0%)
[  3]  6.0- 7.0 sec   596 KBytes  4.88 Mbits/sec   0.459 ms    0/  415 (0%)
[  3]  7.0- 8.0 sec   593 KBytes  4.86 Mbits/sec   0.459 ms    0/  413 (0%)
[  3]  8.0- 9.0 sec   594 KBytes  4.87 Mbits/sec   0.461 ms    0/  414 (0%)
[  3]  9.0-10.0 sec   586 KBytes  4.80 Mbits/sec   0.463 ms    0/  408 (0%)
[  3] 10.0-11.0 sec   593 KBytes  4.86 Mbits/sec   0.458 ms    0/  413 (0%)
[  3] 11.0-12.0 sec   594 KBytes  4.87 Mbits/sec   0.482 ms    0/  414 (0%)
[  3] 12.0-13.0 sec   643 KBytes  5.27 Mbits/sec   0.546 ms   23/  471 (4.9%)
[  3] 13.0-14.0 sec   696 KBytes  5.70 Mbits/sec   0.891 ms   31/  516 (6%)
[  3] 14.0-15.0 sec   702 KBytes  5.75 Mbits/sec   0.529 ms   21/  510 (4.1%)
[  3] 15.0-16.0 sec   698 KBytes  5.72 Mbits/sec   0.581 ms   25/  511 (4.9%)
[  3] 16.0-17.0 sec   689 KBytes  5.64 Mbits/sec   0.552 ms   25/  505 (5%)
[  3] 17.0-18.0 sec   708 KBytes  5.80 Mbits/sec   0.567 ms   22/  515 (4.3%)
[  3] 18.0-19.0 sec   698 KBytes  5.72 Mbits/sec   0.562 ms   24/  510 (4.7%)
[  3] 19.0-20.0 sec   693 KBytes  5.68 Mbits/sec   0.612 ms   28/  511 (5.5%)
[  3] 20.0-21.0 sec   669 KBytes  5.48 Mbits/sec   0.526 ms   40/  506 (7.9%)
[  3] 21.0-22.0 sec   703 KBytes  5.76 Mbits/sec   0.505 ms   24/  514 (4.7%)
[  3] 22.0-23.0 sec   692 KBytes  5.67 Mbits/sec   0.554 ms   28/  510 (5.5%)
[  3] 23.0-24.0 sec   699 KBytes  5.73 Mbits/sec   0.559 ms   23/  510 (4.5%)
[  3] 24.0-25.0 sec   683 KBytes  5.60 Mbits/sec   0.655 ms   28/  504 (5.6%)
[  3] 25.0-26.0 sec   702 KBytes  5.75 Mbits/sec   0.560 ms   22/  511 (4.3%)
[  3] 26.0-27.0 sec   703 KBytes  5.76 Mbits/sec   0.559 ms   26/  516 (5%)
[  3] 27.0-28.0 sec   689 KBytes  5.64 Mbits/sec   0.552 ms   30/  510 (5.9%)
[  3] 28.0-29.0 sec   695 KBytes  5.69 Mbits/sec   0.534 ms   26/  510 (5.1%)
[  3] 29.0-30.0 sec   689 KBytes  5.64 Mbits/sec   0.533 ms   25/  505 (5%)
[  3] 30.0-31.0 sec   692 KBytes  5.67 Mbits/sec   0.561 ms   33/  515 (6.4%)
[  3] 31.0-32.0 sec   692 KBytes  5.67 Mbits/sec   0.544 ms   29/  511 (5.7%)
[  3] 32.0-33.0 sec   688 KBytes  5.63 Mbits/sec   0.547 ms   31/  510 (6.1%)
[  3] 33.0-34.0 sec   689 KBytes  5.64 Mbits/sec   0.565 ms   31/  511 (6.1%)
[  3] 34.0-35.0 sec   683 KBytes  5.60 Mbits/sec   0.564 ms   28/  504 (5.6%)
[  3] 35.0-36.0 sec   696 KBytes  5.70 Mbits/sec   0.557 ms   30/  515 (5.8%)
[  3] 36.0-37.0 sec   702 KBytes  5.75 Mbits/sec   0.596 ms   22/  511 (4.3%)
[  3] 37.0-38.0 sec   690 KBytes  5.66 Mbits/sec   0.577 ms   30/  511 (5.9%)
[  3] 38.0-39.0 sec   692 KBytes  5.67 Mbits/sec   0.556 ms   27/  509 (5.3%)
[  3] 39.0-40.0 sec   696 KBytes  5.70 Mbits/sec   0.594 ms   25/  510 (4.9%)
[  3] 40.0-41.0 sec   678 KBytes  5.55 Mbits/sec   0.577 ms   33/  505 (6.5%)
[  3] 41.0-42.0 sec   695 KBytes  5.69 Mbits/sec   0.557 ms   27/  511 (5.3%)
[  3] 42.0-43.0 sec   680 KBytes  5.57 Mbits/sec   0.568 ms   41/  515 (8%)
[  3] 43.0-44.0 sec   698 KBytes  5.72 Mbits/sec   0.540 ms   24/  510 (4.7%)
[  3] 44.0-45.0 sec   698 KBytes  5.72 Mbits/sec   0.546 ms   24/  510 (4.7%)
[  3] 45.0-46.0 sec   706 KBytes  5.79 Mbits/sec   0.548 ms   19/  511 (3.7%)
[  3] 46.0-47.0 sec   702 KBytes  5.75 Mbits/sec   0.660 ms   20/  509 (3.9%)
[  3] 47.0-48.0 sec   690 KBytes  5.66 Mbits/sec   0.520 ms   27/  508 (5.3%)
[  3] 48.0-49.0 sec   698 KBytes  5.72 Mbits/sec   0.614 ms   27/  513 (5.3%)
