------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.2.0.2 port 5001 connected with 10.6.0.2 port 41551
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   296 KBytes  2.42 Mbits/sec   0.919 ms    0/  206 (0%)
[  3]  1.0- 2.0 sec   297 KBytes  2.43 Mbits/sec   0.919 ms    0/  207 (0%)
[  3]  2.0- 3.0 sec   326 KBytes  2.67 Mbits/sec   1.848 ms    0/  227 (0%)
[  3]  3.0- 4.0 sec   299 KBytes  2.45 Mbits/sec   0.921 ms    0/  208 (0%)
[  3]  4.0- 5.0 sec   294 KBytes  2.41 Mbits/sec   0.927 ms    0/  205 (0%)
[  3]  5.0- 6.0 sec   297 KBytes  2.43 Mbits/sec   0.922 ms    0/  207 (0%)
[  3]  6.0- 7.0 sec   313 KBytes  2.56 Mbits/sec   0.433 ms    0/  218 (0%)
[  3]  7.0- 8.0 sec   366 KBytes  3.00 Mbits/sec   0.428 ms    0/  255 (0%)
[  3]  8.0- 9.0 sec   362 KBytes  2.96 Mbits/sec   0.462 ms    2/  254 (0.79%)
[  3]  9.0-10.0 sec  80.4 KBytes   659 Kbits/sec   0.453 ms    0/   56 (0%)
[  3] 10.0-11.0 sec   169 KBytes  1.39 Mbits/sec   0.864 ms  336/  454 (74%)
[  3] 11.0-12.0 sec   366 KBytes  3.00 Mbits/sec   0.437 ms    1/  256 (0.39%)
[  3] 12.0-13.0 sec   365 KBytes  2.99 Mbits/sec   0.428 ms    0/  254 (0%)
[  3] 13.0-14.0 sec   366 KBytes  3.00 Mbits/sec   0.446 ms    0/  255 (0%)
[  3] 14.0-15.0 sec   363 KBytes  2.98 Mbits/sec   0.459 ms    0/  253 (0%)
[  3] 15.0-16.0 sec   366 KBytes  3.00 Mbits/sec   0.423 ms    0/  255 (0%)
[  3] 16.0-17.0 sec   362 KBytes  2.96 Mbits/sec   0.424 ms    6/  258 (2.3%)
[  3] 17.0-18.0 sec   362 KBytes  2.96 Mbits/sec   0.589 ms   10/  262 (3.8%)
[  3] 18.0-19.0 sec   359 KBytes  2.94 Mbits/sec   0.575 ms    7/  257 (2.7%)
[  3] 19.0-20.0 sec   357 KBytes  2.93 Mbits/sec   0.590 ms   12/  261 (4.6%)
[  3] 20.0-21.0 sec   357 KBytes  2.93 Mbits/sec   0.618 ms    4/  253 (1.6%)
[  3] 21.0-22.0 sec   359 KBytes  2.94 Mbits/sec   0.590 ms    5/  255 (2%)
[  3] 22.0-23.0 sec   347 KBytes  2.85 Mbits/sec   0.538 ms    8/  250 (3.2%)
[  3] 23.0-24.0 sec   359 KBytes  2.94 Mbits/sec   0.524 ms   12/  262 (4.6%)
[  3] 24.0-25.0 sec   359 KBytes  2.94 Mbits/sec   0.593 ms    4/  254 (1.6%)
[  3] 25.0-26.0 sec   353 KBytes  2.89 Mbits/sec   0.563 ms    7/  253 (2.8%)
[  3] 26.0-27.0 sec   359 KBytes  2.94 Mbits/sec   0.635 ms    5/  255 (2%)
[  3] 27.0-28.0 sec   352 KBytes  2.88 Mbits/sec   0.518 ms    6/  251 (2.4%)
[  3] 28.0-29.0 sec   355 KBytes  2.90 Mbits/sec   0.718 ms   11/  258 (4.3%)
[  3] 29.0-30.0 sec   353 KBytes  2.89 Mbits/sec   0.503 ms   10/  256 (3.9%)
[  3] 30.0-31.0 sec   355 KBytes  2.90 Mbits/sec   0.546 ms    5/  252 (2%)
[  3] 31.0-32.0 sec   350 KBytes  2.87 Mbits/sec   0.545 ms   12/  256 (4.7%)
[  3] 32.0-33.0 sec   353 KBytes  2.89 Mbits/sec   0.588 ms    8/  254 (3.1%)
[  3] 33.0-34.0 sec   356 KBytes  2.92 Mbits/sec   0.654 ms    4/  252 (1.6%)
[  3] 34.0-35.0 sec   357 KBytes  2.93 Mbits/sec   0.913 ms   10/  259 (3.9%)
[  3] 35.0-36.0 sec   365 KBytes  2.99 Mbits/sec   0.775 ms    4/  258 (1.6%)
[  3] 36.0-37.0 sec   352 KBytes  2.88 Mbits/sec   0.618 ms    7/  252 (2.8%)
[  3] 37.0-38.0 sec   353 KBytes  2.89 Mbits/sec   0.537 ms    8/  254 (3.1%)
[  3] 38.0-39.0 sec   357 KBytes  2.93 Mbits/sec   0.583 ms    6/  255 (2.4%)
[  3] 39.0-40.0 sec   353 KBytes  2.89 Mbits/sec   0.642 ms    6/  252 (2.4%)
[  3] 40.0-41.0 sec   353 KBytes  2.89 Mbits/sec   0.517 ms    7/  253 (2.8%)
[  3] 41.0-42.0 sec   352 KBytes  2.88 Mbits/sec   0.634 ms   14/  259 (5.4%)
[  3] 42.0-43.0 sec   355 KBytes  2.90 Mbits/sec   0.484 ms    6/  253 (2.4%)
[  3] 43.0-44.0 sec   350 KBytes  2.87 Mbits/sec   0.581 ms   12/  256 (4.7%)
[  3] 44.0-45.0 sec   352 KBytes  2.88 Mbits/sec   0.587 ms   11/  256 (4.3%)
[  3] 45.0-46.0 sec   359 KBytes  2.94 Mbits/sec   0.581 ms    2/  252 (0.79%)
[  3] 46.0-47.0 sec   356 KBytes  2.92 Mbits/sec   0.465 ms    5/  253 (2%)
