------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.1.0.2 port 5001 connected with 10.5.0.2 port 59484
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   488 KBytes  4.00 Mbits/sec   0.023 ms    0/  340 (0%)
[  3]  1.0- 2.0 sec   488 KBytes  4.00 Mbits/sec   0.017 ms    0/  340 (0%)
[  3]  2.0- 3.0 sec   488 KBytes  4.00 Mbits/sec   0.033 ms    0/  340 (0%)
[  3]  3.0- 4.0 sec   488 KBytes  4.00 Mbits/sec   0.016 ms    0/  340 (0%)
[  3]  4.0- 5.0 sec   488 KBytes  4.00 Mbits/sec   0.013 ms    0/  340 (0%)
[  3]  5.0- 6.0 sec   488 KBytes  4.00 Mbits/sec   0.013 ms    0/  340 (0%)
[  3]  6.0- 7.0 sec   396 KBytes  3.25 Mbits/sec   0.689 ms    0/  276 (0%)
[  3]  7.0- 8.0 sec   392 KBytes  3.21 Mbits/sec   0.689 ms    0/  273 (0%)
[  3]  8.0- 9.0 sec   396 KBytes  3.25 Mbits/sec   0.697 ms    0/  276 (0%)
[  3]  9.0-10.0 sec   395 KBytes  3.23 Mbits/sec   0.692 ms    0/  275 (0%)
[  3] 10.0-11.0 sec   396 KBytes  3.25 Mbits/sec   0.699 ms    0/  276 (0%)
[  3] 11.0-12.0 sec   395 KBytes  3.23 Mbits/sec   0.688 ms    0/  275 (0%)
[  3] 12.0-13.0 sec   458 KBytes  3.75 Mbits/sec   0.590 ms    0/  319 (0%)
[  3] 13.0-14.0 sec   488 KBytes  4.00 Mbits/sec   0.601 ms    0/  340 (0%)
[  3] 14.0-15.0 sec   487 KBytes  3.99 Mbits/sec   0.554 ms    2/  341 (0.59%)
[  3] 15.0-16.0 sec   488 KBytes  4.00 Mbits/sec   0.577 ms    0/  340 (0%)
[  3] 16.0-17.0 sec   487 KBytes  3.99 Mbits/sec   0.588 ms    1/  340 (0.29%)
[  3] 17.0-18.0 sec   403 KBytes  3.30 Mbits/sec   0.597 ms   60/  341 (18%)
[  3] 18.0-19.0 sec   487 KBytes  3.99 Mbits/sec   0.636 ms    1/  340 (0.29%)
[  3] 19.0-20.0 sec   487 KBytes  3.99 Mbits/sec   0.601 ms    0/  339 (0%)
[  3] 20.0-21.0 sec   484 KBytes  3.96 Mbits/sec   0.595 ms    1/  338 (0.3%)
[  3] 21.0-22.0 sec   472 KBytes  3.87 Mbits/sec   0.600 ms   14/  343 (4.1%)
[  3] 22.0-23.0 sec   487 KBytes  3.99 Mbits/sec   0.611 ms    1/  340 (0.29%)
[  3] 23.0-24.0 sec   485 KBytes  3.97 Mbits/sec   0.559 ms    3/  341 (0.88%)
[  3] 24.0-25.0 sec   485 KBytes  3.97 Mbits/sec   0.644 ms    1/  339 (0.29%)
[  3] 25.0-26.0 sec   487 KBytes  3.99 Mbits/sec   0.583 ms    2/  341 (0.59%)
[  3] 26.0-27.0 sec   487 KBytes  3.99 Mbits/sec   0.602 ms    0/  339 (0%)
[  3] 27.0-28.0 sec   487 KBytes  3.99 Mbits/sec   0.606 ms    1/  340 (0.29%)
