------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.2.0.1 port 5001 connected with 10.6.0.1 port 34198
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   395 KBytes  3.23 Mbits/sec   0.686 ms    0/  275 (0%)
[  3]  1.0- 2.0 sec   392 KBytes  3.21 Mbits/sec   0.691 ms    0/  273 (0%)
[  3]  2.0- 3.0 sec   395 KBytes  3.23 Mbits/sec   0.683 ms    0/  275 (0%)
[  3]  3.0- 4.0 sec   396 KBytes  3.25 Mbits/sec   0.687 ms    0/  276 (0%)
[  3]  4.0- 5.0 sec   395 KBytes  3.23 Mbits/sec   0.688 ms    0/  275 (0%)
[  3]  5.0- 6.0 sec   396 KBytes  3.25 Mbits/sec   0.687 ms    0/  276 (0%)
[  3]  6.0- 7.0 sec   444 KBytes  3.63 Mbits/sec   0.547 ms   10/  319 (3.1%)
[  3]  7.0- 8.0 sec   224 KBytes  1.83 Mbits/sec   0.184 ms  182/  338 (54%)
[  3]  8.0- 9.0 sec   159 KBytes  1.31 Mbits/sec   0.207 ms  231/  342 (68%)
[  3]  9.0-10.0 sec   174 KBytes  1.42 Mbits/sec   0.295 ms  220/  341 (65%)
[  3] 10.0-11.0 sec   100 KBytes   823 Kbits/sec   0.225 ms  137/  207 (66%)
[  3] 11.0-12.0 sec   261 KBytes  2.14 Mbits/sec   0.252 ms  292/  474 (62%)
[  3] 12.0-13.0 sec   172 KBytes  1.41 Mbits/sec   0.184 ms  219/  339 (65%)
[  3] 13.0-14.0 sec   172 KBytes  1.41 Mbits/sec   0.218 ms  217/  337 (64%)
[  3] 14.0-15.0 sec   156 KBytes  1.28 Mbits/sec   0.187 ms  230/  339 (68%)
[  3] 15.0-16.0 sec   184 KBytes  1.51 Mbits/sec   0.233 ms  216/  344 (63%)
[  3] 16.0-17.0 sec   179 KBytes  1.47 Mbits/sec   0.204 ms  216/  341 (63%)
[  3] 17.0-18.0 sec   177 KBytes  1.45 Mbits/sec   0.196 ms  216/  339 (64%)
[  3] 18.0-19.0 sec   171 KBytes  1.40 Mbits/sec   0.288 ms  221/  340 (65%)
[  3] 19.0-20.0 sec   169 KBytes  1.39 Mbits/sec   0.279 ms  223/  341 (65%)
[  3] 20.0-21.0 sec   184 KBytes  1.51 Mbits/sec   0.295 ms  211/  339 (62%)
[  3] 21.0-22.0 sec   159 KBytes  1.31 Mbits/sec   0.187 ms  228/  339 (67%)
[  3] 22.0-23.0 sec   179 KBytes  1.47 Mbits/sec   0.224 ms  217/  342 (63%)
[  3] 23.0-24.0 sec   188 KBytes  1.54 Mbits/sec   0.414 ms  215/  346 (62%)
[  3] 24.0-25.0 sec   185 KBytes  1.52 Mbits/sec   0.406 ms  214/  343 (62%)
[  3] 25.0-26.0 sec   188 KBytes  1.54 Mbits/sec   0.471 ms  206/  337 (61%)
[  3] 26.0-27.0 sec   169 KBytes  1.39 Mbits/sec   0.519 ms  219/  337 (65%)
[  3] 27.0-28.0 sec   192 KBytes  1.58 Mbits/sec   0.552 ms  210/  344 (61%)
[  3] 28.0-29.0 sec   237 KBytes  1.94 Mbits/sec   0.623 ms  182/  347 (52%)
[  3] 29.0-30.0 sec   238 KBytes  1.95 Mbits/sec   0.570 ms  171/  337 (51%)
[  3] 30.0-31.0 sec   191 KBytes  1.56 Mbits/sec   0.644 ms  205/  338 (61%)
[  3] 31.0-32.0 sec   194 KBytes  1.59 Mbits/sec   0.648 ms  201/  336 (60%)
[  3] 32.0-33.0 sec   174 KBytes  1.42 Mbits/sec   0.613 ms  224/  345 (65%)
[  3] 33.0-34.0 sec   174 KBytes  1.42 Mbits/sec   0.644 ms  218/  339 (64%)
[  3] 34.0-35.0 sec   184 KBytes  1.51 Mbits/sec   0.502 ms  213/  341 (62%)
[  3] 35.0-36.0 sec   191 KBytes  1.56 Mbits/sec   0.440 ms  206/  339 (61%)
[  3] 36.0-37.0 sec   185 KBytes  1.52 Mbits/sec   0.686 ms  201/  330 (61%)
[  3] 37.0-38.0 sec   197 KBytes  1.61 Mbits/sec   0.591 ms  211/  348 (61%)
[  3] 38.0-39.0 sec   191 KBytes  1.56 Mbits/sec   0.433 ms  206/  339 (61%)
[  3] 39.0-40.0 sec   192 KBytes  1.58 Mbits/sec   0.751 ms  201/  335 (60%)
[  3] 40.0-41.0 sec   192 KBytes  1.58 Mbits/sec   0.553 ms  206/  340 (61%)
[  3] 41.0-42.0 sec   189 KBytes  1.55 Mbits/sec   0.535 ms  210/  342 (61%)
[  3] 42.0-43.0 sec   178 KBytes  1.46 Mbits/sec   0.491 ms  216/  340 (64%)
[  3] 43.0-44.0 sec   175 KBytes  1.43 Mbits/sec   0.551 ms  213/  335 (64%)
[  3] 44.0-45.0 sec   181 KBytes  1.48 Mbits/sec   0.478 ms  217/  343 (63%)
[  3] 45.0-46.0 sec   169 KBytes  1.39 Mbits/sec   0.550 ms  224/  342 (65%)
[  3] 46.0-47.0 sec   184 KBytes  1.51 Mbits/sec   0.632 ms  212/  340 (62%)
[  3] 47.0-48.0 sec   320 KBytes  2.62 Mbits/sec   0.719 ms  115/  338 (34%)
[  3] 48.0-49.0 sec   415 KBytes  3.40 Mbits/sec   0.634 ms   51/  340 (15%)
[  3] 49.0-50.0 sec   185 KBytes  1.52 Mbits/sec   0.654 ms  212/  341 (62%)
[  3] 50.0-51.0 sec   187 KBytes  1.53 Mbits/sec   0.427 ms  208/  338 (62%)
[  3] 51.0-52.0 sec   192 KBytes  1.58 Mbits/sec   0.451 ms  203/  337 (60%)
[  3] 52.0-53.0 sec   185 KBytes  1.52 Mbits/sec   0.516 ms  210/  339 (62%)
[  3] 53.0-54.0 sec   200 KBytes  1.63 Mbits/sec   0.527 ms  201/  340 (59%)
[  3] 54.0-55.0 sec   184 KBytes  1.51 Mbits/sec   0.556 ms  211/  339 (62%)
[  3] 55.0-56.0 sec   189 KBytes  1.55 Mbits/sec   0.563 ms  210/  342 (61%)
[  3] 56.0-57.0 sec   184 KBytes  1.51 Mbits/sec   0.704 ms  207/  335 (62%)
[  3] 57.0-58.0 sec   185 KBytes  1.52 Mbits/sec   0.618 ms  213/  342 (62%)
[  3] 58.0-59.0 sec   175 KBytes  1.43 Mbits/sec   0.605 ms  217/  339 (64%)
[  3] 59.0-60.0 sec   185 KBytes  1.52 Mbits/sec   0.493 ms  212/  341 (62%)
[  3] 60.0-61.0 sec   171 KBytes  1.40 Mbits/sec   0.643 ms  222/  341 (65%)
[  3] 61.0-62.0 sec   169 KBytes  1.39 Mbits/sec   0.566 ms  219/  337 (65%)
[  3] 62.0-63.0 sec   184 KBytes  1.51 Mbits/sec   0.924 ms  212/  340 (62%)
[  3] 63.0-64.0 sec   179 KBytes  1.47 Mbits/sec   0.580 ms  214/  339 (63%)
[  3] 64.0-65.0 sec   184 KBytes  1.51 Mbits/sec   0.650 ms  209/  337 (62%)
[  3] 65.0-66.0 sec   181 KBytes  1.48 Mbits/sec   0.763 ms  217/  343 (63%)
[  3] 66.0-67.0 sec   188 KBytes  1.54 Mbits/sec   0.445 ms  207/  338 (61%)
[  3] 67.0-68.0 sec   172 KBytes  1.41 Mbits/sec   0.538 ms  223/  343 (65%)
[  3] 68.0-69.0 sec   181 KBytes  1.48 Mbits/sec   0.617 ms  208/  334 (62%)
[  3] 69.0-70.0 sec   211 KBytes  1.73 Mbits/sec   0.523 ms  195/  342 (57%)
[  3] 70.0-71.0 sec   177 KBytes  1.45 Mbits/sec   0.664 ms  217/  340 (64%)
[  3] 71.0-72.0 sec   191 KBytes  1.56 Mbits/sec   0.578 ms  208/  341 (61%)
[  3] 72.0-73.0 sec   185 KBytes  1.52 Mbits/sec   0.556 ms  208/  337 (62%)
[  3] 73.0-74.0 sec   198 KBytes  1.62 Mbits/sec   0.549 ms  201/  339 (59%)
[  3] 74.0-75.0 sec   179 KBytes  1.47 Mbits/sec   0.620 ms  220/  345 (64%)
[  3] 75.0-76.0 sec   198 KBytes  1.62 Mbits/sec   0.597 ms  197/  335 (59%)
[  3] 76.0-77.0 sec   179 KBytes  1.47 Mbits/sec   0.540 ms  216/  341 (63%)
[  3] 77.0-78.0 sec   184 KBytes  1.51 Mbits/sec   0.485 ms  214/  342 (63%)
[  3] 78.0-79.0 sec   189 KBytes  1.55 Mbits/sec   0.587 ms  205/  337 (61%)
[  3] 79.0-80.0 sec   194 KBytes  1.59 Mbits/sec   0.557 ms  210/  345 (61%)
[  3] 80.0-81.0 sec   191 KBytes  1.56 Mbits/sec   0.631 ms  200/  333 (60%)
[  3] 81.0-82.0 sec   184 KBytes  1.51 Mbits/sec   0.472 ms  215/  343 (63%)
[  3] 82.0-83.0 sec   184 KBytes  1.51 Mbits/sec   0.672 ms  209/  337 (62%)
[  3] 83.0-84.0 sec   189 KBytes  1.55 Mbits/sec   0.417 ms  207/  339 (61%)
[  3] 84.0-85.0 sec   185 KBytes  1.52 Mbits/sec   0.632 ms  213/  342 (62%)
[  3] 85.0-86.0 sec  61.7 KBytes   506 Kbits/sec   0.628 ms   79/  122 (65%)
[  3] 86.0-87.0 sec   148 KBytes  1.21 Mbits/sec   0.509 ms  446/  549 (81%)
[  3] 87.0-88.0 sec   192 KBytes  1.58 Mbits/sec   0.405 ms  205/  339 (60%)
[  3]  0.0-88.4 sec  17.7 MBytes  1.68 Mbits/sec   0.686 ms 17033/29634 (57%)
[  3]  0.0-88.4 sec  1 datagrams received out-of-order
