------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.3.0.2 port 5001 connected with 10.2.0.2 port 58628
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   591 KBytes  4.85 Mbits/sec   0.738 ms    0/  412 (0%)
[  3]  1.0- 2.0 sec   594 KBytes  4.87 Mbits/sec   0.733 ms    0/  414 (0%)
[  3]  2.0- 3.0 sec   591 KBytes  4.85 Mbits/sec   0.739 ms    0/  412 (0%)
[  3]  3.0- 4.0 sec   580 KBytes  4.75 Mbits/sec   0.682 ms   12/  416 (2.9%)
[  3]  4.0- 5.0 sec   359 KBytes  2.94 Mbits/sec   0.312 ms  351/  601 (58%)
[  3]  5.0- 6.0 sec   336 KBytes  2.75 Mbits/sec   0.441 ms  360/  594 (61%)
[  3]  6.0- 7.0 sec   337 KBytes  2.76 Mbits/sec   0.284 ms  362/  597 (61%)
[  3]  7.0- 8.0 sec   336 KBytes  2.75 Mbits/sec   0.250 ms  362/  596 (61%)
[  3]  8.0- 9.0 sec   332 KBytes  2.72 Mbits/sec   0.681 ms  358/  589 (61%)
[  3]  9.0-10.0 sec   333 KBytes  2.73 Mbits/sec   0.282 ms  362/  594 (61%)
[  3] 10.0-11.0 sec   327 KBytes  2.68 Mbits/sec   0.232 ms  373/  601 (62%)
[  3] 11.0-12.0 sec   334 KBytes  2.74 Mbits/sec   0.220 ms  364/  597 (61%)
[  3] 12.0-13.0 sec   333 KBytes  2.73 Mbits/sec   0.236 ms  362/  594 (61%)
[  3] 13.0-14.0 sec   340 KBytes  2.79 Mbits/sec   0.475 ms  359/  596 (60%)
[  3] 14.0-15.0 sec   332 KBytes  2.72 Mbits/sec   0.233 ms  358/  589 (61%)
[  3] 15.0-16.0 sec   359 KBytes  2.94 Mbits/sec   0.582 ms  351/  601 (58%)
[  3] 16.0-17.0 sec   340 KBytes  2.79 Mbits/sec   0.315 ms  358/  595 (60%)
[  3] 17.0-18.0 sec   339 KBytes  2.78 Mbits/sec   0.244 ms  359/  595 (60%)
[  3] 18.0-19.0 sec   336 KBytes  2.75 Mbits/sec   0.204 ms  360/  594 (61%)
[  3] 19.0-20.0 sec   342 KBytes  2.80 Mbits/sec   0.215 ms  359/  597 (60%)
[  3] 20.0-21.0 sec   332 KBytes  2.72 Mbits/sec   0.237 ms  358/  589 (61%)
[  3] 21.0-22.0 sec   324 KBytes  2.66 Mbits/sec   0.260 ms  375/  601 (62%)
[  3] 22.0-23.0 sec   333 KBytes  2.73 Mbits/sec   0.232 ms  362/  594 (61%)
[  3] 23.0-24.0 sec   339 KBytes  2.78 Mbits/sec   0.226 ms  361/  597 (60%)
