------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.5.0.2 port 5001 connected with 10.4.0.2 port 37778
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   593 KBytes  4.86 Mbits/sec   0.774 ms    0/  413 (0%)
[  3]  1.0- 2.0 sec   594 KBytes  4.87 Mbits/sec   0.745 ms    0/  414 (0%)
[  3]  2.0- 3.0 sec   593 KBytes  4.86 Mbits/sec   0.785 ms    0/  413 (0%)
[  3]  3.0- 4.0 sec   600 KBytes  4.92 Mbits/sec   0.563 ms    4/  422 (0.95%)
[  3]  4.0- 5.0 sec   820 KBytes  6.71 Mbits/sec   0.542 ms   19/  590 (3.2%)
[  3]  5.0- 6.0 sec   828 KBytes  6.79 Mbits/sec   0.558 ms   24/  601 (4%)
[  3]  6.0- 7.0 sec   827 KBytes  6.77 Mbits/sec   0.562 ms   19/  595 (3.2%)
[  3]  7.0- 8.0 sec   802 KBytes  6.57 Mbits/sec   0.512 ms   37/  596 (6.2%)
[  3]  8.0- 9.0 sec   800 KBytes  6.55 Mbits/sec   0.563 ms   32/  589 (5.4%)
[  3]  9.0-10.0 sec   790 KBytes  6.47 Mbits/sec   0.544 ms   51/  601 (8.5%)
[  3] 10.0-11.0 sec   817 KBytes  6.69 Mbits/sec   0.532 ms   27/  596 (4.5%)
[  3] 11.0-12.0 sec   804 KBytes  6.59 Mbits/sec   0.508 ms   34/  594 (5.7%)
[  3] 12.0-13.0 sec   797 KBytes  6.53 Mbits/sec   0.597 ms   34/  589 (5.8%)
[  3] 13.0-14.0 sec   791 KBytes  6.48 Mbits/sec   0.604 ms   50/  601 (8.3%)
[  3] 14.0-15.0 sec   810 KBytes  6.63 Mbits/sec   0.562 ms   31/  595 (5.2%)
[  3] 15.0-16.0 sec   798 KBytes  6.54 Mbits/sec   0.577 ms   39/  595 (6.6%)
[  3] 16.0-17.0 sec   788 KBytes  6.46 Mbits/sec   0.558 ms   42/  591 (7.1%)
[  3] 17.0-18.0 sec   808 KBytes  6.62 Mbits/sec   0.873 ms   36/  599 (6%)
[  3] 18.0-19.0 sec   813 KBytes  6.66 Mbits/sec   0.568 ms   30/  596 (5%)
[  3] 19.0-20.0 sec   801 KBytes  6.56 Mbits/sec   0.533 ms   37/  595 (6.2%)
[  3] 20.0-21.0 sec   805 KBytes  6.60 Mbits/sec   0.559 ms   35/  596 (5.9%)
[  3] 21.0-22.0 sec   798 KBytes  6.54 Mbits/sec   0.558 ms   33/  589 (5.6%)
[  3] 22.0-23.0 sec   814 KBytes  6.67 Mbits/sec   0.600 ms   34/  601 (5.7%)
[  3] 23.0-24.0 sec   797 KBytes  6.53 Mbits/sec   0.552 ms   40/  595 (6.7%)
