------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.7.0.2 port 5001 connected with 10.5.0.2 port 48108
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   593 KBytes  4.86 Mbits/sec   0.920 ms    0/  413 (0%)
[  3]  1.0- 2.0 sec   593 KBytes  4.86 Mbits/sec   0.739 ms    0/  413 (0%)
[  3]  2.0- 3.0 sec   594 KBytes  4.87 Mbits/sec   0.702 ms    0/  414 (0%)
[  3]  3.0- 4.0 sec   603 KBytes  4.94 Mbits/sec   0.554 ms    3/  423 (0.71%)
[  3]  4.0- 5.0 sec   795 KBytes  6.52 Mbits/sec   0.570 ms   41/  595 (6.9%)
[  3]  5.0- 6.0 sec   788 KBytes  6.46 Mbits/sec   0.684 ms   40/  589 (6.8%)
[  3]  6.0- 7.0 sec   792 KBytes  6.49 Mbits/sec   0.554 ms   43/  595 (7.2%)
[  3]  7.0- 8.0 sec   797 KBytes  6.53 Mbits/sec   0.543 ms   47/  602 (7.8%)
[  3]  8.0- 9.0 sec   792 KBytes  6.49 Mbits/sec   0.509 ms   43/  595 (7.2%)
[  3]  9.0-10.0 sec   804 KBytes  6.59 Mbits/sec   0.577 ms   35/  595 (5.9%)
[  3] 10.0-11.0 sec   797 KBytes  6.53 Mbits/sec   0.543 ms   41/  596 (6.9%)
[  3] 11.0-12.0 sec   781 KBytes  6.40 Mbits/sec   0.539 ms   44/  588 (7.5%)
[  3] 12.0-13.0 sec   768 KBytes  6.29 Mbits/sec   0.538 ms   67/  602 (11%)
[  3] 13.0-14.0 sec   787 KBytes  6.44 Mbits/sec   0.519 ms   47/  595 (7.9%)
[  3] 14.0-15.0 sec   775 KBytes  6.35 Mbits/sec   0.554 ms   55/  595 (9.2%)
[  3] 15.0-16.0 sec   782 KBytes  6.41 Mbits/sec   0.498 ms   51/  596 (8.6%)
[  3] 16.0-17.0 sec   787 KBytes  6.44 Mbits/sec   0.558 ms   47/  595 (7.9%)
[  3] 17.0-18.0 sec   772 KBytes  6.33 Mbits/sec   0.546 ms   51/  589 (8.7%)
[  3] 18.0-19.0 sec   788 KBytes  6.46 Mbits/sec   0.542 ms   52/  601 (8.7%)
[  3] 19.0-20.0 sec   772 KBytes  6.33 Mbits/sec   0.507 ms   58/  596 (9.7%)
[  3] 20.0-21.0 sec   778 KBytes  6.37 Mbits/sec   0.599 ms   53/  595 (8.9%)
[  3] 21.0-22.0 sec   781 KBytes  6.40 Mbits/sec   0.683 ms   51/  595 (8.6%)
[  3] 22.0-23.0 sec   771 KBytes  6.32 Mbits/sec   0.564 ms   52/  589 (8.8%)
[  3] 23.0-24.0 sec   785 KBytes  6.43 Mbits/sec   0.509 ms   54/  601 (9%)
[  3] 24.0-25.0 sec   767 KBytes  6.28 Mbits/sec   0.517 ms   63/  597 (11%)
[  3] 25.0-26.0 sec   780 KBytes  6.39 Mbits/sec   0.566 ms   45/  588 (7.7%)
[  3] 26.0-27.0 sec   798 KBytes  6.54 Mbits/sec   0.537 ms   45/  601 (7.5%)
[  3] 27.0-28.0 sec   781 KBytes  6.40 Mbits/sec   0.490 ms   51/  595 (8.6%)
[  3] 28.0-29.0 sec   791 KBytes  6.48 Mbits/sec   0.513 ms   44/  595 (7.4%)
[  3] 29.0-30.0 sec   769 KBytes  6.30 Mbits/sec   0.520 ms   58/  594 (9.8%)
[  3] 30.0-31.0 sec   785 KBytes  6.43 Mbits/sec   0.575 ms   48/  595 (8.1%)
[  3] 31.0-32.0 sec   792 KBytes  6.49 Mbits/sec   0.563 ms   43/  595 (7.2%)
[  3] 32.0-33.0 sec   784 KBytes  6.42 Mbits/sec   0.532 ms   50/  596 (8.4%)
[  3] 33.0-34.0 sec   787 KBytes  6.44 Mbits/sec   0.514 ms   46/  594 (7.7%)
[  3] 34.0-35.0 sec   778 KBytes  6.37 Mbits/sec   0.526 ms   52/  594 (8.8%)
[  3] 35.0-36.0 sec   768 KBytes  6.29 Mbits/sec   0.506 ms   59/  594 (9.9%)
[  3] 36.0-37.0 sec   767 KBytes  6.28 Mbits/sec   0.548 ms   61/  595 (10%)
[  3] 37.0-38.0 sec   768 KBytes  6.29 Mbits/sec   0.564 ms   53/  588 (9%)
[  3] 38.0-39.0 sec   769 KBytes  6.30 Mbits/sec   1.356 ms   59/  595 (9.9%)
[  3] 39.0-40.0 sec   787 KBytes  6.44 Mbits/sec   0.537 ms   53/  601 (8.8%)
[  3] 40.0-41.0 sec   774 KBytes  6.34 Mbits/sec   0.593 ms   55/  594 (9.3%)
[  3] 41.0-42.0 sec   774 KBytes  6.34 Mbits/sec   0.617 ms   56/  595 (9.4%)
[  3] 42.0-43.0 sec   761 KBytes  6.23 Mbits/sec   0.542 ms   58/  588 (9.9%)
[  3] 43.0-44.0 sec   764 KBytes  6.26 Mbits/sec   0.562 ms   69/  601 (11%)
[  3] 44.0-45.0 sec   782 KBytes  6.41 Mbits/sec   0.505 ms   50/  595 (8.4%)
[  3] 45.0-46.0 sec   785 KBytes  6.43 Mbits/sec   0.503 ms   47/  594 (7.9%)
[  3] 46.0-47.0 sec   784 KBytes  6.42 Mbits/sec   0.522 ms   49/  595 (8.2%)
[  3] 47.0-48.0 sec   790 KBytes  6.47 Mbits/sec   0.494 ms   39/  589 (6.6%)
[  3] 48.0-49.0 sec   790 KBytes  6.47 Mbits/sec   0.630 ms   50/  600 (8.3%)
[  3] 49.0-50.0 sec   772 KBytes  6.33 Mbits/sec   0.506 ms   56/  594 (9.4%)
[  3] 50.0-51.0 sec   781 KBytes  6.40 Mbits/sec   0.561 ms   51/  595 (8.6%)
[  3] 51.0-52.0 sec   778 KBytes  6.37 Mbits/sec   0.549 ms   52/  594 (8.8%)
[  3] 52.0-53.0 sec   769 KBytes  6.30 Mbits/sec   0.536 ms   59/  595 (9.9%)
[  3] 53.0-54.0 sec   767 KBytes  6.28 Mbits/sec   0.512 ms   55/  589 (9.3%)
[  3] 54.0-55.0 sec   785 KBytes  6.43 Mbits/sec   1.105 ms   49/  596 (8.2%)
[  3] 55.0-56.0 sec   795 KBytes  6.52 Mbits/sec   0.532 ms   44/  598 (7.4%)
