------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.5.0.2 port 5001 connected with 10.4.0.2 port 38947
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   587 KBytes  4.81 Mbits/sec   1.015 ms    0/  409 (0%)
[  3]  1.0- 2.0 sec   593 KBytes  4.86 Mbits/sec   0.951 ms    0/  413 (0%)
[  3]  2.0- 3.0 sec   593 KBytes  4.86 Mbits/sec   0.955 ms    0/  413 (0%)
[  3]  3.0- 4.0 sec   876 KBytes  7.17 Mbits/sec   0.422 ms   53/  663 (8%)
[  3]  4.0- 5.0 sec   893 KBytes  7.31 Mbits/sec   0.478 ms   53/  675 (7.9%)
[  3]  5.0- 6.0 sec   924 KBytes  7.57 Mbits/sec   0.425 ms   36/  680 (5.3%)
[  3]  6.0- 7.0 sec   876 KBytes  7.17 Mbits/sec   0.447 ms   77/  687 (11%)
[  3]  7.0- 8.0 sec   900 KBytes  7.37 Mbits/sec   0.366 ms   54/  681 (7.9%)
[  3]  8.0- 9.0 sec   904 KBytes  7.41 Mbits/sec   0.420 ms   49/  679 (7.2%)
[  3]  9.0-10.0 sec   890 KBytes  7.29 Mbits/sec   0.424 ms   54/  674 (8%)
[  3] 10.0-11.0 sec   864 KBytes  7.08 Mbits/sec   0.379 ms   85/  687 (12%)
[  3] 11.0-12.0 sec   897 KBytes  7.35 Mbits/sec   0.402 ms   55/  680 (8.1%)
[  3] 12.0-13.0 sec   904 KBytes  7.41 Mbits/sec   0.393 ms   51/  681 (7.5%)
[  3] 13.0-14.0 sec   890 KBytes  7.29 Mbits/sec   0.463 ms   53/  673 (7.9%)
[  3] 14.0-15.0 sec   902 KBytes  7.39 Mbits/sec   0.463 ms   53/  681 (7.8%)
[  3] 15.0-16.0 sec   866 KBytes  7.09 Mbits/sec   0.409 ms   83/  686 (12%)
[  3] 16.0-17.0 sec   904 KBytes  7.41 Mbits/sec   0.389 ms   51/  681 (7.5%)
[  3] 17.0-18.0 sec   903 KBytes  7.40 Mbits/sec   0.412 ms   51/  680 (7.5%)
[  3] 18.0-19.0 sec   889 KBytes  7.28 Mbits/sec   0.407 ms   55/  674 (8.2%)
[  3] 19.0-20.0 sec   851 KBytes  6.97 Mbits/sec   0.507 ms   94/  687 (14%)
[  3] 20.0-21.0 sec   906 KBytes  7.42 Mbits/sec   0.418 ms   48/  679 (7.1%)
[  3] 21.0-22.0 sec   912 KBytes  7.47 Mbits/sec   0.393 ms   46/  681 (6.8%)
[  3] 22.0-23.0 sec   899 KBytes  7.36 Mbits/sec   0.373 ms   54/  680 (7.9%)
[  3] 23.0-24.0 sec   906 KBytes  7.42 Mbits/sec   0.395 ms   50/  681 (7.3%)
