------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.8.0.2 port 5001 connected with 10.6.0.2 port 34238
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   594 KBytes  4.87 Mbits/sec   0.948 ms    0/  414 (0%)
[  3]  1.0- 2.0 sec   593 KBytes  4.86 Mbits/sec   0.949 ms    0/  413 (0%)
[  3]  2.0- 3.0 sec   594 KBytes  4.87 Mbits/sec   0.948 ms    0/  414 (0%)
[  3]  3.0- 4.0 sec   935 KBytes  7.66 Mbits/sec   0.395 ms    8/  659 (1.2%)
[  3]  4.0- 5.0 sec   966 KBytes  7.91 Mbits/sec   0.392 ms    8/  681 (1.2%)
[  3]  5.0- 6.0 sec   968 KBytes  7.93 Mbits/sec   0.418 ms    7/  681 (1%)
[  3]  6.0- 7.0 sec   973 KBytes  7.97 Mbits/sec   0.434 ms    2/  680 (0.29%)
[  3]  7.0- 8.0 sec   963 KBytes  7.89 Mbits/sec   0.417 ms    8/  679 (1.2%)
[  3]  8.0- 9.0 sec   972 KBytes  7.96 Mbits/sec   0.407 ms    4/  681 (0.59%)
[  3]  9.0-10.0 sec   966 KBytes  7.91 Mbits/sec   0.448 ms    7/  680 (1%)
[  3] 10.0-11.0 sec   959 KBytes  7.86 Mbits/sec   0.423 ms    6/  674 (0.89%)
[  3] 11.0-12.0 sec   923 KBytes  7.56 Mbits/sec   0.410 ms   44/  687 (6.4%)
[  3] 12.0-13.0 sec   970 KBytes  7.95 Mbits/sec   0.404 ms    4/  680 (0.59%)
[  3] 13.0-14.0 sec   968 KBytes  7.93 Mbits/sec   0.415 ms    6/  680 (0.88%)
[  3] 14.0-15.0 sec   966 KBytes  7.91 Mbits/sec   0.373 ms    8/  681 (1.2%)
[  3] 15.0-16.0 sec   966 KBytes  7.91 Mbits/sec   0.427 ms    6/  679 (0.88%)
[  3] 16.0-17.0 sec   956 KBytes  7.83 Mbits/sec   0.417 ms    4/  670 (0.6%)
[  3] 17.0-18.0 sec   963 KBytes  7.89 Mbits/sec   0.416 ms   25/  696 (3.6%)
[  3] 18.0-19.0 sec   950 KBytes  7.79 Mbits/sec   0.474 ms   18/  680 (2.6%)
[  3] 19.0-20.0 sec   940 KBytes  7.70 Mbits/sec   0.529 ms   25/  680 (3.7%)
[  3] 20.0-21.0 sec   927 KBytes  7.60 Mbits/sec   0.491 ms   30/  676 (4.4%)
[  3] 21.0-22.0 sec   930 KBytes  7.62 Mbits/sec   0.527 ms   27/  675 (4%)
[  3] 22.0-23.0 sec   935 KBytes  7.66 Mbits/sec   0.480 ms   22/  673 (3.3%)
[  3] 23.0-24.0 sec   900 KBytes  7.37 Mbits/sec   0.466 ms   56/  683 (8.2%)
[  3] 24.0-25.0 sec   939 KBytes  7.69 Mbits/sec   0.404 ms   24/  678 (3.5%)
