------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.5.0.1 port 5001 connected with 10.4.0.1 port 32857
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec  1.07 MBytes  9.01 Mbits/sec   0.013 ms    0/  766 (0%)
[  3]  1.0- 2.0 sec  1.07 MBytes  9.01 Mbits/sec   0.010 ms    0/  766 (0%)
[  3]  2.0- 3.0 sec  1.07 MBytes  9.00 Mbits/sec   0.310 ms    0/  765 (0%)
[  3]  3.0- 4.0 sec  1.07 MBytes  9.01 Mbits/sec   0.010 ms    0/  766 (0%)
[  3]  4.0- 5.0 sec  1.07 MBytes  9.01 Mbits/sec   0.010 ms    0/  766 (0%)
[  3]  5.0- 6.0 sec  1.07 MBytes  9.01 Mbits/sec   0.013 ms    0/  766 (0%)
[  3]  6.0- 7.0 sec   594 KBytes  4.87 Mbits/sec   1.113 ms    0/  414 (0%)
[  3]  7.0- 8.0 sec   593 KBytes  4.86 Mbits/sec   1.115 ms    0/  413 (0%)
[  3]  8.0- 9.0 sec   461 KBytes  3.77 Mbits/sec   0.150 ms  214/  535 (40%)
[  3]  9.0-10.0 sec   194 KBytes  1.59 Mbits/sec   0.132 ms  630/  765 (82%)
[  3] 10.0-11.0 sec   181 KBytes  1.48 Mbits/sec   0.079 ms  640/  766 (84%)
[  3] 11.0-12.0 sec   189 KBytes  1.55 Mbits/sec   0.110 ms  634/  766 (83%)
[  3] 12.0-13.0 sec   208 KBytes  1.71 Mbits/sec   0.155 ms  620/  765 (81%)
[  3] 13.0-14.0 sec   225 KBytes  1.85 Mbits/sec   0.149 ms  608/  765 (79%)
[  3] 14.0-15.0 sec   204 KBytes  1.67 Mbits/sec   0.191 ms  624/  766 (81%)
[  3] 15.0-16.0 sec   327 KBytes  2.68 Mbits/sec   0.165 ms  536/  764 (70%)
[  3] 16.0-17.0 sec   195 KBytes  1.60 Mbits/sec   0.130 ms  641/  777 (82%)
[  3] 17.0-18.0 sec   197 KBytes  1.61 Mbits/sec   0.115 ms  629/  766 (82%)
[  3] 18.0-19.0 sec   184 KBytes  1.51 Mbits/sec   0.123 ms  638/  766 (83%)
[  3] 19.0-20.0 sec   201 KBytes  1.65 Mbits/sec   0.102 ms  625/  765 (82%)
[  3] 20.0-21.0 sec   215 KBytes  1.76 Mbits/sec   0.140 ms  603/  753 (80%)
[  3] 21.0-22.0 sec   310 KBytes  2.54 Mbits/sec   0.075 ms  563/  779 (72%)
[  3] 22.0-23.0 sec   200 KBytes  1.63 Mbits/sec   0.151 ms  626/  765 (82%)
[  3] 23.0-24.0 sec   188 KBytes  1.54 Mbits/sec   0.073 ms  635/  766 (83%)
[  3] 24.0-25.0 sec   184 KBytes  1.51 Mbits/sec   0.158 ms  637/  765 (83%)
[  3] 25.0-26.0 sec   211 KBytes  1.73 Mbits/sec   0.116 ms  618/  765 (81%)
[  3] 26.0-27.0 sec   191 KBytes  1.56 Mbits/sec   0.090 ms  620/  753 (82%)
[  3] 27.0-28.0 sec   245 KBytes  2.01 Mbits/sec   0.097 ms  608/  779 (78%)
[  3] 28.0-29.0 sec   198 KBytes  1.62 Mbits/sec   0.113 ms  628/  766 (82%)
[  3] 29.0-30.0 sec   192 KBytes  1.58 Mbits/sec   0.120 ms  631/  765 (82%)
[  3] 30.0-31.0 sec   194 KBytes  1.59 Mbits/sec   0.169 ms  630/  765 (82%)
[  3] 31.0-32.0 sec   195 KBytes  1.60 Mbits/sec   0.136 ms  617/  753 (82%)
[  3] 32.0-33.0 sec   159 KBytes  1.31 Mbits/sec   0.292 ms  667/  778 (86%)
[  3] 33.0-34.0 sec   198 KBytes  1.62 Mbits/sec   0.241 ms  627/  765 (82%)
[  3] 34.0-35.0 sec   207 KBytes  1.69 Mbits/sec   0.130 ms  622/  766 (81%)
[  3] 35.0-36.0 sec   208 KBytes  1.71 Mbits/sec   0.128 ms  620/  765 (81%)
[  3] 36.0-37.0 sec   194 KBytes  1.59 Mbits/sec   0.165 ms  618/  753 (82%)
[  3] 37.0-38.0 sec   322 KBytes  2.63 Mbits/sec   0.277 ms  554/  778 (71%)
[  3] 38.0-39.0 sec   195 KBytes  1.60 Mbits/sec   0.319 ms  629/  765 (82%)
[  3] 39.0-40.0 sec   211 KBytes  1.73 Mbits/sec   0.170 ms  618/  765 (81%)
[  3] 40.0-41.0 sec   189 KBytes  1.55 Mbits/sec   0.103 ms  622/  754 (82%)
[  3] 41.0-42.0 sec   320 KBytes  2.62 Mbits/sec   0.086 ms  549/  772 (71%)
[  3] 42.0-43.0 sec   189 KBytes  1.55 Mbits/sec   0.336 ms  633/  765 (83%)
[  3] 43.0-44.0 sec   210 KBytes  1.72 Mbits/sec   0.590 ms  620/  766 (81%)
[  3] 44.0-45.0 sec   205 KBytes  1.68 Mbits/sec   0.095 ms  622/  765 (81%)
[  3] 45.0-46.0 sec   169 KBytes  1.39 Mbits/sec   0.090 ms  654/  772 (85%)
[  3] 46.0-47.0 sec   181 KBytes  1.48 Mbits/sec   0.129 ms  639/  765 (84%)
[  3] 47.0-48.0 sec   355 KBytes  2.90 Mbits/sec   0.406 ms  506/  753 (67%)
[  3] 48.0-49.0 sec   200 KBytes  1.63 Mbits/sec   0.133 ms  626/  765 (82%)
[  3] 49.0-50.0 sec   210 KBytes  1.72 Mbits/sec   0.401 ms  620/  766 (81%)
[  3] 50.0-51.0 sec   192 KBytes  1.58 Mbits/sec   0.150 ms  632/  766 (83%)
[  3] 51.0-52.0 sec   210 KBytes  1.72 Mbits/sec   0.162 ms  619/  765 (81%)
[  3] 52.0-53.0 sec   194 KBytes  1.59 Mbits/sec   0.234 ms  618/  753 (82%)
[  3] 53.0-54.0 sec   317 KBytes  2.60 Mbits/sec   0.147 ms  548/  769 (71%)
[  3] 54.0-55.0 sec   191 KBytes  1.56 Mbits/sec   0.179 ms  628/  761 (83%)
[  3] 55.0-56.0 sec   218 KBytes  1.79 Mbits/sec   0.154 ms  614/  766 (80%)
[  3] 56.0-57.0 sec   207 KBytes  1.69 Mbits/sec   0.217 ms  609/  753 (81%)
[  3] 57.0-58.0 sec   198 KBytes  1.62 Mbits/sec   0.156 ms  627/  765 (82%)
[  3] 58.0-59.0 sec   317 KBytes  2.60 Mbits/sec   0.185 ms  545/  766 (71%)
[  3] 59.0-60.0 sec   192 KBytes  1.58 Mbits/sec   0.148 ms  631/  765 (82%)
[  3] 60.0-61.0 sec   218 KBytes  1.79 Mbits/sec   0.185 ms  601/  753 (80%)
[  3] 61.0-62.0 sec   191 KBytes  1.56 Mbits/sec   0.176 ms  633/  766 (83%)
[  3] 62.0-63.0 sec   192 KBytes  1.58 Mbits/sec   0.141 ms  581/  715 (81%)
[  3] 63.0-64.0 sec   184 KBytes  1.51 Mbits/sec   0.254 ms  681/  809 (84%)
[  3] 64.0-65.0 sec   211 KBytes  1.73 Mbits/sec   0.171 ms  618/  765 (81%)
[  3] 65.0-66.0 sec   200 KBytes  1.63 Mbits/sec   0.161 ms  627/  766 (82%)
[  3] 66.0-67.0 sec   208 KBytes  1.71 Mbits/sec   0.206 ms  620/  765 (81%)
[  3] 67.0-68.0 sec   189 KBytes  1.55 Mbits/sec   0.160 ms  621/  753 (82%)
[  3] 68.0-69.0 sec   201 KBytes  1.65 Mbits/sec   0.127 ms  625/  765 (82%)
[  3] 69.0-70.0 sec   204 KBytes  1.67 Mbits/sec   0.126 ms  623/  765 (81%)
[  3] 70.0-71.0 sec   205 KBytes  1.68 Mbits/sec   0.142 ms  623/  766 (81%)
[  3] 71.0-72.0 sec   184 KBytes  1.51 Mbits/sec   0.142 ms  625/  753 (83%)
[  3] 72.0-73.0 sec   201 KBytes  1.65 Mbits/sec   0.159 ms  625/  765 (82%)
[  3] 73.0-74.0 sec   197 KBytes  1.61 Mbits/sec   0.143 ms  629/  766 (82%)
[  3] 74.0-75.0 sec   198 KBytes  1.62 Mbits/sec   0.170 ms  615/  753 (82%)
[  3] 75.0-76.0 sec   218 KBytes  1.79 Mbits/sec   0.249 ms  623/  775 (80%)
[  3] 76.0-77.0 sec   593 KBytes  4.86 Mbits/sec   0.543 ms  351/  764 (46%)
[  3] 77.0-78.0 sec   640 KBytes  5.24 Mbits/sec   0.311 ms  307/  753 (41%)
[  3] 78.0-79.0 sec   267 KBytes  2.19 Mbits/sec   0.278 ms  580/  766 (76%)
[  3] 79.0-80.0 sec   231 KBytes  1.89 Mbits/sec   0.210 ms  604/  765 (79%)
[  3] 80.0-81.0 sec   197 KBytes  1.61 Mbits/sec   0.171 ms  616/  753 (82%)
[  3] 81.0-82.0 sec   184 KBytes  1.51 Mbits/sec   0.476 ms  639/  767 (83%)
[  3] 82.0-83.0 sec   205 KBytes  1.68 Mbits/sec   0.182 ms  623/  766 (81%)
[  3] 83.0-84.0 sec   208 KBytes  1.71 Mbits/sec   0.174 ms  620/  765 (81%)
[  3] 84.0-85.0 sec   195 KBytes  1.60 Mbits/sec   0.176 ms  629/  765 (82%)
[  3] 85.0-86.0 sec   187 KBytes  1.53 Mbits/sec   0.134 ms  624/  754 (83%)
[  3] 86.0-87.0 sec   207 KBytes  1.69 Mbits/sec   0.177 ms  620/  764 (81%)
[  3] 87.0-88.0 sec   310 KBytes  2.54 Mbits/sec   0.152 ms  546/  762 (72%)
[  3] 88.0-89.0 sec   192 KBytes  1.58 Mbits/sec   0.197 ms  630/  764 (82%)
[  3] 89.0-90.0 sec   197 KBytes  1.61 Mbits/sec   0.272 ms  628/  765 (82%)
[  3] 90.0-91.0 sec   188 KBytes  1.54 Mbits/sec   0.177 ms  635/  766 (83%)
[  3] 91.0-92.0 sec   191 KBytes  1.56 Mbits/sec   0.163 ms  620/  753 (82%)
[  3] 92.0-93.0 sec   187 KBytes  1.53 Mbits/sec   0.799 ms  558/  688 (81%)
[  3] 93.0-94.0 sec   208 KBytes  1.71 Mbits/sec   0.235 ms  697/  842 (83%)
[  3] 94.0-95.0 sec   207 KBytes  1.69 Mbits/sec   0.197 ms  621/  765 (81%)
[  3] 95.0-96.0 sec   205 KBytes  1.68 Mbits/sec   0.158 ms  621/  764 (81%)
[  3] 96.0-97.0 sec   188 KBytes  1.54 Mbits/sec   0.196 ms  624/  755 (83%)
[  3] 97.0-98.0 sec   208 KBytes  1.71 Mbits/sec   0.163 ms  618/  763 (81%)
[  3] 98.0-99.0 sec   337 KBytes  2.76 Mbits/sec   0.150 ms  531/  766 (69%)
[  3] 99.0-100.0 sec   211 KBytes  1.73 Mbits/sec   0.151 ms  614/  761 (81%)
[  3] 100.0-101.0 sec   210 KBytes  1.72 Mbits/sec   0.179 ms  619/  765 (81%)
[  3] 101.0-102.0 sec   191 KBytes  1.56 Mbits/sec   0.138 ms  632/  765 (83%)
[  3] 102.0-103.0 sec   198 KBytes  1.62 Mbits/sec   0.275 ms  615/  753 (82%)
[  3] 103.0-104.0 sec   172 KBytes  1.41 Mbits/sec   0.506 ms  633/  753 (84%)
[  3] 104.0-105.0 sec   201 KBytes  1.65 Mbits/sec   0.192 ms  625/  765 (82%)
[  3] 105.0-106.0 sec   233 KBytes  1.91 Mbits/sec   0.157 ms  616/  778 (79%)
[  3] 106.0-107.0 sec   197 KBytes  1.61 Mbits/sec   0.154 ms  618/  755 (82%)
[  3] 107.0-108.0 sec   200 KBytes  1.63 Mbits/sec   0.163 ms  626/  765 (82%)
[  3] 108.0-109.0 sec   184 KBytes  1.51 Mbits/sec   0.176 ms  637/  765 (83%)
[  3] 109.0-110.0 sec   207 KBytes  1.69 Mbits/sec   0.187 ms  622/  766 (81%)
[  3] 110.0-111.0 sec   205 KBytes  1.68 Mbits/sec   0.251 ms  622/  765 (81%)
[  3] 111.0-112.0 sec   200 KBytes  1.63 Mbits/sec   0.131 ms  627/  766 (82%)
[  3]  0.0-112.7 sec  30.2 MBytes  2.25 Mbits/sec   0.423 ms 63593/85122 (75%)
