------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.2.0.2 port 5001 connected with 10.1.0.2 port 38615
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   488 KBytes  4.00 Mbits/sec   0.018 ms    5/  345 (1.4%)
[  3]  1.0- 2.0 sec   488 KBytes  4.00 Mbits/sec   0.022 ms    0/  340 (0%)
[  3]  2.0- 3.0 sec   490 KBytes  4.01 Mbits/sec   0.012 ms    0/  341 (0%)
[  3]  3.0- 4.0 sec   488 KBytes  4.00 Mbits/sec   0.017 ms    0/  340 (0%)
[  3]  4.0- 5.0 sec   488 KBytes  4.00 Mbits/sec   0.016 ms    0/  340 (0%)
[  3]  5.0- 6.0 sec   488 KBytes  4.00 Mbits/sec   0.013 ms    0/  340 (0%)
[  3]  6.0- 7.0 sec   488 KBytes  4.00 Mbits/sec   0.022 ms    0/  340 (0%)
[  3]  7.0- 8.0 sec   488 KBytes  4.00 Mbits/sec   0.026 ms    0/  340 (0%)
[  3]  8.0- 9.0 sec   488 KBytes  4.00 Mbits/sec   0.020 ms    0/  340 (0%)
[  3]  9.0-10.0 sec   488 KBytes  4.00 Mbits/sec   0.017 ms    0/  340 (0%)
[  3] 10.0-11.0 sec   485 KBytes  3.97 Mbits/sec   0.292 ms    0/  338 (0%)
[  3] 11.0-12.0 sec   492 KBytes  4.03 Mbits/sec   0.029 ms    0/  343 (0%)
[  3] 12.0-13.0 sec   488 KBytes  4.00 Mbits/sec   0.045 ms    0/  340 (0%)
[  3] 13.0-14.0 sec   488 KBytes  4.00 Mbits/sec   0.024 ms    0/  340 (0%)
[  3] 14.0-15.0 sec   488 KBytes  4.00 Mbits/sec   0.024 ms    0/  340 (0%)
[  3] 15.0-16.0 sec   488 KBytes  4.00 Mbits/sec   0.037 ms    0/  340 (0%)
[  3] 16.0-17.0 sec   488 KBytes  4.00 Mbits/sec   0.036 ms    0/  340 (0%)
[  3] 17.0-18.0 sec   490 KBytes  4.01 Mbits/sec   0.027 ms    0/  341 (0%)
[  3] 18.0-19.0 sec   488 KBytes  4.00 Mbits/sec   0.029 ms    0/  340 (0%)
[  3] 19.0-20.0 sec   488 KBytes  4.00 Mbits/sec   0.027 ms    0/  340 (0%)
[  3] 20.0-21.0 sec   488 KBytes  4.00 Mbits/sec   0.024 ms    0/  340 (0%)
[  3] 21.0-22.0 sec   488 KBytes  4.00 Mbits/sec   0.028 ms    0/  340 (0%)
[  3] 22.0-23.0 sec   488 KBytes  4.00 Mbits/sec   0.030 ms    0/  340 (0%)
[  3] 23.0-24.0 sec   488 KBytes  4.00 Mbits/sec   0.034 ms    0/  340 (0%)
[  3] 24.0-25.0 sec   488 KBytes  4.00 Mbits/sec   0.025 ms    0/  340 (0%)
[  3] 25.0-26.0 sec   490 KBytes  4.01 Mbits/sec   0.036 ms    0/  341 (0%)
[  3] 26.0-27.0 sec   488 KBytes  4.00 Mbits/sec   0.032 ms    0/  340 (0%)
[  3] 27.0-28.0 sec   488 KBytes  4.00 Mbits/sec   0.031 ms    0/  340 (0%)
[  3] 28.0-29.0 sec   488 KBytes  4.00 Mbits/sec   0.032 ms    0/  340 (0%)
[  3] 29.0-30.0 sec   488 KBytes  4.00 Mbits/sec   0.029 ms    0/  340 (0%)
[  3] 30.0-31.0 sec   488 KBytes  4.00 Mbits/sec   0.038 ms    0/  340 (0%)
[  3] 31.0-32.0 sec   488 KBytes  4.00 Mbits/sec   0.042 ms    0/  340 (0%)
[  3] 32.0-33.0 sec   490 KBytes  4.01 Mbits/sec   0.026 ms    0/  341 (0%)
[  3] 33.0-34.0 sec   488 KBytes  4.00 Mbits/sec   0.029 ms    0/  340 (0%)
[  3] 34.0-35.0 sec   488 KBytes  4.00 Mbits/sec   0.046 ms    0/  340 (0%)
[  3] 35.0-36.0 sec   488 KBytes  4.00 Mbits/sec   0.026 ms    0/  340 (0%)
[  3] 36.0-37.0 sec   488 KBytes  4.00 Mbits/sec   0.033 ms    0/  340 (0%)
[  3] 37.0-38.0 sec   488 KBytes  4.00 Mbits/sec   0.072 ms    0/  340 (0%)
[  3] 38.0-39.0 sec   488 KBytes  4.00 Mbits/sec   0.040 ms    0/  340 (0%)
[  3] 39.0-40.0 sec   490 KBytes  4.01 Mbits/sec   0.031 ms    0/  341 (0%)
[  3] 40.0-41.0 sec   488 KBytes  4.00 Mbits/sec   0.024 ms    0/  340 (0%)
[  3] 41.0-42.0 sec   488 KBytes  4.00 Mbits/sec   0.030 ms    0/  340 (0%)
[  3] 42.0-43.0 sec   488 KBytes  4.00 Mbits/sec   0.072 ms    0/  340 (0%)
[  3] 43.0-44.0 sec   488 KBytes  4.00 Mbits/sec   0.024 ms    0/  340 (0%)
[  3] 44.0-45.0 sec   488 KBytes  4.00 Mbits/sec   0.028 ms    0/  340 (0%)
[  3] 45.0-46.0 sec   488 KBytes  4.00 Mbits/sec   0.027 ms    0/  340 (0%)
[  3] 46.0-47.0 sec   488 KBytes  4.00 Mbits/sec   0.020 ms    0/  340 (0%)
[  3] 47.0-48.0 sec   490 KBytes  4.01 Mbits/sec   0.027 ms    0/  341 (0%)
[  3] 48.0-49.0 sec   401 KBytes  3.28 Mbits/sec   0.688 ms    0/  279 (0%)
[  3] 49.0-50.0 sec   396 KBytes  3.25 Mbits/sec   0.686 ms    0/  276 (0%)
[  3] 50.0-51.0 sec   395 KBytes  3.23 Mbits/sec   0.714 ms    0/  275 (0%)
[  3] 51.0-52.0 sec   396 KBytes  3.25 Mbits/sec   0.768 ms    0/  276 (0%)
[  3] 52.0-53.0 sec   392 KBytes  3.21 Mbits/sec   0.696 ms    0/  273 (0%)
[  3] 53.0-54.0 sec   395 KBytes  3.23 Mbits/sec   0.698 ms    0/  275 (0%)
[  3] 54.0-55.0 sec   313 KBytes  2.56 Mbits/sec   0.300 ms   97/  315 (31%)
[  3] 55.0-56.0 sec   257 KBytes  2.11 Mbits/sec   0.301 ms  161/  340 (47%)
[  3] 56.0-57.0 sec   260 KBytes  2.13 Mbits/sec   0.281 ms  160/  341 (47%)
[  3] 57.0-58.0 sec   263 KBytes  2.15 Mbits/sec   0.400 ms  156/  339 (46%)
[  3] 58.0-59.0 sec   253 KBytes  2.07 Mbits/sec   0.335 ms  161/  337 (48%)
[  3] 59.0-60.0 sec   254 KBytes  2.08 Mbits/sec   0.388 ms  164/  341 (48%)
[  3] 60.0-61.0 sec   267 KBytes  2.19 Mbits/sec   0.297 ms  157/  343 (46%)
[  3] 61.0-62.0 sec   256 KBytes  2.09 Mbits/sec   0.319 ms  161/  339 (47%)
[  3] 62.0-63.0 sec   261 KBytes  2.14 Mbits/sec   0.265 ms  159/  341 (47%)
[  3] 63.0-64.0 sec   258 KBytes  2.12 Mbits/sec   0.280 ms  159/  339 (47%)
[  3] 64.0-65.0 sec   258 KBytes  2.12 Mbits/sec   0.376 ms  162/  342 (47%)
[  3] 65.0-66.0 sec   258 KBytes  2.12 Mbits/sec   0.317 ms  157/  337 (47%)
[  3] 66.0-67.0 sec   268 KBytes  2.20 Mbits/sec   0.284 ms  156/  343 (45%)
[  3] 67.0-68.0 sec   261 KBytes  2.14 Mbits/sec   0.279 ms  158/  340 (46%)
[  3] 68.0-69.0 sec   257 KBytes  2.11 Mbits/sec   0.308 ms  160/  339 (47%)
[  3] 69.0-70.0 sec   254 KBytes  2.08 Mbits/sec   0.263 ms  164/  341 (48%)
[  3] 70.0-71.0 sec   257 KBytes  2.11 Mbits/sec   0.307 ms  158/  337 (47%)
[  3] 71.0-72.0 sec   253 KBytes  2.07 Mbits/sec   0.252 ms  163/  339 (48%)
[  3] 72.0-73.0 sec   280 KBytes  2.29 Mbits/sec   0.278 ms  149/  344 (43%)
[  3] 73.0-74.0 sec   260 KBytes  2.13 Mbits/sec   0.267 ms  160/  341 (47%)
[  3] 74.0-75.0 sec   253 KBytes  2.07 Mbits/sec   0.312 ms  163/  339 (48%)
[  3] 75.0-76.0 sec   264 KBytes  2.16 Mbits/sec   0.323 ms  155/  339 (46%)
[  3] 76.0-77.0 sec   251 KBytes  2.06 Mbits/sec   0.325 ms  164/  339 (48%)
[  3] 77.0-78.0 sec   290 KBytes  2.38 Mbits/sec   0.664 ms  140/  342 (41%)
[  3] 78.0-79.0 sec   270 KBytes  2.21 Mbits/sec   0.259 ms  153/  341 (45%)
[  3] 79.0-80.0 sec   264 KBytes  2.16 Mbits/sec   0.265 ms  157/  341 (46%)
[  3] 80.0-81.0 sec   253 KBytes  2.07 Mbits/sec   0.503 ms  164/  340 (48%)
[  3] 81.0-82.0 sec   258 KBytes  2.12 Mbits/sec   0.358 ms  159/  339 (47%)
[  3] 82.0-83.0 sec   253 KBytes  2.07 Mbits/sec   0.314 ms  161/  337 (48%)
[  3] 83.0-84.0 sec   271 KBytes  2.22 Mbits/sec   0.313 ms  154/  343 (45%)
[  3] 84.0-85.0 sec   248 KBytes  2.03 Mbits/sec   0.293 ms  169/  342 (49%)
[  3] 85.0-86.0 sec   266 KBytes  2.18 Mbits/sec   0.239 ms  154/  339 (45%)
[  3] 86.0-87.0 sec   263 KBytes  2.15 Mbits/sec   0.345 ms  158/  341 (46%)
[  3] 87.0-88.0 sec   264 KBytes  2.16 Mbits/sec   0.338 ms  151/  335 (45%)
[  3] 88.0-89.0 sec   277 KBytes  2.27 Mbits/sec   0.279 ms  151/  344 (44%)
[  3] 89.0-90.0 sec   266 KBytes  2.18 Mbits/sec   0.258 ms  156/  341 (46%)
[  3] 90.0-91.0 sec   256 KBytes  2.09 Mbits/sec   0.338 ms  159/  337 (47%)
[  3] 91.0-92.0 sec   260 KBytes  2.13 Mbits/sec   0.784 ms  162/  343 (47%)
[  3] 92.0-93.0 sec   257 KBytes  2.11 Mbits/sec   0.265 ms  162/  341 (48%)
[  3] 93.0-94.0 sec   263 KBytes  2.15 Mbits/sec   0.249 ms  156/  339 (46%)
[  3] 94.0-95.0 sec   263 KBytes  2.15 Mbits/sec   0.276 ms  156/  339 (46%)
[  3] 95.0-96.0 sec   264 KBytes  2.16 Mbits/sec   0.356 ms  157/  341 (46%)
[  3] 96.0-97.0 sec   260 KBytes  2.13 Mbits/sec   0.272 ms  160/  341 (47%)
[  3] 97.0-98.0 sec   260 KBytes  2.13 Mbits/sec   0.300 ms  159/  340 (47%)
[  3] 98.0-99.0 sec   261 KBytes  2.14 Mbits/sec   0.291 ms  155/  337 (46%)
[  3] 99.0-100.0 sec   270 KBytes  2.21 Mbits/sec   0.380 ms  155/  343 (45%)
[  3] 100.0-101.0 sec   263 KBytes  2.15 Mbits/sec   0.331 ms  158/  341 (46%)
[  3] 101.0-102.0 sec   254 KBytes  2.08 Mbits/sec   0.223 ms  162/  339 (48%)
[  3] 102.0-103.0 sec   258 KBytes  2.12 Mbits/sec   0.353 ms  157/  337 (47%)
[  3] 103.0-104.0 sec   266 KBytes  2.18 Mbits/sec   0.290 ms  156/  341 (46%)
[  3] 104.0-105.0 sec   268 KBytes  2.20 Mbits/sec   0.286 ms  155/  342 (45%)
[  3] 105.0-106.0 sec   267 KBytes  2.19 Mbits/sec   0.242 ms  155/  341 (45%)
[  3] 106.0-107.0 sec   258 KBytes  2.12 Mbits/sec   0.311 ms  159/  339 (47%)
[  3] 107.0-108.0 sec   253 KBytes  2.07 Mbits/sec   0.277 ms  161/  337 (48%)
[  3] 108.0-109.0 sec   274 KBytes  2.25 Mbits/sec   0.373 ms  154/  345 (45%)
[  3] 109.0-110.0 sec   256 KBytes  2.09 Mbits/sec   0.259 ms  161/  339 (47%)
[  3] 110.0-111.0 sec   270 KBytes  2.21 Mbits/sec   0.340 ms  153/  341 (45%)
[  3] 111.0-112.0 sec   266 KBytes  2.18 Mbits/sec   0.344 ms  154/  339 (45%)
[  3] 112.0-113.0 sec   254 KBytes  2.08 Mbits/sec   0.282 ms  160/  337 (47%)
[  3] 113.0-114.0 sec   268 KBytes  2.20 Mbits/sec   0.228 ms  157/  344 (46%)
[  3] 114.0-115.0 sec   257 KBytes  2.11 Mbits/sec   0.288 ms  161/  340 (47%)
[  3] 115.0-116.0 sec   260 KBytes  2.13 Mbits/sec   0.291 ms  160/  341 (47%)
[  3] 116.0-117.0 sec   256 KBytes  2.09 Mbits/sec   0.381 ms  161/  339 (47%)
[  3] 117.0-118.0 sec   261 KBytes  2.14 Mbits/sec   0.546 ms  159/  341 (47%)
[  3] 118.0-119.0 sec   257 KBytes  2.11 Mbits/sec   0.336 ms  158/  337 (47%)
[  3] 119.0-120.0 sec   266 KBytes  2.18 Mbits/sec   0.433 ms  154/  339 (45%)
[  3] 120.0-121.0 sec   267 KBytes  2.19 Mbits/sec   0.269 ms  158/  344 (46%)
[  3] 121.0-122.0 sec   258 KBytes  2.12 Mbits/sec   0.350 ms  161/  341 (47%)
[  3] 122.0-123.0 sec   260 KBytes  2.13 Mbits/sec   0.294 ms  159/  340 (47%)
[  3] 123.0-124.0 sec   260 KBytes  2.13 Mbits/sec   0.309 ms  158/  339 (47%)
[  3] 124.0-125.0 sec   256 KBytes  2.09 Mbits/sec   0.230 ms  163/  341 (48%)
[  3] 125.0-126.0 sec   260 KBytes  2.13 Mbits/sec   0.403 ms  156/  337 (46%)
[  3] 126.0-127.0 sec   276 KBytes  2.26 Mbits/sec   0.334 ms  151/  343 (44%)
[  3] 127.0-128.0 sec   251 KBytes  2.06 Mbits/sec   0.247 ms  164/  339 (48%)
[  3] 128.0-129.0 sec   257 KBytes  2.11 Mbits/sec   0.386 ms  162/  341 (48%)
[  3] 129.0-130.0 sec   256 KBytes  2.09 Mbits/sec   0.234 ms  162/  340 (48%)
[  3] 130.0-131.0 sec   261 KBytes  2.14 Mbits/sec   0.262 ms  159/  341 (47%)
[  3] 131.0-132.0 sec   256 KBytes  2.09 Mbits/sec   0.316 ms  159/  337 (47%)
[  3] 132.0-133.0 sec   283 KBytes  2.32 Mbits/sec   0.406 ms  145/  342 (42%)
[  3] 133.0-134.0 sec   261 KBytes  2.14 Mbits/sec   0.294 ms  159/  341 (47%)
[  3] 134.0-135.0 sec   250 KBytes  2.05 Mbits/sec   0.247 ms  165/  339 (49%)
[  3] 135.0-136.0 sec   261 KBytes  2.14 Mbits/sec   0.248 ms  159/  341 (47%)
[  3] 136.0-137.0 sec   250 KBytes  2.05 Mbits/sec   0.275 ms  163/  337 (48%)
[  3] 137.0-138.0 sec   270 KBytes  2.21 Mbits/sec   0.689 ms  155/  343 (45%)
[  3] 138.0-139.0 sec   261 KBytes  2.14 Mbits/sec   0.401 ms  159/  341 (47%)
[  3] 139.0-140.0 sec   258 KBytes  2.12 Mbits/sec   0.242 ms  159/  339 (47%)
[  3] 140.0-141.0 sec   263 KBytes  2.15 Mbits/sec   0.311 ms  156/  339 (46%)
[  3] 141.0-142.0 sec   271 KBytes  2.22 Mbits/sec   0.287 ms  153/  342 (45%)
[  3]  0.0-142.4 sec  47.8 MBytes  2.82 Mbits/sec   0.536 ms 13923/48039 (29%)
[  3]  0.0-142.4 sec  1 datagrams received out-of-order
