------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.6.0.1 port 5001 connected with 10.5.0.2 port 55326
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   682 KBytes  5.59 Mbits/sec   0.540 ms   55/  530 (10%)
[  3]  1.0- 2.0 sec   676 KBytes  5.54 Mbits/sec   0.627 ms   32/  503 (6.4%)
[  3]  2.0- 3.0 sec   709 KBytes  5.81 Mbits/sec   0.595 ms   17/  511 (3.3%)
[  3]  3.0- 4.0 sec   708 KBytes  5.80 Mbits/sec   0.551 ms   13/  506 (2.6%)
[  3]  4.0- 5.0 sec   721 KBytes  5.90 Mbits/sec   0.577 ms    7/  509 (1.4%)
[  3]  5.0- 6.0 sec   712 KBytes  5.83 Mbits/sec   0.599 ms   14/  510 (2.7%)
[  3]  6.0- 7.0 sec   726 KBytes  5.95 Mbits/sec   0.526 ms    4/  510 (0.78%)
[  3]  7.0- 8.0 sec   668 KBytes  5.47 Mbits/sec   0.518 ms   39/  504 (7.7%)
[  3]  8.0- 9.0 sec   708 KBytes  5.80 Mbits/sec   0.569 ms   18/  511 (3.5%)
[  3]  9.0-10.0 sec   729 KBytes  5.97 Mbits/sec   0.524 ms    3/  511 (0.59%)
[  3] 10.0-11.0 sec   726 KBytes  5.95 Mbits/sec   0.588 ms    4/  510 (0.78%)
[  3] 11.0-12.0 sec   721 KBytes  5.90 Mbits/sec   0.549 ms    6/  508 (1.2%)
[  3] 12.0-13.0 sec   696 KBytes  5.70 Mbits/sec   0.713 ms   20/  505 (4%)
[  3] 13.0-14.0 sec   701 KBytes  5.74 Mbits/sec   0.830 ms   23/  511 (4.5%)
[  3] 14.0-15.0 sec   728 KBytes  5.96 Mbits/sec   0.543 ms    1/  508 (0.2%)
[  3] 15.0-16.0 sec   736 KBytes  6.03 Mbits/sec   0.579 ms    1/  514 (0.19%)
[  3] 16.0-17.0 sec   518 KBytes  4.25 Mbits/sec   1.187 ms    0/  361 (0%)
[  3] 17.0-18.0 sec   454 KBytes  3.72 Mbits/sec   1.178 ms    0/  316 (0%)
[  3] 18.0-19.0 sec   449 KBytes  3.68 Mbits/sec   1.171 ms    0/  313 (0%)
[  3] 19.0-20.0 sec   423 KBytes  3.47 Mbits/sec   0.438 ms  158/  453 (35%)
[  3] 20.0-21.0 sec   469 KBytes  3.85 Mbits/sec   0.460 ms  188/  515 (37%)
[  3] 21.0-22.0 sec   457 KBytes  3.74 Mbits/sec   0.547 ms  193/  511 (38%)
[  3] 22.0-23.0 sec   457 KBytes  3.74 Mbits/sec   0.473 ms  192/  510 (38%)
[  3] 23.0-24.0 sec   455 KBytes  3.73 Mbits/sec   0.370 ms  189/  506 (37%)
[  3] 24.0-25.0 sec   461 KBytes  3.77 Mbits/sec   0.380 ms  190/  511 (37%)
[  3] 25.0-26.0 sec   449 KBytes  3.68 Mbits/sec   0.429 ms  199/  512 (39%)
[  3] 26.0-27.0 sec   449 KBytes  3.68 Mbits/sec   0.357 ms  194/  507 (38%)
[  3] 27.0-28.0 sec   455 KBytes  3.73 Mbits/sec   0.422 ms  192/  509 (38%)
[  3] 28.0-29.0 sec   454 KBytes  3.72 Mbits/sec   0.492 ms  195/  511 (38%)
[  3] 29.0-30.0 sec   477 KBytes  3.90 Mbits/sec   0.458 ms  210/  542 (39%)
[  3] 30.0-31.0 sec   467 KBytes  3.82 Mbits/sec   0.534 ms  205/  530 (39%)
[  3] 31.0-32.0 sec   464 KBytes  3.80 Mbits/sec   0.704 ms  194/  517 (38%)
[  3] 32.0-33.0 sec   478 KBytes  3.92 Mbits/sec   0.490 ms  170/  503 (34%)
[  3] 33.0-34.0 sec   472 KBytes  3.87 Mbits/sec   0.535 ms  184/  513 (36%)
[  3] 34.0-35.0 sec   479 KBytes  3.93 Mbits/sec   0.633 ms  174/  508 (34%)
[  3] 35.0-36.0 sec   467 KBytes  3.82 Mbits/sec   0.480 ms  189/  514 (37%)
[  3] 36.0-37.0 sec   465 KBytes  3.81 Mbits/sec   0.511 ms  186/  510 (36%)
[  3] 37.0-38.0 sec   472 KBytes  3.87 Mbits/sec   0.441 ms  179/  508 (35%)
[  3] 38.0-39.0 sec   475 KBytes  3.89 Mbits/sec   0.688 ms  176/  507 (35%)
[  3] 39.0-40.0 sec   465 KBytes  3.81 Mbits/sec   0.633 ms  192/  516 (37%)
[  3] 40.0-41.0 sec   479 KBytes  3.93 Mbits/sec   0.646 ms  173/  507 (34%)
[  3] 41.0-42.0 sec   467 KBytes  3.82 Mbits/sec   0.410 ms  187/  512 (37%)
[  3] 42.0-43.0 sec   472 KBytes  3.87 Mbits/sec   0.469 ms  181/  510 (35%)
[  3] 43.0-44.0 sec   469 KBytes  3.85 Mbits/sec   0.424 ms  176/  503 (35%)
[  3] 44.0-45.0 sec   475 KBytes  3.89 Mbits/sec   0.587 ms  183/  514 (36%)
