------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.4.0.2 port 5001 connected with 10.2.0.2 port 47686
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   541 KBytes  4.43 Mbits/sec   0.718 ms   17/  394 (4.3%)
[  3]  0.0- 1.0 sec  1 datagrams received out-of-order
[  3]  1.0- 2.0 sec   533 KBytes  4.36 Mbits/sec   0.718 ms    0/  371 (0%)
[  3]  2.0- 3.0 sec   530 KBytes  4.34 Mbits/sec   0.809 ms    0/  369 (0%)
[  3]  3.0- 4.0 sec   533 KBytes  4.36 Mbits/sec   0.727 ms    0/  371 (0%)
[  3]  4.0- 5.0 sec   531 KBytes  4.35 Mbits/sec   0.752 ms    0/  370 (0%)
[  3]  5.0- 6.0 sec   527 KBytes  4.32 Mbits/sec   0.736 ms    0/  367 (0%)
[  3]  6.0- 7.0 sec   508 KBytes  4.16 Mbits/sec   0.965 ms    0/  354 (0%)
[  3]  7.0- 8.0 sec   465 KBytes  3.81 Mbits/sec   0.402 ms  179/  503 (36%)
[  3]  8.0- 9.0 sec   455 KBytes  3.73 Mbits/sec   1.335 ms  193/  510 (38%)
[  3]  9.0-10.0 sec   455 KBytes  3.73 Mbits/sec   0.637 ms  190/  507 (37%)
[  3] 10.0-11.0 sec   457 KBytes  3.74 Mbits/sec   0.693 ms  195/  513 (38%)
[  3] 11.0-12.0 sec   452 KBytes  3.70 Mbits/sec   0.647 ms  191/  506 (38%)
[  3] 12.0-13.0 sec   458 KBytes  3.75 Mbits/sec   0.598 ms  194/  513 (38%)
[  3] 13.0-14.0 sec   459 KBytes  3.76 Mbits/sec   0.514 ms  202/  522 (39%)
[  3] 14.0-15.0 sec   472 KBytes  3.87 Mbits/sec   0.410 ms  199/  528 (38%)
[  3] 15.0-16.0 sec   975 KBytes  7.99 Mbits/sec   0.752 ms   56/  735 (7.6%)
[  3] 16.0-17.0 sec  1.15 MBytes  9.63 Mbits/sec   0.746 ms    0/  819 (0%)
[  3] 17.0-18.0 sec  1.16 MBytes  9.71 Mbits/sec   0.753 ms    0/  826 (0%)
[  3] 18.0-19.0 sec   940 KBytes  7.70 Mbits/sec   0.008 ms    0/  655 (0%)
[  3] 19.0-20.0 sec   732 KBytes  6.00 Mbits/sec   0.014 ms    0/  510 (0%)
[  3] 20.0-21.0 sec   732 KBytes  6.00 Mbits/sec   0.013 ms    0/  510 (0%)
[  3] 21.0-22.0 sec   732 KBytes  6.00 Mbits/sec   0.015 ms    0/  510 (0%)
[  3] 22.0-23.0 sec   734 KBytes  6.01 Mbits/sec   0.014 ms    0/  511 (0%)
[  3] 23.0-24.0 sec   731 KBytes  5.99 Mbits/sec   0.033 ms    0/  509 (0%)
[  3] 24.0-25.0 sec   734 KBytes  6.01 Mbits/sec   0.015 ms    0/  511 (0%)
[  3] 25.0-26.0 sec   732 KBytes  6.00 Mbits/sec   0.041 ms    0/  510 (0%)
[  3] 26.0-27.0 sec   732 KBytes  6.00 Mbits/sec   0.029 ms    0/  510 (0%)
[  3] 27.0-28.0 sec   732 KBytes  6.00 Mbits/sec   0.028 ms    0/  510 (0%)
[  3] 28.0-29.0 sec   734 KBytes  6.01 Mbits/sec   0.040 ms    0/  511 (0%)
[  3] 29.0-30.0 sec   732 KBytes  6.00 Mbits/sec   0.088 ms    0/  510 (0%)
[  3] 30.0-31.0 sec   732 KBytes  6.00 Mbits/sec   0.058 ms    0/  510 (0%)
[  3] 31.0-32.0 sec   732 KBytes  6.00 Mbits/sec   0.177 ms    0/  510 (0%)
[  3] 32.0-33.0 sec   734 KBytes  6.01 Mbits/sec   0.032 ms    0/  511 (0%)
[  3] 33.0-34.0 sec   732 KBytes  6.00 Mbits/sec   0.039 ms    0/  510 (0%)
[  3] 34.0-35.0 sec   732 KBytes  6.00 Mbits/sec   0.037 ms    0/  510 (0%)
