------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.6.0.1 port 5001 connected with 10.5.0.2 port 60116
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   267 KBytes  2.19 Mbits/sec   0.591 ms  655/  841 (78%)
[  3]  1.0- 2.0 sec   283 KBytes  2.32 Mbits/sec   0.660 ms  356/  553 (64%)
[  3]  2.0- 3.0 sec   270 KBytes  2.21 Mbits/sec   0.607 ms  357/  545 (66%)
[  3]  3.0- 4.0 sec   276 KBytes  2.26 Mbits/sec   0.880 ms  361/  553 (65%)
[  3]  4.0- 5.0 sec   266 KBytes  2.18 Mbits/sec   0.731 ms  373/  558 (67%)
[  3]  5.0- 6.0 sec   260 KBytes  2.13 Mbits/sec   0.521 ms  372/  553 (67%)
[  3]  6.0- 7.0 sec   268 KBytes  2.20 Mbits/sec   0.795 ms  373/  560 (67%)
[  3]  7.0- 8.0 sec   278 KBytes  2.28 Mbits/sec   0.667 ms  369/  563 (66%)
[  3]  8.0- 9.0 sec   719 KBytes  5.89 Mbits/sec   0.591 ms   65/  566 (11%)
[  3]  9.0-10.0 sec   742 KBytes  6.08 Mbits/sec   0.535 ms   40/  557 (7.2%)
[  3] 10.0-11.0 sec   797 KBytes  6.53 Mbits/sec   0.593 ms    5/  560 (0.89%)
[  3] 11.0-12.0 sec   785 KBytes  6.43 Mbits/sec   0.689 ms   15/  562 (2.7%)
[  3] 12.0-13.0 sec   771 KBytes  6.32 Mbits/sec   0.649 ms   20/  557 (3.6%)
[  3] 13.0-14.0 sec   769 KBytes  6.30 Mbits/sec   0.625 ms   31/  567 (5.5%)
[  3] 14.0-15.0 sec   768 KBytes  6.29 Mbits/sec   0.574 ms   25/  560 (4.5%)
[  3] 15.0-16.0 sec   788 KBytes  6.46 Mbits/sec   0.585 ms   15/  564 (2.7%)
[  3] 16.0-17.0 sec   815 KBytes  6.68 Mbits/sec   0.672 ms    1/  569 (0.18%)
[  3] 17.0-18.0 sec   889 KBytes  7.28 Mbits/sec   0.474 ms    0/  619 (0%)
[  3] 18.0-19.0 sec  1.16 MBytes  9.71 Mbits/sec   0.474 ms    0/  826 (0%)
[  3] 19.0-20.0 sec  1.15 MBytes  9.63 Mbits/sec   0.479 ms    0/  819 (0%)
[  3] 20.0-21.0 sec  1.16 MBytes  9.71 Mbits/sec   0.501 ms    0/  826 (0%)
[  3] 21.0-22.0 sec  1.16 MBytes  9.73 Mbits/sec   0.489 ms    0/  827 (0%)
[  3] 22.0-23.0 sec  1.16 MBytes  9.73 Mbits/sec   0.497 ms    0/  827 (0%)
[  3] 23.0-24.0 sec  1.10 MBytes  9.27 Mbits/sec   0.029 ms    0/  788 (0%)
[  3] 24.0-25.0 sec   856 KBytes  7.01 Mbits/sec   0.063 ms    0/  596 (0%)
[  3] 25.0-26.0 sec   854 KBytes  7.00 Mbits/sec   0.086 ms    0/  595 (0%)
[  3] 26.0-27.0 sec   854 KBytes  7.00 Mbits/sec   0.037 ms    0/  595 (0%)
[  3] 27.0-28.0 sec   854 KBytes  7.00 Mbits/sec   0.018 ms    0/  595 (0%)
[  3] 28.0-29.0 sec   856 KBytes  7.01 Mbits/sec   0.042 ms    0/  596 (0%)
[  3] 29.0-30.0 sec   854 KBytes  7.00 Mbits/sec   0.021 ms    0/  595 (0%)
[  3] 30.0-31.0 sec   854 KBytes  7.00 Mbits/sec   0.028 ms    0/  595 (0%)
[  3] 31.0-32.0 sec   854 KBytes  7.00 Mbits/sec   0.195 ms    0/  595 (0%)
[  3] 32.0-33.0 sec   854 KBytes  7.00 Mbits/sec   0.020 ms    0/  595 (0%)
[  3] 33.0-34.0 sec   856 KBytes  7.01 Mbits/sec   0.035 ms    0/  596 (0%)
[  3] 34.0-35.0 sec   854 KBytes  7.00 Mbits/sec   0.070 ms    0/  595 (0%)
[  3] 35.0-36.0 sec   854 KBytes  7.00 Mbits/sec   0.011 ms    0/  595 (0%)
[  3] 36.0-37.0 sec   853 KBytes  6.99 Mbits/sec   0.023 ms    0/  594 (0%)
[  3] 37.0-38.0 sec   854 KBytes  7.00 Mbits/sec   0.037 ms    0/  595 (0%)
[  3] 38.0-39.0 sec   854 KBytes  7.00 Mbits/sec   0.050 ms    0/  595 (0%)
[  3] 39.0-40.0 sec   856 KBytes  7.01 Mbits/sec   0.022 ms    0/  596 (0%)
[  3] 40.0-41.0 sec   853 KBytes  6.99 Mbits/sec   0.030 ms    0/  594 (0%)
[  3] 41.0-42.0 sec   856 KBytes  7.01 Mbits/sec   0.040 ms    0/  596 (0%)
[  3] 42.0-43.0 sec   854 KBytes  7.00 Mbits/sec   0.022 ms    0/  595 (0%)
[  3] 43.0-44.0 sec   854 KBytes  7.00 Mbits/sec   0.041 ms    0/  595 (0%)
