------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.6.0.2 port 5001 connected with 10.5.0.2 port 59192
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   468 KBytes  3.83 Mbits/sec   1.826 ms   24/  350 (6.9%)
[  3]  1.0- 2.0 sec   465 KBytes  3.81 Mbits/sec   1.400 ms    0/  324 (0%)
[  3]  2.0- 3.0 sec   452 KBytes  3.70 Mbits/sec   1.466 ms    0/  315 (0%)
[  3]  3.0- 4.0 sec  80.4 KBytes   659 Kbits/sec   6.878 ms  630/  686 (92%)
[  3]  4.0- 5.0 sec  17.2 KBytes   141 Kbits/sec   3.376 ms  582/  594 (98%)
[  3]  5.0- 6.0 sec  20.1 KBytes   165 Kbits/sec   1.824 ms  526/  540 (97%)
[  3]  6.0- 7.0 sec   105 KBytes   858 Kbits/sec   1.714 ms  519/  592 (88%)
[  3]  7.0- 8.0 sec   121 KBytes   988 Kbits/sec   0.867 ms  578/  662 (87%)
[  3]  8.0- 9.0 sec   126 KBytes  1.03 Mbits/sec   0.772 ms  503/  591 (85%)
[  3]  9.0-10.0 sec   230 KBytes  1.88 Mbits/sec   0.813 ms  440/  600 (73%)
[  3] 10.0-11.0 sec   274 KBytes  2.25 Mbits/sec   2.102 ms  381/  572 (67%)
[  3] 11.0-12.0 sec   230 KBytes  1.88 Mbits/sec   1.006 ms  455/  615 (74%)
[  3] 12.0-13.0 sec   198 KBytes  1.62 Mbits/sec   0.519 ms  454/  592 (77%)
[  3] 13.0-14.0 sec  41.6 KBytes   341 Kbits/sec   0.594 ms  472/  501 (94%)
[  3] 14.0-15.0 sec  5.74 KBytes  47.0 Kbits/sec   0.586 ms  662/  666 (99%)
[  3] 15.0-16.0 sec  11.5 KBytes  94.1 Kbits/sec   0.734 ms  568/  576 (99%)
[  3] 16.0-17.0 sec  4.31 KBytes  35.3 Kbits/sec   1.194 ms  422/  425 (99%)
[  3] 17.0-18.0 sec  10.0 KBytes  82.3 Kbits/sec   0.812 ms  773/  780 (99%)
[  3] 18.0-19.0 sec  18.7 KBytes   153 Kbits/sec   0.881 ms  604/  617 (98%)
[  3] 19.0-20.0 sec  14.4 KBytes   118 Kbits/sec   0.479 ms  579/  589 (98%)
[  3] 20.0-21.0 sec  5.74 KBytes  47.0 Kbits/sec   1.000 ms  597/  601 (99%)
[  3] 21.0-22.0 sec  8.61 KBytes  70.6 Kbits/sec   0.776 ms  585/  591 (99%)
[  3] 22.0-23.0 sec  4.31 KBytes  35.3 Kbits/sec   1.322 ms  562/  565 (99%)
[  3] 23.0-24.0 sec  1.44 KBytes  11.8 Kbits/sec   1.246 ms  166/  167 (99%)
