------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.3.0.2 port 5001 connected with 10.1.0.2 port 43493
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   593 KBytes  4.86 Mbits/sec   0.737 ms    7/  420 (1.7%)
[  3]  1.0- 2.0 sec   589 KBytes  4.82 Mbits/sec   0.758 ms    0/  410 (0%)
[  3]  2.0- 3.0 sec   593 KBytes  4.86 Mbits/sec   0.753 ms    0/  413 (0%)
[  3]  3.0- 4.0 sec   589 KBytes  4.82 Mbits/sec   0.420 ms   15/  425 (3.5%)
[  3]  4.0- 5.0 sec   517 KBytes  4.23 Mbits/sec   0.375 ms  234/  594 (39%)
[  3]  5.0- 6.0 sec   515 KBytes  4.22 Mbits/sec   0.523 ms  232/  591 (39%)
[  3]  6.0- 7.0 sec   445 KBytes  3.65 Mbits/sec   0.573 ms  207/  517 (40%)
[  3]  7.0- 8.0 sec   441 KBytes  3.61 Mbits/sec   0.500 ms  219/  526 (42%)
[  3]  8.0- 9.0 sec   444 KBytes  3.63 Mbits/sec   0.398 ms  208/  517 (40%)
[  3]  9.0-10.0 sec   452 KBytes  3.70 Mbits/sec   0.470 ms  197/  512 (38%)
[  3] 10.0-11.0 sec   448 KBytes  3.67 Mbits/sec   0.525 ms  195/  507 (38%)
[  3] 11.0-12.0 sec   444 KBytes  3.63 Mbits/sec   0.810 ms  202/  511 (40%)
[  3] 12.0-13.0 sec   445 KBytes  3.65 Mbits/sec   0.522 ms  215/  525 (41%)
[  3] 13.0-14.0 sec   451 KBytes  3.69 Mbits/sec   0.414 ms  198/  512 (39%)
[  3] 14.0-15.0 sec   551 KBytes  4.52 Mbits/sec   0.816 ms  251/  635 (40%)
[  3] 15.0-16.0 sec   553 KBytes  4.53 Mbits/sec   0.811 ms  253/  638 (40%)
[  3] 16.0-17.0 sec   553 KBytes  4.53 Mbits/sec   0.717 ms  251/  636 (39%)
[  3] 17.0-18.0 sec   543 KBytes  4.45 Mbits/sec   0.906 ms  251/  629 (40%)
[  3] 18.0-19.0 sec   544 KBytes  4.46 Mbits/sec   0.775 ms  252/  631 (40%)
[  3] 19.0-20.0 sec   550 KBytes  4.50 Mbits/sec   0.848 ms  227/  610 (37%)
[  3] 20.0-21.0 sec   547 KBytes  4.48 Mbits/sec   0.963 ms  254/  635 (40%)
[  3] 21.0-22.0 sec   540 KBytes  4.42 Mbits/sec   0.811 ms  257/  633 (41%)
[  3] 22.0-23.0 sec   546 KBytes  4.47 Mbits/sec   0.682 ms  245/  625 (39%)
[  3] 23.0-24.0 sec   537 KBytes  4.40 Mbits/sec   0.626 ms  251/  625 (40%)
[  3] 24.0-25.0 sec   544 KBytes  4.46 Mbits/sec   0.785 ms  250/  629 (40%)
[  3] 25.0-26.0 sec   564 KBytes  4.62 Mbits/sec   0.576 ms  241/  634 (38%)
[  3] 26.0-27.0 sec  1001 KBytes  8.20 Mbits/sec   0.468 ms    0/  697 (0%)
[  3] 27.0-28.0 sec  1.16 MBytes  9.73 Mbits/sec   0.468 ms    0/  827 (0%)
[  3] 28.0-29.0 sec  1.16 MBytes  9.71 Mbits/sec   0.471 ms    0/  826 (0%)
[  3] 29.0-30.0 sec  1.15 MBytes  9.63 Mbits/sec   0.469 ms    0/  819 (0%)
[  3] 30.0-31.0 sec  1.05 MBytes  8.82 Mbits/sec   0.012 ms    0/  750 (0%)
[  3] 31.0-32.0 sec   854 KBytes  7.00 Mbits/sec   0.015 ms    0/  595 (0%)
[  3] 32.0-33.0 sec   856 KBytes  7.01 Mbits/sec   0.012 ms    0/  596 (0%)
[  3] 33.0-34.0 sec   854 KBytes  7.00 Mbits/sec   0.012 ms    0/  595 (0%)
