------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.6.0.2 port 5001 connected with 10.2.0.2 port 35823
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   543 KBytes  4.45 Mbits/sec   0.965 ms    8/  386 (2.1%)
[  3]  1.0- 2.0 sec   589 KBytes  4.82 Mbits/sec   0.928 ms    0/  410 (0%)
[  3]  2.0- 3.0 sec   591 KBytes  4.85 Mbits/sec   0.930 ms    0/  412 (0%)
[  3]  3.0- 4.0 sec   576 KBytes  4.72 Mbits/sec   0.888 ms    0/  401 (0%)
[  3]  4.0- 5.0 sec   471 KBytes  3.86 Mbits/sec   0.301 ms  326/  654 (50%)
[  3]  5.0- 6.0 sec   413 KBytes  3.39 Mbits/sec   0.672 ms  304/  592 (51%)
[  3]  6.0- 7.0 sec   423 KBytes  3.47 Mbits/sec   0.398 ms  305/  600 (51%)
[  3]  7.0- 8.0 sec   425 KBytes  3.48 Mbits/sec   0.344 ms  298/  594 (50%)
[  3]  8.0- 9.0 sec   422 KBytes  3.46 Mbits/sec   0.335 ms  303/  597 (51%)
[  3]  9.0-10.0 sec   425 KBytes  3.48 Mbits/sec   0.295 ms  298/  594 (50%)
[  3] 10.0-11.0 sec   422 KBytes  3.46 Mbits/sec   0.282 ms  295/  589 (50%)
[  3] 11.0-12.0 sec   418 KBytes  3.42 Mbits/sec   0.348 ms  312/  603 (52%)
[  3] 12.0-13.0 sec   423 KBytes  3.47 Mbits/sec   0.429 ms  300/  595 (50%)
[  3] 13.0-14.0 sec   593 KBytes  4.86 Mbits/sec   0.710 ms  159/  572 (28%)
[  3] 14.0-15.0 sec   791 KBytes  6.48 Mbits/sec   0.607 ms    0/  551 (0%)
[  3] 15.0-16.0 sec  1.01 MBytes  8.46 Mbits/sec   0.467 ms    0/  719 (0%)
[  3] 16.0-17.0 sec  1.16 MBytes  9.71 Mbits/sec   0.470 ms    0/  826 (0%)
[  3] 17.0-18.0 sec  1.16 MBytes  9.73 Mbits/sec   0.477 ms    0/  827 (0%)
[  3] 18.0-19.0 sec  1.12 MBytes  9.36 Mbits/sec   0.018 ms    0/  796 (0%)
[  3] 19.0-20.0 sec   854 KBytes  7.00 Mbits/sec   0.013 ms    0/  595 (0%)
[  3] 20.0-21.0 sec   854 KBytes  7.00 Mbits/sec   0.013 ms    0/  595 (0%)
[  3] 21.0-22.0 sec   856 KBytes  7.01 Mbits/sec   0.017 ms    0/  596 (0%)
[  3] 22.0-23.0 sec   854 KBytes  7.00 Mbits/sec   0.012 ms    0/  595 (0%)
[  3] 23.0-24.0 sec   854 KBytes  7.00 Mbits/sec   0.015 ms    0/  595 (0%)
[  3] 24.0-25.0 sec   854 KBytes  7.00 Mbits/sec   0.014 ms    0/  595 (0%)
[  3] 25.0-26.0 sec   854 KBytes  7.00 Mbits/sec   0.013 ms    0/  595 (0%)
[  3] 26.0-27.0 sec   856 KBytes  7.01 Mbits/sec   0.018 ms    0/  596 (0%)
[  3] 27.0-28.0 sec   854 KBytes  7.00 Mbits/sec   0.014 ms    0/  595 (0%)
[  3] 28.0-29.0 sec   854 KBytes  7.00 Mbits/sec   0.012 ms    0/  595 (0%)
[  3] 29.0-30.0 sec   854 KBytes  7.00 Mbits/sec   0.011 ms    0/  595 (0%)
[  3] 30.0-31.0 sec   856 KBytes  7.01 Mbits/sec   0.015 ms    0/  596 (0%)
[  3] 31.0-32.0 sec   854 KBytes  7.00 Mbits/sec   0.009 ms    0/  595 (0%)
[  3] 32.0-33.0 sec   854 KBytes  7.00 Mbits/sec   0.011 ms    0/  595 (0%)
[  3] 33.0-34.0 sec   854 KBytes  7.00 Mbits/sec   0.012 ms    0/  595 (0%)
[  3] 34.0-35.0 sec   758 KBytes  6.21 Mbits/sec   0.636 ms    0/  528 (0%)
[  3] 35.0-36.0 sec   693 KBytes  5.68 Mbits/sec   0.749 ms    0/  483 (0%)
[  3] 36.0-37.0 sec   703 KBytes  5.76 Mbits/sec   0.680 ms    0/  490 (0%)
[  3] 37.0-38.0 sec   701 KBytes  5.74 Mbits/sec   0.662 ms    0/  488 (0%)
[  3] 38.0-39.0 sec   701 KBytes  5.74 Mbits/sec   0.677 ms    0/  488 (0%)
[  3] 39.0-40.0 sec   695 KBytes  5.69 Mbits/sec   0.676 ms    0/  484 (0%)
[  3] 40.0-41.0 sec   693 KBytes  5.68 Mbits/sec   0.615 ms    0/  483 (0%)
[  3] 41.0-42.0 sec   633 KBytes  5.19 Mbits/sec   0.662 ms  153/  594 (26%)
[  3] 42.0-43.0 sec   998 KBytes  8.17 Mbits/sec   0.505 ms   68/  763 (8.9%)
[  3] 43.0-44.0 sec  1.16 MBytes  9.71 Mbits/sec   0.474 ms    0/  826 (0%)
[  3] 44.0-45.0 sec  1.16 MBytes  9.73 Mbits/sec   0.490 ms    0/  827 (0%)
[  3] 45.0-46.0 sec   831 KBytes  6.81 Mbits/sec   0.738 ms    0/  579 (0%)
[  3] 46.0-47.0 sec   593 KBytes  4.86 Mbits/sec   0.739 ms    0/  413 (0%)
[  3] 47.0-48.0 sec   589 KBytes  4.82 Mbits/sec   0.775 ms    0/  410 (0%)
[  3] 48.0-49.0 sec   593 KBytes  4.86 Mbits/sec   0.739 ms    0/  413 (0%)
[  3] 49.0-50.0 sec   455 KBytes  3.73 Mbits/sec   0.253 ms  216/  533 (41%)
[  3] 50.0-51.0 sec   403 KBytes  3.30 Mbits/sec   0.326 ms  314/  595 (53%)
[  3] 51.0-52.0 sec   405 KBytes  3.32 Mbits/sec   0.310 ms  314/  596 (53%)
[  3] 52.0-53.0 sec  1.06 MBytes  8.87 Mbits/sec   0.481 ms   42/  796 (5.3%)
[  3] 53.0-54.0 sec  1.15 MBytes  9.64 Mbits/sec   0.484 ms    0/  820 (0%)
[  3] 54.0-55.0 sec  1.16 MBytes  9.73 Mbits/sec   0.469 ms    0/  827 (0%)
[  3] 55.0-56.0 sec   947 KBytes  7.76 Mbits/sec   0.016 ms    0/  660 (0%)
[  3] 56.0-57.0 sec   854 KBytes  7.00 Mbits/sec   0.042 ms    0/  595 (0%)
[  3] 57.0-58.0 sec   854 KBytes  7.00 Mbits/sec   0.021 ms    0/  595 (0%)
[  3] 58.0-59.0 sec   854 KBytes  7.00 Mbits/sec   0.023 ms    0/  595 (0%)
[  3] 59.0-60.0 sec   856 KBytes  7.01 Mbits/sec   0.026 ms    0/  596 (0%)
[  3] 60.0-61.0 sec   854 KBytes  7.00 Mbits/sec   0.035 ms    0/  595 (0%)
[  3] 61.0-62.0 sec   854 KBytes  7.00 Mbits/sec   0.028 ms    0/  595 (0%)
[  3] 62.0-63.0 sec   854 KBytes  7.00 Mbits/sec   0.033 ms    0/  595 (0%)
[  3] 63.0-64.0 sec   854 KBytes  7.00 Mbits/sec   0.041 ms    0/  595 (0%)
[  3] 64.0-65.0 sec   856 KBytes  7.01 Mbits/sec   0.038 ms    0/  596 (0%)
[  3] 65.0-66.0 sec   854 KBytes  7.00 Mbits/sec   0.095 ms    0/  595 (0%)
[  3] 66.0-67.0 sec   854 KBytes  7.00 Mbits/sec   0.019 ms    0/  595 (0%)
[  3] 67.0-68.0 sec   854 KBytes  7.00 Mbits/sec   0.022 ms    0/  595 (0%)
[  3] 68.0-69.0 sec   856 KBytes  7.01 Mbits/sec   0.040 ms    0/  596 (0%)
[  3] 69.0-70.0 sec   854 KBytes  7.00 Mbits/sec   0.048 ms    0/  595 (0%)
[  3] 70.0-71.0 sec   854 KBytes  7.00 Mbits/sec   0.022 ms    0/  595 (0%)
[  3] 71.0-72.0 sec   854 KBytes  7.00 Mbits/sec   0.035 ms    0/  595 (0%)
[  3] 72.0-73.0 sec   856 KBytes  7.01 Mbits/sec   0.034 ms    0/  596 (0%)
[  3] 73.0-74.0 sec   854 KBytes  7.00 Mbits/sec   0.095 ms    0/  595 (0%)
[  3] 74.0-75.0 sec   854 KBytes  7.00 Mbits/sec   0.019 ms    0/  595 (0%)
[  3] 75.0-76.0 sec   854 KBytes  7.00 Mbits/sec   0.031 ms    0/  595 (0%)
[  3] 76.0-77.0 sec   854 KBytes  7.00 Mbits/sec   0.013 ms    0/  595 (0%)
[  3] 77.0-78.0 sec   856 KBytes  7.01 Mbits/sec   0.032 ms    0/  596 (0%)
[  3] 78.0-79.0 sec   854 KBytes  7.00 Mbits/sec   0.144 ms    0/  595 (0%)
[  3] 79.0-80.0 sec   854 KBytes  7.00 Mbits/sec   0.026 ms    0/  595 (0%)
[  3] 80.0-81.0 sec   856 KBytes  7.01 Mbits/sec   0.054 ms    0/  596 (0%)
[  3] 81.0-82.0 sec   854 KBytes  7.00 Mbits/sec   0.160 ms    0/  595 (0%)
[  3] 82.0-83.0 sec   854 KBytes  7.00 Mbits/sec   0.031 ms    0/  595 (0%)
[  3] 83.0-84.0 sec   854 KBytes  7.00 Mbits/sec   0.026 ms    0/  595 (0%)
[  3] 84.0-85.0 sec   854 KBytes  7.00 Mbits/sec   0.024 ms    0/  595 (0%)
[  3] 85.0-86.0 sec   856 KBytes  7.01 Mbits/sec   0.024 ms    0/  596 (0%)
[  3] 86.0-87.0 sec   854 KBytes  7.00 Mbits/sec   0.031 ms    0/  595 (0%)
[  3] 87.0-88.0 sec   854 KBytes  7.00 Mbits/sec   0.065 ms    0/  595 (0%)
[  3] 88.0-89.0 sec   854 KBytes  7.00 Mbits/sec   0.021 ms    0/  595 (0%)
[  3] 89.0-90.0 sec   854 KBytes  7.00 Mbits/sec   0.034 ms    0/  595 (0%)
[  3] 90.0-91.0 sec   856 KBytes  7.01 Mbits/sec   0.032 ms    0/  596 (0%)
[  3] 91.0-92.0 sec   854 KBytes  7.00 Mbits/sec   0.086 ms    0/  595 (0%)
[  3] 92.0-93.0 sec   854 KBytes  7.00 Mbits/sec   0.025 ms    0/  595 (0%)
[  3] 93.0-94.0 sec   856 KBytes  7.01 Mbits/sec   0.032 ms    0/  596 (0%)
[  3] 94.0-95.0 sec   854 KBytes  7.00 Mbits/sec   0.033 ms    0/  595 (0%)
[  3] 95.0-96.0 sec   854 KBytes  7.00 Mbits/sec   0.330 ms    0/  595 (0%)
[  3] 96.0-97.0 sec   854 KBytes  7.00 Mbits/sec   0.104 ms    0/  595 (0%)
[  3] 97.0-98.0 sec   856 KBytes  7.01 Mbits/sec   0.032 ms    0/  596 (0%)
