------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.5.0.2 port 5001 connected with 10.1.0.2 port 33822
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   593 KBytes  4.86 Mbits/sec   0.739 ms    8/  421 (1.9%)
[  3]  1.0- 2.0 sec   594 KBytes  4.87 Mbits/sec   0.740 ms    0/  414 (0%)
[  3]  2.0- 3.0 sec   593 KBytes  4.86 Mbits/sec   0.743 ms    0/  413 (0%)
[  3]  3.0- 4.0 sec   604 KBytes  4.95 Mbits/sec   0.619 ms    0/  421 (0%)
[  3]  4.0- 5.0 sec   847 KBytes  6.94 Mbits/sec   0.570 ms    6/  596 (1%)
[  3]  5.0- 6.0 sec   834 KBytes  6.83 Mbits/sec   0.651 ms    8/  589 (1.4%)
[  3]  6.0- 7.0 sec   596 KBytes  4.88 Mbits/sec   0.915 ms    6/  421 (1.4%)
[  3]  7.0- 8.0 sec   589 KBytes  4.82 Mbits/sec   1.026 ms    7/  417 (1.7%)
[  3]  8.0- 9.0 sec   590 KBytes  4.83 Mbits/sec   1.117 ms    4/  415 (0.96%)
[  3]  9.0-10.0 sec   589 KBytes  4.82 Mbits/sec   1.008 ms    8/  418 (1.9%)
[  3] 10.0-11.0 sec   790 KBytes  6.47 Mbits/sec   0.581 ms   42/  592 (7.1%)
[  3] 11.0-12.0 sec   554 KBytes  4.54 Mbits/sec   0.581 ms  205/  591 (35%)
[  3] 12.0-13.0 sec   784 KBytes  6.42 Mbits/sec   0.578 ms   41/  587 (7%)
[  3] 13.0-14.0 sec   847 KBytes  6.94 Mbits/sec   0.583 ms    5/  595 (0.84%)
[  3] 14.0-15.0 sec   837 KBytes  6.86 Mbits/sec   0.538 ms   22/  605 (3.6%)
[  3] 15.0-16.0 sec   844 KBytes  6.91 Mbits/sec   0.607 ms    7/  595 (1.2%)
[  3] 16.0-17.0 sec   844 KBytes  6.91 Mbits/sec   0.656 ms    9/  597 (1.5%)
[  3] 17.0-18.0 sec   841 KBytes  6.89 Mbits/sec   0.746 ms    6/  592 (1%)
[  3] 18.0-19.0 sec   846 KBytes  6.93 Mbits/sec   0.617 ms    3/  592 (0.51%)
[  3] 19.0-20.0 sec   601 KBytes  4.93 Mbits/sec   0.649 ms  179/  598 (30%)
[  3] 20.0-21.0 sec   617 KBytes  5.06 Mbits/sec   0.620 ms  170/  600 (28%)
[  3] 21.0-22.0 sec   639 KBytes  5.23 Mbits/sec   0.602 ms  150/  595 (25%)
[  3] 22.0-23.0 sec   650 KBytes  5.33 Mbits/sec   0.604 ms  143/  596 (24%)
[  3] 23.0-24.0 sec   824 KBytes  6.75 Mbits/sec   0.592 ms   16/  590 (2.7%)
[  3] 24.0-25.0 sec   795 KBytes  6.52 Mbits/sec   0.647 ms   41/  595 (6.9%)
[  3] 25.0-26.0 sec   666 KBytes  5.46 Mbits/sec   0.568 ms  131/  595 (22%)
[  3] 26.0-27.0 sec   642 KBytes  5.26 Mbits/sec   0.488 ms  153/  600 (26%)
[  3] 27.0-28.0 sec   645 KBytes  5.28 Mbits/sec   0.604 ms  146/  595 (25%)
[  3] 28.0-29.0 sec   643 KBytes  5.27 Mbits/sec   0.629 ms  147/  595 (25%)
[  3] 29.0-30.0 sec   639 KBytes  5.23 Mbits/sec   0.637 ms  144/  589 (24%)
[  3] 30.0-31.0 sec   701 KBytes  5.74 Mbits/sec   0.730 ms  109/  597 (18%)
[  3] 31.0-32.0 sec   968 KBytes  7.93 Mbits/sec   0.469 ms   67/  741 (9%)
[  3] 32.0-33.0 sec  1.16 MBytes  9.73 Mbits/sec   0.469 ms    0/  827 (0%)
[  3] 33.0-34.0 sec  1.16 MBytes  9.73 Mbits/sec   0.470 ms    0/  827 (0%)
[  3] 34.0-35.0 sec  1.15 MBytes  9.63 Mbits/sec   0.480 ms    0/  819 (0%)
[  3] 35.0-36.0 sec  1.16 MBytes  9.71 Mbits/sec   0.471 ms    0/  826 (0%)
