------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.6.0.2 port 5001 connected with 10.2.0.2 port 47328
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   594 KBytes  4.87 Mbits/sec   0.973 ms   14/  428 (3.3%)
[  3]  1.0- 2.0 sec   593 KBytes  4.86 Mbits/sec   1.002 ms    0/  413 (0%)
[  3]  2.0- 3.0 sec   593 KBytes  4.86 Mbits/sec   0.939 ms    0/  413 (0%)
[  3]  3.0- 4.0 sec   591 KBytes  4.85 Mbits/sec   0.837 ms   10/  422 (2.4%)
[  3]  4.0- 5.0 sec   616 KBytes  5.05 Mbits/sec   0.630 ms  165/  594 (28%)
[  3]  5.0- 6.0 sec   574 KBytes  4.70 Mbits/sec   0.763 ms  191/  591 (32%)
[  3]  6.0- 7.0 sec   601 KBytes  4.93 Mbits/sec   0.620 ms  177/  596 (30%)
[  3]  7.0- 8.0 sec   599 KBytes  4.90 Mbits/sec   0.796 ms  160/  577 (28%)
[  3]  8.0- 9.0 sec   622 KBytes  5.09 Mbits/sec   0.718 ms  157/  590 (27%)
[  3]  9.0-10.0 sec   642 KBytes  5.26 Mbits/sec   0.820 ms  145/  592 (24%)
[  3] 10.0-11.0 sec   650 KBytes  5.33 Mbits/sec   0.682 ms  140/  593 (24%)
[  3] 11.0-12.0 sec   682 KBytes  5.59 Mbits/sec   0.540 ms  149/  624 (24%)
[  3] 12.0-13.0 sec   637 KBytes  5.22 Mbits/sec   0.886 ms  146/  590 (25%)
[  3] 13.0-14.0 sec   630 KBytes  5.16 Mbits/sec   0.665 ms  160/  599 (27%)
[  3] 14.0-15.0 sec   620 KBytes  5.08 Mbits/sec   0.659 ms  168/  600 (28%)
[  3] 15.0-16.0 sec   642 KBytes  5.26 Mbits/sec   1.034 ms  134/  581 (23%)
[  3] 16.0-17.0 sec   624 KBytes  5.12 Mbits/sec   0.703 ms  174/  609 (29%)
[  3] 17.0-18.0 sec   583 KBytes  4.77 Mbits/sec   0.842 ms  186/  592 (31%)
[  3] 18.0-19.0 sec   798 KBytes  6.54 Mbits/sec   0.576 ms   24/  580 (4.1%)
[  3] 19.0-20.0 sec   869 KBytes  7.11 Mbits/sec   0.471 ms    0/  605 (0%)
[  3] 20.0-21.0 sec  1.16 MBytes  9.73 Mbits/sec   0.468 ms    0/  827 (0%)
[  3] 21.0-22.0 sec  1.16 MBytes  9.71 Mbits/sec   0.470 ms    0/  826 (0%)
[  3] 22.0-23.0 sec  1.15 MBytes  9.63 Mbits/sec   0.657 ms    0/  819 (0%)
[  3] 23.0-24.0 sec   917 KBytes  7.51 Mbits/sec   0.020 ms    0/  639 (0%)
