------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.3.0.2 port 5001 connected with 10.1.0.2 port 37795
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   593 KBytes  4.86 Mbits/sec   0.968 ms    8/  421 (1.9%)
[  3]  1.0- 2.0 sec   594 KBytes  4.87 Mbits/sec   1.043 ms    0/  414 (0%)
[  3]  2.0- 3.0 sec   593 KBytes  4.86 Mbits/sec   0.984 ms    0/  413 (0%)
[  3]  3.0- 4.0 sec   245 KBytes  2.01 Mbits/sec   0.127 ms  480/  651 (74%)
[  3]  4.0- 5.0 sec   267 KBytes  2.19 Mbits/sec   0.218 ms  502/  688 (73%)
[  3]  5.0- 6.0 sec   225 KBytes  1.85 Mbits/sec   0.161 ms  522/  679 (77%)
[  3]  6.0- 7.0 sec   217 KBytes  1.78 Mbits/sec   0.192 ms  527/  678 (78%)
[  3]  7.0- 8.0 sec   223 KBytes  1.82 Mbits/sec   0.260 ms  514/  669 (77%)
[  3]  8.0- 9.0 sec   223 KBytes  1.82 Mbits/sec   1.058 ms  510/  665 (77%)
[  3]  9.0-10.0 sec   214 KBytes  1.75 Mbits/sec   0.591 ms  520/  669 (78%)
[  3] 10.0-11.0 sec   256 KBytes  2.09 Mbits/sec   0.264 ms  459/  637 (72%)
[  3] 11.0-12.0 sec   218 KBytes  1.79 Mbits/sec   0.305 ms  517/  669 (77%)
[  3] 12.0-13.0 sec   257 KBytes  2.11 Mbits/sec   0.221 ms  597/  776 (77%)
[  3] 13.0-14.0 sec   223 KBytes  1.82 Mbits/sec   0.154 ms  523/  678 (77%)
[  3] 14.0-15.0 sec   220 KBytes  1.80 Mbits/sec   0.177 ms  520/  673 (77%)
[  3] 15.0-16.0 sec   266 KBytes  2.18 Mbits/sec   1.012 ms  494/  679 (73%)
[  3] 16.0-17.0 sec   228 KBytes  1.87 Mbits/sec   0.156 ms  529/  688 (77%)
[  3] 17.0-18.0 sec   223 KBytes  1.82 Mbits/sec   0.123 ms  528/  683 (77%)
[  3] 18.0-19.0 sec   220 KBytes  1.80 Mbits/sec   0.284 ms  525/  678 (77%)
[  3] 19.0-20.0 sec   231 KBytes  1.89 Mbits/sec   0.146 ms  522/  683 (76%)
[  3] 20.0-21.0 sec   220 KBytes  1.80 Mbits/sec   0.240 ms  521/  674 (77%)
[  3] 21.0-22.0 sec   263 KBytes  2.15 Mbits/sec   0.140 ms  502/  685 (73%)
[  3] 22.0-23.0 sec   224 KBytes  1.83 Mbits/sec   0.326 ms  522/  678 (77%)
[  3] 23.0-24.0 sec   220 KBytes  1.80 Mbits/sec   0.215 ms  530/  683 (78%)
