------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.4.0.1 port 5001 connected with 10.3.0.2 port 59192
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   587 KBytes  4.81 Mbits/sec   1.118 ms   24/  433 (5.5%)
[  3]  1.0- 2.0 sec   594 KBytes  4.87 Mbits/sec   1.113 ms    0/  414 (0%)
[  3]  2.0- 3.0 sec   782 KBytes  6.41 Mbits/sec   0.213 ms    5/  550 (0.91%)
[  3]  3.0- 4.0 sec  1.06 MBytes  8.89 Mbits/sec   0.163 ms   10/  766 (1.3%)
[  3]  4.0- 5.0 sec  1.07 MBytes  8.95 Mbits/sec   0.191 ms    5/  766 (0.65%)
[  3]  5.0- 6.0 sec  1.04 MBytes  8.70 Mbits/sec   0.229 ms   18/  758 (2.4%)
[  3]  6.0- 7.0 sec  1.06 MBytes  8.93 Mbits/sec   0.162 ms   13/  772 (1.7%)
[  3]  7.0- 8.0 sec  1.06 MBytes  8.89 Mbits/sec   0.476 ms   10/  766 (1.3%)
[  3]  8.0- 9.0 sec  1.07 MBytes  8.95 Mbits/sec   0.212 ms    5/  766 (0.65%)
[  3]  9.0-10.0 sec  1.05 MBytes  8.81 Mbits/sec   0.162 ms   12/  761 (1.6%)
[  3] 10.0-11.0 sec  1.03 MBytes  8.68 Mbits/sec   0.184 ms   33/  771 (4.3%)
[  3] 11.0-12.0 sec  1.05 MBytes  8.84 Mbits/sec   0.484 ms   13/  765 (1.7%)
[  3] 12.0-13.0 sec  1.05 MBytes  8.78 Mbits/sec   0.154 ms   11/  758 (1.5%)
[  3] 13.0-14.0 sec   418 KBytes  3.42 Mbits/sec   2.725 ms  197/  488 (40%)
[  3] 14.0-15.0 sec   419 KBytes  3.43 Mbits/sec   1.513 ms  125/  417 (30%)
[  3] 15.0-16.0 sec   464 KBytes  3.80 Mbits/sec   0.237 ms  151/  474 (32%)
[  3] 16.0-17.0 sec   409 KBytes  3.35 Mbits/sec   0.643 ms  475/  760 (62%)
[  3] 17.0-18.0 sec   560 KBytes  4.59 Mbits/sec   0.390 ms  376/  766 (49%)
[  3] 18.0-19.0 sec   761 KBytes  6.23 Mbits/sec   0.271 ms  235/  765 (31%)
[  3] 19.0-20.0 sec   939 KBytes  7.69 Mbits/sec   0.175 ms  117/  771 (15%)
[  3] 20.0-21.0 sec   965 KBytes  7.90 Mbits/sec   0.590 ms   90/  762 (12%)
[  3] 21.0-22.0 sec   725 KBytes  5.94 Mbits/sec   0.292 ms  259/  764 (34%)
[  3] 22.0-23.0 sec   782 KBytes  6.41 Mbits/sec   0.415 ms  220/  765 (29%)
[  3] 23.0-24.0 sec   791 KBytes  6.48 Mbits/sec   0.278 ms  220/  771 (29%)
[  3] 24.0-25.0 sec   758 KBytes  6.21 Mbits/sec   0.219 ms  239/  767 (31%)
[  3] 25.0-26.0 sec   270 KBytes  2.21 Mbits/sec   6.382 ms  351/  539 (65%)
[  3] 26.0-27.0 sec   103 KBytes   847 Kbits/sec   3.462 ms  395/  467 (85%)
[  3] 27.0-28.0 sec   390 KBytes  3.20 Mbits/sec   1.340 ms  233/  505 (46%)
[  3] 28.0-29.0 sec   550 KBytes  4.50 Mbits/sec   0.534 ms  233/  616 (38%)
[  3] 29.0-30.0 sec   601 KBytes  4.93 Mbits/sec   0.326 ms  355/  774 (46%)
[  3] 30.0-31.0 sec   653 KBytes  5.35 Mbits/sec   0.256 ms  304/  759 (40%)
[  3] 31.0-32.0 sec   660 KBytes  5.41 Mbits/sec   0.378 ms  307/  767 (40%)
[  3] 32.0-33.0 sec   821 KBytes  6.73 Mbits/sec   0.357 ms  185/  757 (24%)
[  3] 33.0-34.0 sec   798 KBytes  6.54 Mbits/sec   0.240 ms  217/  773 (28%)
[  3] 34.0-35.0 sec   815 KBytes  6.68 Mbits/sec   0.349 ms  203/  771 (26%)
[  3] 35.0-36.0 sec   746 KBytes  6.12 Mbits/sec   0.452 ms  247/  767 (32%)
[  3] 36.0-37.0 sec   748 KBytes  6.13 Mbits/sec   0.287 ms  246/  767 (32%)
[  3] 37.0-38.0 sec   729 KBytes  5.97 Mbits/sec   0.231 ms  249/  757 (33%)
[  3] 38.0-39.0 sec   668 KBytes  5.47 Mbits/sec   0.448 ms  301/  766 (39%)
[  3] 39.0-40.0 sec   606 KBytes  4.96 Mbits/sec   0.421 ms  343/  765 (45%)
[  3] 40.0-41.0 sec   510 KBytes  4.17 Mbits/sec   0.574 ms  418/  773 (54%)
[  3] 41.0-42.0 sec   655 KBytes  5.36 Mbits/sec   0.570 ms  311/  767 (41%)
[  3] 42.0-43.0 sec   601 KBytes  4.93 Mbits/sec   0.764 ms  345/  764 (45%)
[  3] 43.0-44.0 sec   636 KBytes  5.21 Mbits/sec   0.800 ms  307/  750 (41%)
[  3] 44.0-45.0 sec   650 KBytes  5.33 Mbits/sec   0.446 ms  324/  777 (42%)
[  3] 45.0-46.0 sec   682 KBytes  5.59 Mbits/sec   0.779 ms  289/  764 (38%)
[  3] 46.0-47.0 sec   640 KBytes  5.24 Mbits/sec   0.246 ms  319/  765 (42%)
[  3] 47.0-48.0 sec   591 KBytes  4.85 Mbits/sec   0.344 ms  362/  774 (47%)
[  3] 48.0-49.0 sec   656 KBytes  5.37 Mbits/sec   0.619 ms  306/  763 (40%)
