------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.3.0.1 port 5001 connected with 10.2.0.1 port 37855
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec  1.07 MBytes  9.01 Mbits/sec   0.014 ms   12/  778 (1.5%)
[  3]  1.0- 2.0 sec  1.07 MBytes  9.01 Mbits/sec   0.012 ms    0/  766 (0%)
[  3]  2.0- 3.0 sec  1.07 MBytes  9.01 Mbits/sec   0.015 ms    0/  766 (0%)
[  3]  3.0- 4.0 sec  1.07 MBytes  9.00 Mbits/sec   0.014 ms    0/  765 (0%)
[  3]  4.0- 5.0 sec  1.07 MBytes  9.01 Mbits/sec   0.022 ms    0/  766 (0%)
[  3]  5.0- 6.0 sec  1.07 MBytes  9.01 Mbits/sec   0.023 ms    0/  766 (0%)
[  3]  6.0- 7.0 sec   596 KBytes  4.88 Mbits/sec   1.161 ms    0/  415 (0%)
[  3]  7.0- 8.0 sec   586 KBytes  4.80 Mbits/sec   1.196 ms    0/  408 (0%)
[  3]  8.0- 9.0 sec   683 KBytes  5.60 Mbits/sec   0.245 ms   46/  522 (8.8%)
[  3]  9.0-10.0 sec   906 KBytes  7.42 Mbits/sec   0.200 ms  135/  766 (18%)
[  3] 10.0-11.0 sec   916 KBytes  7.50 Mbits/sec   0.197 ms  127/  765 (17%)
[  3] 11.0-12.0 sec   903 KBytes  7.40 Mbits/sec   0.400 ms  137/  766 (18%)
[  3] 12.0-13.0 sec   923 KBytes  7.56 Mbits/sec   0.274 ms  123/  766 (16%)
[  3] 13.0-14.0 sec   910 KBytes  7.46 Mbits/sec   0.182 ms  124/  758 (16%)
[  3] 14.0-15.0 sec   959 KBytes  7.86 Mbits/sec   0.202 ms  105/  773 (14%)
[  3] 15.0-16.0 sec   906 KBytes  7.42 Mbits/sec   0.250 ms  136/  767 (18%)
[  3] 16.0-17.0 sec   929 KBytes  7.61 Mbits/sec   0.224 ms  117/  764 (15%)
[  3] 17.0-18.0 sec   889 KBytes  7.28 Mbits/sec   0.208 ms  147/  766 (19%)
[  3] 18.0-19.0 sec   914 KBytes  7.49 Mbits/sec   0.204 ms  129/  766 (17%)
[  3] 19.0-20.0 sec   920 KBytes  7.54 Mbits/sec   0.217 ms  126/  767 (16%)
[  3] 20.0-21.0 sec   922 KBytes  7.55 Mbits/sec   0.266 ms  122/  764 (16%)
[  3] 21.0-22.0 sec   916 KBytes  7.50 Mbits/sec   0.188 ms  128/  766 (17%)
[  3] 22.0-23.0 sec   916 KBytes  7.50 Mbits/sec   0.272 ms  128/  766 (17%)
[  3] 23.0-24.0 sec   906 KBytes  7.42 Mbits/sec   0.321 ms  135/  766 (18%)
[  3] 24.0-25.0 sec   914 KBytes  7.49 Mbits/sec   0.254 ms  123/  760 (16%)
