------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.6.0.2 port 5001 connected with 10.2.0.2 port 49676
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   514 KBytes  4.21 Mbits/sec   1.200 ms   16/  374 (4.3%)
[  3]  1.0- 2.0 sec   538 KBytes  4.41 Mbits/sec   1.133 ms    0/  375 (0%)
[  3]  2.0- 3.0 sec   521 KBytes  4.27 Mbits/sec   1.603 ms   25/  388 (6.4%)
[  3]  3.0- 4.0 sec   655 KBytes  5.36 Mbits/sec   0.802 ms   69/  525 (13%)
[  3]  4.0- 5.0 sec   778 KBytes  6.37 Mbits/sec   0.727 ms   82/  624 (13%)
[  3]  5.0- 6.0 sec   693 KBytes  5.68 Mbits/sec   0.844 ms   73/  556 (13%)
[  3]  6.0- 7.0 sec   652 KBytes  5.34 Mbits/sec   0.497 ms  222/  676 (33%)
[  3]  7.0- 8.0 sec   458 KBytes  3.75 Mbits/sec   0.528 ms  452/  771 (59%)
[  3]  8.0- 9.0 sec   560 KBytes  4.59 Mbits/sec   0.495 ms  374/  764 (49%)
[  3]  9.0-10.0 sec   515 KBytes  4.22 Mbits/sec   0.551 ms  403/  762 (53%)
[  3] 10.0-11.0 sec   474 KBytes  3.88 Mbits/sec   1.166 ms  403/  733 (55%)
[  3] 11.0-12.0 sec   635 KBytes  5.20 Mbits/sec   0.616 ms  356/  798 (45%)
[  3] 12.0-13.0 sec   835 KBytes  6.84 Mbits/sec   0.390 ms  188/  770 (24%)
[  3] 13.0-14.0 sec   945 KBytes  7.74 Mbits/sec   0.465 ms  105/  763 (14%)
[  3] 14.0-15.0 sec   940 KBytes  7.70 Mbits/sec   0.510 ms  107/  762 (14%)
[  3] 15.0-16.0 sec   958 KBytes  7.84 Mbits/sec   0.197 ms   99/  766 (13%)
[  3] 16.0-17.0 sec  1.07 MBytes  8.95 Mbits/sec   0.124 ms   38/  799 (4.8%)
[  3] 17.0-18.0 sec  1.16 MBytes  9.73 Mbits/sec   0.233 ms    1/  828 (0.12%)
[  3] 18.0-19.0 sec  1.16 MBytes  9.71 Mbits/sec   0.111 ms    0/  826 (0%)
[  3] 19.0-20.0 sec  1.16 MBytes  9.73 Mbits/sec   0.117 ms    0/  827 (0%)
[  3] 20.0-21.0 sec  1.16 MBytes  9.73 Mbits/sec   0.107 ms    0/  827 (0%)
[  3] 21.0-22.0 sec  1.16 MBytes  9.73 Mbits/sec   0.154 ms    0/  827 (0%)
[  3] 22.0-23.0 sec  1.16 MBytes  9.71 Mbits/sec   0.118 ms    0/  826 (0%)
[  3] 23.0-24.0 sec  1.16 MBytes  9.73 Mbits/sec   0.213 ms    0/  827 (0%)
[  3] 24.0-25.0 sec  1.16 MBytes  9.73 Mbits/sec   0.452 ms    0/  827 (0%)
[  3] 25.0-26.0 sec  1.15 MBytes  9.62 Mbits/sec   0.125 ms    0/  818 (0%)
[  3] 26.0-27.0 sec  1.16 MBytes  9.71 Mbits/sec   0.143 ms    0/  826 (0%)
